geneID	Tissue.Bias.Category	log2FoldChange
FBgn0000003	Moderately gonad-biased	-1.59553273919066
FBgn0000008	Moderately head-biased	0.540192815536563
FBgn0000017	Moderately head-biased	1.08776964132385
FBgn0000018	Unbiased	0.140862707331721
FBgn0000024	Highly head-biased	9.08273384095719
FBgn0000028	Highly head-biased	6.16030392530547
FBgn0000032	Highly gonad-biased	-2.55188924944816
FBgn0000036	Highly head-biased	13.7595152706135
FBgn0000037	Highly head-biased	9.79802614957322
FBgn0000038	Highly head-biased	10.2722065432313
FBgn0000039	Highly head-biased	11.7692303781058
FBgn0000042	Highly gonad-biased	-2.02984723671945
FBgn0000043	Highly gonad-biased	-3.66583993935369
FBgn0000044	Highly head-biased	4.46308877985986
FBgn0000045	Highly head-biased	9.45609708575324
FBgn0000046	Highly head-biased	5.030483534735
FBgn0000047	Highly head-biased	4.70200692843182
FBgn0000052	Moderately head-biased	1.60721602141882
FBgn0000053	Highly head-biased	3.52202819614627
FBgn0000055	Highly head-biased	4.85726438812352
FBgn0000057	Unbiased	-0.355273894826851
FBgn0000063	Highly gonad-biased	-3.5518125187957
FBgn0000064	Highly head-biased	3.00842781441898
FBgn0000075	Moderately gonad-biased	-1.84122878134444
FBgn0000077	Moderately gonad-biased	-1.20949022638878
FBgn0000078	Highly head-biased	3.3238419876743
FBgn0000079	Highly head-biased	2.26919441214397
FBgn0000083	Unbiased	0.0735485082387432
FBgn0000084	Unbiased	0.0245536197589545
FBgn0000092	Highly head-biased	2.72089076378708
FBgn0000097	Moderately head-biased	0.919181825223403
FBgn0000100	Moderately gonad-biased	-1.76667948035322
FBgn0000108	Highly head-biased	11.3252676793398
FBgn0000109	Unbiased	0.163780620762425
FBgn0000114	Highly gonad-biased	-3.71394531283788
FBgn0000115	Moderately gonad-biased	-1.94164858508507
FBgn0000116	Highly head-biased	2.12012034597317
FBgn0000117	Moderately gonad-biased	-1.48307211996628
FBgn0000119	Moderately head-biased	1.99577247468568
FBgn0000120	Highly head-biased	13.4173831409099
FBgn0000121	Highly head-biased	14.3785988879611
FBgn0000139	Moderately gonad-biased	-0.923926606314498
FBgn0000140	Highly gonad-biased	-9.44734537106829
FBgn0000146	Highly gonad-biased	-6.06188933449701
FBgn0000147	Highly gonad-biased	-6.43440955726697
FBgn0000150	Highly gonad-biased	-3.02928144421267
FBgn0000152	Unbiased	-0.397037786955999
FBgn0000153	Highly head-biased	5.43149395232839
FBgn0000157	Highly head-biased	8.01247582447149
FBgn0000158	Highly gonad-biased	-12.6354956696872
FBgn0000163	Unbiased	-0.181350488786037
FBgn0000166	Highly gonad-biased	-13.0913542631623
FBgn0000173	Unbiased	0.257147518824736
FBgn0000179	Highly head-biased	8.31987224548359
FBgn0000180	Moderately head-biased	0.894812385810305
FBgn0000181	Highly gonad-biased	-2.63454279518255
FBgn0000183	Unbiased	0.00540097452200868
FBgn0000206	Highly head-biased	15.7541080633783
FBgn0000212	Moderately head-biased	0.85875688248489
FBgn0000221	Highly gonad-biased	-3.90779171468571
