geneID	Tissue.Bias.Category	log2FoldChange
FBgn0000008	Unbiased	-0.298752517229184
FBgn0000014	Highly gonad-biased	-13.8305474759797
FBgn0000015	Highly gonad-biased	-7.58210398607137
FBgn0000017	Moderately head-biased	0.84984161549927
FBgn0000018	Highly gonad-biased	-2.38647281529826
FBgn0000024	Highly head-biased	6.10929268450404
FBgn0000028	Unbiased	-0.349090822958648
FBgn0000032	Highly gonad-biased	-2.30214003952642
FBgn0000036	Highly head-biased	4.37242346547713
FBgn0000037	Highly head-biased	5.467884093424
FBgn0000038	Highly head-biased	6.12413110403165
FBgn0000039	Highly head-biased	10.6046677638722
FBgn0000042	Unbiased	-0.00559708632937585
FBgn0000043	Highly gonad-biased	-5.42006767931547
FBgn0000044	Highly head-biased	2.58931965082839
FBgn0000045	Highly head-biased	4.13049773461661
FBgn0000046	Highly gonad-biased	-3.48286290963585
FBgn0000047	Highly head-biased	3.93442326321268
FBgn0000052	Moderately head-biased	1.86338785300968
FBgn0000053	Highly head-biased	3.20285975093344
FBgn0000055	Highly head-biased	5.38485333318926
FBgn0000057	Highly gonad-biased	-2.26525911878506
FBgn0000063	Highly gonad-biased	-4.17960802212369
FBgn0000064	Moderately head-biased	0.601648150397573
FBgn0000071	Unbiased	0.276663266362811
FBgn0000075	Moderately head-biased	1.93810510581303
FBgn0000077	Highly head-biased	2.2547443838215
FBgn0000078	Unbiased	0.142542770810709
FBgn0000079	Moderately gonad-biased	-0.562282379373272
FBgn0000083	Moderately head-biased	0.640962407791014
FBgn0000084	Moderately head-biased	1.20693993111582
FBgn0000092	Highly head-biased	5.18391095918752
FBgn0000097	Moderately head-biased	1.96999126854467
FBgn0000100	Moderately head-biased	1.66452034660788
FBgn0000108	Highly head-biased	8.78480009540298
FBgn0000109	Unbiased	0.070676414885191
FBgn0000114	Highly gonad-biased	-4.63149585348797
FBgn0000115	Unbiased	-0.398518754452706
FBgn0000116	Highly head-biased	2.59297901296888
FBgn0000117	Moderately head-biased	1.60143264415163
FBgn0000119	Moderately gonad-biased	-0.816953469864538
FBgn0000120	Highly head-biased	11.7287612581104
FBgn0000121	Highly head-biased	13.3840412807763
FBgn0000139	Moderately gonad-biased	-0.933389851202525
FBgn0000140	Highly gonad-biased	-9.27939164366848
FBgn0000146	Highly gonad-biased	-4.44884558669495
FBgn0000147	Highly gonad-biased	-6.50542297145012
FBgn0000150	Moderately head-biased	0.881127168502627
FBgn0000152	Moderately head-biased	1.41738189882486
FBgn0000153	Highly head-biased	4.66980044019433
FBgn0000157	Highly head-biased	2.68718682413292
FBgn0000158	Highly gonad-biased	-11.5808310158638
FBgn0000163	Moderately head-biased	0.711441109487625
FBgn0000166	Highly gonad-biased	-6.93312746693816
FBgn0000173	Highly head-biased	2.03330102742499
FBgn0000179	Highly head-biased	3.78120119582576
FBgn0000180	Moderately head-biased	1.423022085841
FBgn0000181	Unbiased	-0.499519082456554
FBgn0000182	Highly gonad-biased	-12.7611033370949
FBgn0000183	Moderately head-biased	0.940847324058146
FBgn0000206	Highly head-biased	4.95626120718893
FBgn0000212	Moderately head-biased	1.88951345010788
FBgn0000221	Moderately gonad-biased	-1.6594196830616
FBgn0000228	Highly head-biased	2.61075972600238
FBgn0000229	Moderately head-biased	1.46803724579084
FBgn0000233	Moderately gonad-biased	-1.18944293535695
FBgn0000239	Moderately gonad-biased	-1.28478204392492
FBgn0000241	Highly head-biased	4.69087048447488
FBgn0000244	Highly head-biased	2.73133657703082
FBgn0000246	Moderately gonad-biased	-0.958943529961
FBgn0000247	Moderately gonad-biased	-0.571877975774008
FBgn0000250	Moderately head-biased	0.701109092869606
FBgn0000251	Highly gonad-biased	-14.2496224012046
FBgn0000253	Highly head-biased	2.4890144692754
FBgn0000256	Highly gonad-biased	-3.65737163137404
FBgn0000257	Unbiased	0.460768258927619
FBgn0000259	Unbiased	0.0577132002396212
FBgn0000261	Moderately gonad-biased	-0.512370310552235
FBgn0000273	Highly head-biased	3.59180550058189
FBgn0000274	Highly gonad-biased	-12.3736193500808
FBgn0000276	Highly gonad-biased	-6.64094756398946
FBgn0000283	Moderately head-biased	0.630815130891415
FBgn0000286	Highly gonad-biased	-3.22123882840291
FBgn0000287	Moderately gonad-biased	-1.39197307677769
FBgn0000289	Moderately head-biased	0.876542751776002
FBgn0000299	Moderately head-biased	1.48243841578187
FBgn0000303	Highly head-biased	6.79502694815022
FBgn0000307	Moderately head-biased	1.4640016654625
FBgn0000308	Unbiased	-0.11814472035808
FBgn0000316	Moderately head-biased	0.989452855853535
FBgn0000317	Moderately head-biased	0.946532950554108
FBgn0000318	Moderately gonad-biased	-1.63920365121056
FBgn0000319	Moderately head-biased	0.77039250328121
FBgn0000320	Unbiased	-0.120098452624691
FBgn0000326	Unbiased	0.112349780055747
FBgn0000330	Moderately head-biased	0.765988651960226
FBgn0000339	Unbiased	-0.106511198520429
FBgn0000346	Moderately head-biased	1.94782649568006
FBgn0000351	Moderately gonad-biased	-1.43516162981151
FBgn0000352	Moderately head-biased	1.56381857673057
FBgn0000355	Highly gonad-biased	-9.55557566268051
FBgn0000357	Highly gonad-biased	-2.08531840807138
FBgn0000370	Moderately head-biased	1.30303343116973
FBgn0000376	Highly head-biased	2.20692714320252
FBgn0000377	Moderately head-biased	1.25522131312009
FBgn0000382	Highly head-biased	3.40290110286789
FBgn0000384	Moderately head-biased	1.20213476041236
FBgn0000394	Highly head-biased	2.53130642708274
FBgn0000395	Moderately head-biased	0.841137037942666
FBgn0000404	Highly gonad-biased	-6.42141955337763
FBgn0000405	Highly gonad-biased	-8.02328202760197
FBgn0000406	Highly head-biased	4.52920432146497
FBgn0000411	Unbiased	0.0217543581564512
FBgn0000412	Moderately gonad-biased	-1.25444693407627
FBgn0000414	Highly head-biased	4.51004011799489
FBgn0000416	Unbiased	-0.0769536047709805
FBgn0000422	Highly head-biased	4.82550749614829
FBgn0000426	Highly gonad-biased	-2.50461446583851
FBgn0000427	Highly gonad-biased	-8.22547420074262
FBgn0000439	Highly head-biased	5.73897601532209
FBgn0000447	Highly gonad-biased	-4.60170328177056
FBgn0000448	Highly head-biased	7.20854647291765
FBgn0000451	Moderately head-biased	1.93850439850505
FBgn0000454	Moderately gonad-biased	-1.09202403145782
FBgn0000455	Unbiased	0.288217862861997
FBgn0000459	Highly head-biased	2.52866445524038
FBgn0000463	Unbiased	0.0076498804842207
FBgn0000464	Highly head-biased	4.02802995420963
FBgn0000473	Highly head-biased	4.28136673348411
FBgn0000477	Highly head-biased	5.12393584867922
FBgn0000479	Highly head-biased	4.29657831746056
FBgn0000482	Moderately head-biased	1.03922411674833
FBgn0000489	Moderately gonad-biased	-0.953360547265132
FBgn0000490	Unbiased	-0.294148191523562
FBgn0000492	Moderately head-biased	1.91422904780156
FBgn0000499	Highly gonad-biased	-2.48530965569123
FBgn0000500	Highly head-biased	7.8228739009511
FBgn0000504	Highly head-biased	2.34752103851494
FBgn0000520	Highly head-biased	2.56622199501171
FBgn0000524	Unbiased	-0.0336817250093602
FBgn0000527	Unbiased	-0.491209868308199
FBgn0000529	Highly head-biased	5.09437282770837
FBgn0000533	Highly head-biased	3.21279079717901
FBgn0000535	Highly head-biased	8.23960819073603
FBgn0000536	Moderately head-biased	1.01793383576254
FBgn0000541	Moderately gonad-biased	-0.851679048761571
FBgn0000542	Unbiased	-0.132591109946968
FBgn0000543	Unbiased	-0.0318313180223658
