geneID	Proportion.of.DGRP177.reads.Females.Main.Cross	Proportion.of.DGRP177.reads.Males.Main.Cross	Proportion.of.DGRP177.reads.Females.Reciprocal.Cross	Proportion.of.DGRP177.reads.Males.Reciprocal.Cross	Avg.DGRP177.proportion.females	Avg.DGRP177.proportion.males
FBgn0000008	0.519655330390747	0.529117880935719	0.506988031247351	0.516467928249869	0.513321680819049	0.522792904592794
FBgn0000017	0.493390331304008	0.482685535010926	0.497244259308085	0.48653614986266	0.495317295306046	0.484610842436793
FBgn0000018	0.503843153288407	0.533166664840178	0.501775192994664	0.531107182580867	0.502809173141536	0.532136923710522
FBgn0000024	0.584436972857336	0.573780288627632	0.584284957012683	0.573627218469244	0.58436096493501	0.573703753548438
FBgn0000032	0.528861885628245	0.493187579628951	0.522684163642796	0.486995831636386	0.52577302463552	0.490091705632669
FBgn0000036	0.484942402918482	0.478383885259906	0.494764546894552	0.488199102195867	0.489853474906517	0.483291493727887
FBgn0000038	0.475922245538074	0.481651721137657	0.47670778449848	0.482438011476822	0.476315015018277	0.482044866307239
FBgn0000042	0.680555419173055	0.576624111544723	0.380117440638337	0.281618986152497	0.530336429905696	0.42912154884861
FBgn0000043	0.496745352695015	0.48850942533635	0.499484944497789	0.491247933459471	0.498115148596402	0.48987867939791
FBgn0000044	0.491653224524771	0.488735622656955	0.50658097309383	0.503662554946857	0.4991170988093	0.496199088801906
FBgn0000045	0.473304687730923	0.486801560038783	0.483951184489593	0.497464905810277	0.478627936110258	0.49213323292453
FBgn0000046	0.489000352451416	0.496901036479501	0.477298162010179	0.485189296200389	0.483149257230797	0.491045166339945
FBgn0000047	0.533495059940303	0.533119064340074	0.502432444759426	0.502054780868261	0.517963752349865	0.517586922604167
FBgn0000052	0.525713417474156	0.556984491323924	0.505898013310737	0.537325750110326	0.515805715392446	0.547155120717125
FBgn0000053	0.444492290378254	0.406585068347395	0.456808074877028	0.418642076768049	0.450650182627641	0.412613572557722
FBgn0000057	0.51140582229941	0.524144149709948	0.497645774890847	0.510399398336339	0.504525798595128	0.517271774023144
FBgn0000063	0.515826990877558	0.513443060935573	0.517653811665736	0.515270423985639	0.516740401271647	0.514356742460606
FBgn0000064	0.532372851206793	0.54559509487305	0.529287399209093	0.542521916131815	0.530830125207943	0.544058505502433
FBgn0000075	0.495263216313269	0.443716194562318	0.489787483192649	0.438315459902131	0.492525349752959	0.441015827232224
FBgn0000077	0.583923766663426	0.529516158481434	0.409328661889172	0.357222172655662	0.496626214276299	0.443369165568548
FBgn0000078	0.50608369602151	0.579959025872169	0.488626690160142	0.56285771162695	0.497355193090826	0.571408368749559
