geneID	Log.total.allelic.expression.males	Log.total.allelic.expression.females	Log.total.allelic.expression.all	Sex.Bias.Category	log2FoldChange	Presence.of.AI	Presence.of.sex.dependent.AI	Proportion.of.DGRP177.reads.Males	Proportion.of.DGRP177.reads.Females	Bias.in.DGRP.expression.Male	Bias.in.DGRP.expression.Female	Absolute.Bias.in.DGRP.expression.Male	Absolute.Bias.in.DGRP.expression.Female	Sex.Averaged.Absolute.Bias.in.DGRP.expression	Absolute.Sex.Difference.in.Bias.in.DGRP.expression
FBgn0000008	6.58892647753352	6.50428817353665	6.54750251369552	Moderately male-biased	0.681685898756726	0	0	0.508023842274186	0.477544910179641	-0.00802384227418618	0.0224550898203593	0.00802384227418618	0.0224550898203593	0.0152394660472727	0.0304789320945455
FBgn0000017	7.14755927118945	6.77346169119876	6.97790303888422	Moderately male-biased	1.24565693834125	0	0	0.488853920797272	0.502096835684331	0.0111460792027275	-0.00209683568433083	0.0111460792027275	0.00209683568433083	0.00662145744352918	0.0132429148870584
FBgn0000018	4.61841541273811	5.57594910314632	5.20766299827991	Moderately female-biased	-0.616868931954858	0	0	0.496710526315789	0.487373737373737	0.00328947368421056	0.0126262626262627	0.00328947368421056	0.0126262626262627	0.00795786815523661	0.00933678894205209
FBgn0000024	8.30234844291672	8.2785129009529	8.29050168688634	Moderately male-biased	0.682903643176893	1	0	0.574876033057851	0.590181972069403	-0.0748760330578512	-0.0901819720694035	0.0748760330578512	0.0901819720694035	0.0825290025636273	0.0153059390115523
FBgn0000028	6.01208383431072	5.79097901968636	5.90762993702868	Moderately male-biased	1.12084169293843	1	1	0.990204081628671	0.461303462321791	-0.490204081628671	0.0386965376782089	0.490204081628671	0.0386965376782089	0.26445030965344	0.52890061930688
FBgn0000032	5.63478960316925	6.50128967054039	6.15909538849193	Moderately female-biased	-0.635405979830065	0	0	0.477380952380952	0.466966966966967	0.0226190476190476	0.0330330330330331	0.0226190476190476	0.0330330330330331	0.0278260403260403	0.0104139854139855
FBgn0000036	7.99878332429194	7.89033300252798	7.94602762753035	Moderately male-biased	0.779662062732015	1	0	0.474025974025974	0.476541053156975	0.025974025974026	0.0234589468430247	0.025974025974026	0.0234589468430247	0.0247164864085253	0.0025150791310013
FBgn0000037	7.50915260093251	7.03115215712606	7.29844510150815	Moderately male-biased	1.21123941347747	1	0	0.521008403361345	0.547142015321155	-0.0210084033613446	-0.0471420153211551	0.0210084033613446	0.0471420153211551	0.0340752093412499	0.0261336119598106
FBgn0000038	9.35354565460736	8.38335699043761	8.98176543066477	Moderately male-biased	1.95549928082926	0	0	0.497385828591236	0.496989558722659	0.00261417140876397	0.00301044127734146	0.00261417140876397	0.00301044127734146	0.00281230634305271	0.000396269868577492
FBgn0000039	7.49572711192478	6.82110747225646	7.21425910567451	Moderately male-biased	1.57587323635865	0	0	0.492871690427699	0.509632860777899	0.00712830957230148	-0.00963286077789882	0.00712830957230148	0.00963286077789882	0.00838058517510015	0.0167611703502003
FBgn0000042	8.66779472331965	8.90458484301699	8.79318216527697	Unbiased	0.251508975278431	1	1	0.995182933822291	0.507761234556728	-0.495182933822291	-0.00776123455672795	0.495182933822291	0.00776123455672795	0.25147208418951	0.487421699265563
FBgn0000043	5.21674571285422	5.61555824124136	5.4359030295006	Unbiased	0.0706573929826734	0	0	0.531645569620253	0.468446601941747	-0.0316455696202532	0.0315533980582526	0.0316455696202532	0.0315533980582526	0.0315994838392529	0.0631989676785058
FBgn0000044	8.9288170730622	9.72937223228927	9.40715363711103	Moderately female-biased	-0.558188246220766	1	0	0.527099253500596	0.523288106006506	-0.0270992535005964	-0.0232881060065064	0.0270992535005964	0.0232881060065064	0.0251936797535514	0.00381114749408995
FBgn0000045	5.8531598757308	5.64190707093811	5.7531015994304	Moderately male-biased	1.06853238261176	1	0	0.237320574162679	0.210401891252954	0.262679425837321	0.289598108747046	0.262679425837321	0.289598108747046	0.276138767292183	0.0269186829097243
FBgn0000046	6.73815249459596	7.54802896993501	7.22293091574284	Unbiased	-0.499247846480288	1	0	0.452211690363349	0.447548761201898	0.0477883096366509	0.0524512387981023	0.0477883096366509	0.0524512387981023	0.0501197742173766	0.00466292916145139
FBgn0000052	8.13329386122263	9.73753134982844	9.22757434362216	Moderately female-biased	-1.7419035099675	1	0	0.538755137991779	0.52293162813576	-0.0387551379917791	-0.0229316281357599	0.0387551379917791	0.0229316281357599	0.0308433830637695	0.0158235098560192
FBgn0000053	9.26473385580652	11.0392136355073	10.5027040180592	Highly female-biased	-2.01012751969439	1	0	0.486630678410203	0.482291789342955	0.013369321589797	0.0177082106570454	0.013369321589797	0.0177082106570454	0.0155387661234212	0.00433888906724833
FBgn0000057	6.07150725478152	6.57693371386974	6.35581826697372	Unbiased	-0.145808186808803	0	0	0.480769230769231	0.501160092807425	0.0192307692307692	-0.00116009280742457	0.0192307692307692	0.00116009280742457	0.0101954310190969	0.0203908620381938
FBgn0000064	9.77941603576362	10.6088432384256	10.2777658116313	Moderately female-biased	-0.625459075860721	1	0	0.556633144021585	0.541259858076625	-0.0566331440215854	-0.0412598580766255	0.0566331440215854	0.0412598580766255	0.0489465010491054	0.0153732859449599
FBgn0000075	5.19480699017837	5.06890420222023	5.13383572788241	Moderately male-biased	0.752908402909826	0	0	0.571164510166358	0.549266247379455	-0.0711645101663583	-0.049266247379455	0.0711645101663583	0.049266247379455	0.0602153787729066	0.0218982627869033
FBgn0000077	5.36753243556951	5.9872891756975	5.72467383368758	Unbiased	-0.255084427596899	1	1	0.993779160185213	0.479497907949791	-0.493779160185213	0.0205020920502092	0.493779160185213	0.0205020920502092	0.257140626117711	0.514281252235422
FBgn0000078	8.37708785675536	9.07107830464268	8.78311522208545	Moderately female-biased	-0.629292029745138	1	1	0.632563846920776	0.604137931034483	-0.132563846920776	-0.104137931034483	0.132563846920776	0.104137931034483	0.118350888977629	0.0284259158862932
FBgn0000079	8.23155347637642	9.31355859456198	8.91227120663791	Moderately female-biased	-0.726354500933104	1	1	0.320322895413822	0.370542961938549	0.179677104586178	0.129457038061451	0.179677104586178	0.129457038061451	0.154567071323815	0.0502200665247265
FBgn0000083	8.18692831587101	8.66853994391076	8.45645189612705	Unbiased	-0.112008720172759	1	0	0.576940914571932	0.582430806257521	-0.0769409145719319	-0.0824308062575209	0.0769409145719319	0.0824308062575209	0.0796858604147264	0.005489891685589
FBgn0000084	7.76046702921342	8.0772401528494	7.93134464714438	Unbiased	0.0553766190553903	1	1	0.994458653026428	0.558327295311046	-0.494458653026428	-0.0583272953110455	0.494458653026428	0.0583272953110455	0.276392974168737	0.436131357715382
FBgn0000097	6.78143591230347	7.22159230891077	7.02553831463852	Unbiased	-0.0738122815284368	1	0	0.517397881996974	0.518996590355577	-0.0173978819969743	-0.0189965903555772	0.0173978819969743	0.0189965903555772	0.0181972361762758	0.00159870835860287
FBgn0000108	9.70267610642833	9.74271220016316	9.72289450101584	Moderately male-biased	0.568825061259372	1	1	0.994580718767827	0.497758813051735	-0.494580718767827	0.00224118694826525	0.494580718767827	0.00224118694826525	0.248410952858046	0.496821905716092
FBgn0000109	5.03911476541812	6.2079191102714	5.78536246164862	Moderately female-biased	-1.06909340663017	0	0	0.518358531317495	0.513422818791946	-0.0183585313174947	-0.0134228187919463	0.0183585313174947	0.0134228187919463	0.0158906750547205	0.00493571252554836
FBgn0000114	7.6803295931734	8.15344567665994	7.94461036025639	Unbiased	-0.0398508265683595	1	0	0.416256157635468	0.429886821408019	0.083743842364532	0.0701131785919815	0.083743842364532	0.0701131785919815	0.0769285104782567	0.0136306637725505
FBgn0000115	6.06378520868761	6.93472172721195	6.59121638006837	Moderately female-biased	-0.637305094169505	1	0	0.545736434108527	0.527903958468527	-0.0457364341085271	-0.0279039584685269	0.0457364341085271	0.0279039584685269	0.036820196288527	0.0178324756400002
FBgn0000116	10.4590475076423	10.7220993012052	10.5991981114992	Unbiased	0.261426561522296	1	0	0.589815921587378	0.594916238486927	-0.0898159215873775	-0.0949162384869268	0.0898159215873775	0.0949162384869268	0.0923660800371521	0.00510031689954926
FBgn0000117	7.95647679803678	8.16479480424477	8.06605056981142	Unbiased	0.270671384583272	1	1	0.996496145758655	0.508771929824561	-0.496496145758655	-0.00877192982456132	0.496496145758655	0.00877192982456132	0.252634037791608	0.487724215934094
FBgn0000119	7.27632585516726	7.49942329059223	7.39408327114773	Unbiased	0.292135026664047	0	0	0.489047728844824	0.494373731783804	0.0109522711551764	0.00562626821619627	0.0109522711551764	0.00562626821619627	0.00828926968568636	0.00532600293898017
FBgn0000120	11.583871538826	12.1786980228974	11.9248750588385	Unbiased	-0.260404876139252	1	0	0.508229909612274	0.509289171939609	-0.00822990961227354	-0.00928917193960921	0.00822990961227354	0.00928917193960921	0.00875954077594138	0.00105926232733566
FBgn0000121	12.0675516828211	12.6879214676594	12.4250917028007	Unbiased	-0.325157754058078	1	0	0.494738575041109	0.495728501738143	0.00526142495889065	0.0042714982618568	0.00526142495889065	0.0042714982618568	0.00476646161037372	0.000989926697033849
FBgn0000139	5.76623548930275	6.28164349975835	6.05678401322862	Unbiased	-0.140600286162923	1	0	0.582463465553236	0.564214463840399	-0.0824634655532358	-0.0642144638403989	0.0824634655532358	0.0642144638403989	0.0733389646968173	0.0182490017128369
FBgn0000152	5.23288956122558	5.86457769720213	5.59780448444958	Unbiased	-0.143336058046404	1	1	0.996441281138787	0.536423841059603	-0.496441281138787	-0.0364238410596028	0.496441281138787	0.0364238410596028	0.266432561099195	0.460017440079184
FBgn0000153	6.44571981938558	6.85996461514579	6.67414042780063	Unbiased	0.0263608710207042	1	0	0.457142857142857	0.451748251748252	0.0428571428571429	0.0482517482517484	0.0428571428571429	0.0482517482517484	0.0455544455544457	0.00539460539460551
FBgn0000157	5.23998178953507	4.9881624382442	5.12197788143163	Moderately male-biased	0.802753773706422	0	0	0.503533568904594	0.488636363636364	-0.00353356890459366	0.0113636363636364	0.00353356890459366	0.0113636363636364	0.00744860263411501	0.01489720526823
FBgn0000163	7.32558803589896	7.33802139488971	7.33182403882185	Moderately male-biased	0.695438391978232	1	1	0.99451273046532	0.513765445480165	-0.49451273046532	-0.0137654454801652	0.49451273046532	0.0137654454801652	0.254139087972743	0.480747284985155
FBgn0000173	7.89568426910909	8.67658724356649	8.3605003942561	Unbiased	-0.488942786048759	1	1	0.992428943775599	0.474704411095953	-0.492428943775599	0.025295588904047	0.492428943775599	0.025295588904047	0.258862266339823	0.517724532679646
FBgn0000179	6.86762748789136	6.87350884025355	6.87057248785442	Moderately male-biased	0.675368995176441	1	1	0.993407356001616	0.47982062780269	-0.493407356001616	0.0201793721973098	0.493407356001616	0.0201793721973098	0.256793364099463	0.513586728198926
FBgn0000180	5.07933182538249	5.09579310243656	5.08759633523238	Moderately male-biased	0.64903052335716	1	0	0.54149377593361	0.553061224489796	-0.0414937759336099	-0.0530612244897958	0.0414937759336099	0.0530612244897958	0.0472775002117028	0.0115674485561859
FBgn0000181	6.77002460551606	7.15383380157884	6.98023096730419	Moderately female-biased	-0.722522099800317	1	0	0.455241009946442	0.462079749804535	0.0447589900535578	0.0379202501954652	0.0447589900535578	0.0379202501954652	0.0413396201245115	0.00683873985809258
FBgn0000183	7.67492709489006	7.9373746961633	7.81473614153051	Unbiased	0.222321785356731	0	0	0.49852963937471	0.519166666666667	0.0014703606252901	-0.0191666666666667	0.0014703606252901	0.0191666666666667	0.0103185136459784	0.0206370272919568
FBgn0000206	8.05790527661057	8.40529281891801	8.24660856550189	Unbiased	0.0227622492510892	1	0	0.460109750949768	0.467939158962123	0.0398902490502323	0.0320608410378767	0.0398902490502323	0.0320608410378767	0.0359755450440545	0.0078294080123556
FBgn0000212	7.3375877435386	7.47779276237997	7.41014542392703	Unbiased	0.383266279908872	0	0	0.500108436347864	0.49368520263902	-0.000108436347863727	0.00631479736098017	0.000108436347863727	0.00631479736098017	0.00321161685442195	0.0064232337088439
FBgn0000221	4.86496705495034	5.37989735354046	5.15521652290736	Unbiased	-0.0669047085066906	0	0	0.99999999994138	0.411674347158215	-0.49999999994138	0.0883256528417849	0.49999999994138	0.0883256528417849	0.294162826391582	0.588325652783164
FBgn0000228	7.37755055319014	7.41958040308121	7.39878627541995	Moderately male-biased	0.507724545148167	0	0	0.509897895394874	0.514485514485514	-0.00989789539487396	-0.0144855144855144	0.00989789539487396	0.0144855144855144	0.0121917049401942	0.00458761909064043
FBgn0000229	7.80384330353877	8.40223117294656	8.14714348852903	Unbiased	-0.218498515369613	0	0	0.506530612244898	0.514770772567497	-0.00653061224489793	-0.0147707725674967	0.00653061224489793	0.0147707725674967	0.0106506924061973	0.00824016032259878
FBgn0000239	5.49580117108167	6.49627209854841	6.11625997540442	Moderately female-biased	-0.719401468210906	1	0	0.461012311901505	0.44466800804829	0.0389876880984953	0.0553319919517103	0.0389876880984953	0.0553319919517103	0.0471598400251028	0.0163443038532151
FBgn0000241	6.77574653606177	6.88448665204278	6.83159391801657	Unbiased	0.451953870389712	1	0	0.545074172689235	0.551006482429205	-0.0450741726892353	-0.0510064824292049	0.0450741726892353	0.0510064824292049	0.0480403275592201	0.00593230973996961
FBgn0000244	5.32463467486541	5.76414562438329	5.5683445037611	Unbiased	-0.137950661017413	0	0	0.521103896103896	0.501046025104603	-0.0211038961038961	-0.00104602510460261	0.0211038961038961	0.00104602510460261	0.0110749606042493	0.0200578709992935
