geneID	Log.total.allelic.expression.males	Log.total.allelic.expression.females	Log.total.allelic.expression.all	Sex.Bias.Category	log2FoldChange	Presence.of.AI	Presence.of.sex.dependent.AI	Proportion.of.DGRP177.reads.Males	Proportion.of.DGRP177.reads.Females	Bias.in.DGRP.expression.Male	Bias.in.DGRP.expression.Female	Absolute.Bias.in.DGRP.expression.Male	Absolute.Bias.in.DGRP.expression.Female	Sex.Averaged.Absolute.Bias.in.DGRP.expression	Absolute.Sex.Difference.in.Bias.in.DGRP.expression
FBgn0000008	6.70318811324086	6.96665292022962	6.84357225020522	Unbiased	-0.111476049541735	0	0	0.516973415132924	0.506599622878693	-0.0169734151329244	-0.00659962287869276	0.0169734151329244	0.00659962287869276	0.0117865190058086	0.0103737922542316
FBgn0000014	5.88610403145016	4.76501888692999	5.47506787829254	Moderately male-biased	1.95932393162875	0	0	0.487962962962963	0.559659090909091	0.012037037037037	-0.0596590909090908	0.012037037037037	0.0596590909090908	0.0358480639730639	0.0716961279461278
FBgn0000017	6.50078904474771	7.24755530569603	6.94231772333125	Moderately female-biased	-0.793390455557096	0	0	0.491737606409614	0.494779307071666	0.00826239359038555	0.00522069292833421	0.00826239359038555	0.00522069292833421	0.00674154325935988	0.00304170066205134
FBgn0000018	5.73979291217923	6.3261494731551	6.07534603108868	Moderately female-biased	-0.668496252910936	0	0	0.544480171489818	0.494335122242099	-0.0444801714898178	0.00566487775790087	0.0444801714898178	0.00566487775790087	0.0250725246238593	0.0501450492477186
FBgn0000024	7.26892012819372	5.97041113791015	6.81710091071401	Moderately male-biased	1.99334385125382	1	0	0.574216027874564	0.582127659574468	-0.0742160278745645	-0.0821276595744681	0.0742160278745645	0.0821276595744681	0.0781718437245163	0.00791163169990361
FBgn0000032	6.79682371827486	8.65596914061347	8.10761965526353	Highly female-biased	-2.64073302014142	0	1	0.486778398510242	0.52271804096791	0.0132216014897579	-0.0227180409679103	0.0132216014897579	0.0227180409679103	0.0179698212288341	0.0359396424576682
FBgn0000036	6.75886849827442	5.25052670271169	6.26561801932994	Highly male-biased	2.35393298986565	0	0	0.487814313346228	0.496503496503496	0.0121856866537718	0.00349650349650354	0.0121856866537718	0.00349650349650354	0.00784109507513769	0.0086891831572683
FBgn0000038	8.07173907509171	6.22389814532928	7.52492093851945	Highly male-biased	2.94156413898281	1	0	0.480849292256453	0.486789960369881	0.019150707743547	0.0132100396301189	0.019150707743547	0.0132100396301189	0.0161803736868329	0.00594066811342814
FBgn0000042	8.67522205564115	9.56392721931568	9.2152118205132	Moderately female-biased	-1.24538617536525	1	1	0.00387067395264116	0.494324166179051	0.496129326047359	0.00567583382094888	0.496129326047359	0.00567583382094888	0.250902579934154	0.49045349222641
FBgn0000043	7.90666999954025	8.12237124340655	8.02032525983473	Unbiased	-0.118122522630644	0	0	0.495457893444638	0.496091817552193	0.00454210655536241	0.00390818244780694	0.00454210655536241	0.00390818244780694	0.00422514450158468	0.000633924107555472
FBgn0000044	9.95838600718356	8.48769572062722	9.47206340525787	Highly male-biased	2.39983963478343	0	0	0.505143091534408	0.500137324910739	-0.00514309153440784	-0.000137324910738812	0.00514309153440784	0.000137324910738812	0.00264020822257333	0.00500576662366903
FBgn0000045	9.36993335840773	6.70441435496411	8.74403655663694	Highly male-biased	4.16851329984867	0	0	0.497002074394021	0.490604575163399	0.00299792560597884	0.00939542483660133	0.00299792560597884	0.00939542483660133	0.00619667522129008	0.00639749923062249
FBgn0000046	9.35198459971126	7.30742585338197	8.78055695621681	Highly male-biased	3.33963172583016	1	0	0.485259655721105	0.476754582029504	0.0147403442788949	0.0232454179704963	0.0147403442788949	0.0232454179704963	0.0189928811246956	0.00850507369160142
FBgn0000047	8.77457068360316	5.04342511691925	8.10510620699919	Highly male-biased	5.32779255357289	0	0	0.501932690821007	0.50752688172043	-0.001932690821007	-0.00752688172043015	0.001932690821007	0.00752688172043015	0.00472978627071857	0.00559419089942315
FBgn0000052	7.90051310285914	8.77781234431833	8.43243382220703	Moderately female-biased	-0.967583374330689	0	0	0.543848814229249	0.503185040583581	-0.0438488142292489	-0.00318504058358149	0.0438488142292489	0.00318504058358149	0.0235169274064152	0.0406637736456674
FBgn0000053	8.42178300661158	9.046722799976	8.78229728885477	Moderately female-biased	-0.749163211915014	1	0	0.43043637697103	0.45049466080402	0.0695636230289695	0.0495053391959799	0.0695636230289695	0.0495053391959799	0.0595344811124747	0.0200582838329896
FBgn0000057	6.95939851213398	6.80165374809959	6.88363333686173	Unbiased	0.35113411342366	0	0	0.504273504273504	0.504818383988139	-0.00427350427350426	-0.00481838398813927	0.00427350427350426	0.00481838398813927	0.00454594413082177	0.000544879714635016
FBgn0000063	5.62762111369064	7.27239839257005	6.75576892198425	Highly female-biased	-2.15979301686354	0	0	0.531175059952038	0.514583333333333	-0.0311750599520384	-0.0145833333333334	0.0311750599520384	0.0145833333333334	0.0228791966426859	0.016591726618705
FBgn0000064	10.4333311821379	9.25272913846797	10.0079902003305	Moderately male-biased	1.747090782556	1	1	0.543033751962323	0.527620690756893	-0.0430337519623234	-0.0276206907568932	0.0430337519623234	0.0276206907568932	0.0353272213596083	0.0154130612054302
FBgn0000075	4.21950770517611	5.77971417962322	5.2772639573502	Highly female-biased	-2.36285630309711	0	0	0.411764705884622	0.495365602471679	0.0882352941153782	0.00463439752832129	0.0882352941153782	0.00463439752832129	0.0464348458218497	0.0836008965870569
