geneID	Log.total.allelic.expression.males	Log.total.allelic.expression.females	Log.total.allelic.expression.all	Sex.Bias.Category	log2FoldChange	Presence.of.AI	Presence.of.sex.dependent.AI	Proportion.of.DGRP177.reads.Males	Proportion.of.DGRP177.reads.Females	Bias.in.DGRP.expression.Male	Bias.in.DGRP.expression.Female	Absolute.Bias.in.DGRP.expression.Male	Absolute.Bias.in.DGRP.expression.Female	Sex.Averaged.Absolute.Bias.in.DGRP.expression	Absolute.Sex.Difference.in.Bias.in.DGRP.expression
FBgn0000008	6.14490068599737	6.42162226780652	6.29280294600725	Unbiased	-0.0413224180799776	0	0	0.528234453180843	0.520325203252032	-0.0282344531808435	-0.0203252032520324	0.0282344531808435	0.0203252032520324	0.0242798282164379	0.00790924992881115
FBgn0000017	6.07611202116827	6.65415252018322	6.40632977972806	Unbiased	-0.447381892389943	0	0	0.474732006125574	0.497852233676976	0.0252679938744257	0.0021477663230241	0.0252679938744257	0.0021477663230241	0.0137078800987249	0.0231202275514016
FBgn0000018	5.50533153593236	6.07687742495611	5.83139359924885	Unbiased	-0.361534300750877	0	0	0.516260162601626	0.513389441469013	-0.0162601626016261	-0.0133894414690131	0.0162601626016261	0.0133894414690131	0.0148248020353196	0.002870721132613
FBgn0000024	6.80903930604298	5.10997773742852	6.28382316744367	Highly male-biased	2.44915666257726	1	0	0.572847682119205	0.58953722334001	-0.0728476821192054	-0.0895372233400101	0.0728476821192054	0.0895372233400101	0.0811924527296078	0.0166895412208047
FBgn0000032	6.29588081855093	8.39487488695809	7.8173570227055	Highly female-biased	-2.70637544269226	0	1	0.493546404425323	0.528817901002034	0.00645359557467734	-0.0288179010020342	0.00645359557467734	0.0288179010020342	0.0176357482883558	0.0352714965767115
FBgn0000036	6.1855225175271	4.48488402011359	5.66006276729988	Highly male-biased	2.87773505992162	0	0	0.479066575154427	0.481203007518797	0.0209334248455731	0.018796992481203	0.0209334248455731	0.018796992481203	0.019865208663388	0.00213643236437011
FBgn0000038	7.36854996914256	5.31811999384422	6.79645120942346	Highly male-biased	3.35669693103958	1	0	0.484861227922624	0.450980392156863	0.0151387720773759	0.0490196078431371	0.0151387720773759	0.0490196078431371	0.0320791899602565	0.0338808357657612
FBgn0000042	8.26427748176836	9.12648763758221	8.78556501533352	Moderately female-biased	-0.970620253828777	1	1	0.995535714285703	0.50367926922101	-0.495535714285703	-0.00367926922101036	0.495535714285703	0.00367926922101036	0.249607491753357	0.491856445064693
FBgn0000043	7.42297125104942	7.73339164258816	7.59017849617911	Unbiased	-0.0188525990194486	0	0	0.481680605336519	0.501751824817518	0.0183193946634808	-0.00175182481751801	0.0183193946634808	0.00175182481751801	0.0100356097404994	0.0200712194809988
FBgn0000044	8.97157543975902	7.85153146779115	8.56079531778612	Highly male-biased	2.23542453303483	0	0	0.484763839512443	0.503826696069529	0.0152361604875572	-0.00382669606952912	0.0152361604875572	0.00382669606952912	0.00953142827854314	0.0190628565570863
