geneID	Log.total.allelic.expression	Sex.Bias.Category	log2FoldChange	Presence.of.AI	Presence.of.sex.dependent.AI	Proportion.of.DGRP177.reads.Males	Proportion.of.DGRP177.reads.Females	Bias.in.DGRP.expression.Male	Bias.in.DGRP.expression.Female	Absolute.Bias.in.DGRP.expression.Male	Absolute.Bias.in.DGRP.expression.Female	Sex.Averaged.Absolute.Bias.in.DGRP.expression	Absolute.Sex.Difference.in.Bias.in.DGRP.expression
FBgn0000008	5.95237715839994	Moderately male-biased	1.70675753827097	0	0	0.55561797752809	0.488636363636364	-0.0556179775280899	0.0113636363636364	0.0556179775280899	0.0113636363636364	0.0334908069458632	0.0669816138917264
FBgn0000017	5.66873083659728	Moderately male-biased	1.66890977949536	0	0	0.485371342835709	0.496296296296296	0.0146286571642911	0.00370370370370371	0.0146286571642911	0.00370370370370371	0.00916618043399739	0.0109249534605874
FBgn0000032	6.96208562352718	Moderately female-biased	-0.698678789973122	1	1	0.48804347826087	0.532027972027972	0.0119565217391305	-0.032027972027972	0.0119565217391305	0.032027972027972	0.0219922468835513	0.0439844937671025
FBgn0000042	8.579980179515	Moderately female-biased	-1.58543455001041	1	1	0.995785036880921	0.508672401767031	-0.495785036880921	-0.00867240176703088	0.495785036880921	0.00867240176703088	0.252228719323976	0.48711263511389
FBgn0000043	8.1372008792811	Highly male-biased	2.00873253408536	1	1	0.503238142231543	0.478270973739252	-0.00323814223154251	0.0217290262607482	0.00323814223154251	0.0217290262607482	0.0124835842461454	0.0249671684922907
FBgn0000044	6.35726439882372	Moderately male-biased	1.50210762703565	0	0	0.503182179793158	0.461945031712474	-0.00318217979315838	0.0380549682875264	0.00318217979315838	0.0380549682875264	0.0206185740403424	0.0412371480806848
FBgn0000052	7.15135483886373	Moderately female-biased	-1.8158139589401	0	0	0.582722513089005	0.542558746736081	-0.0827225130890051	-0.0425587467360811	0.0827225130890051	0.0425587467360811	0.0626406299125431	0.0401637663529241
FBgn0000053	7.10387015790843	Moderately female-biased	-1.5084193910358	1	1	0.524395604395604	0.462487562189055	-0.0243956043956041	0.0375124378109453	0.0243956043956041	0.0375124378109453	0.0309540211032747	0.0619080422065493
FBgn0000057	6.73558205324	Moderately male-biased	1.95355917773146	0	0	0.528324247452003	0.548076923076923	-0.028324247452003	-0.0480769230769229	0.028324247452003	0.0480769230769229	0.038200585264463	0.0197526756249199
FBgn0000063	5.74513766033812	Moderately male-biased	1.47214500228122	0	0	0.507451564828614	0.578651685393259	-0.00745156482861398	-0.0786516853932586	0.00745156482861398	0.0786516853932586	0.0430516251109363	0.0712001205646446
FBgn0000064	8.51775969758798	Moderately male-biased	1.96813678701374	0	0	0.501946701946702	0.474171813587872	-0.00194670194670188	0.0258281864121279	0.00194670194670188	0.0258281864121279	0.0138874441794149	0.0277748883588298
FBgn0000079	7.92395167583115	Highly male-biased	2.28351096921248	1	1	0.441486690105475	0.700265251989388	0.0585133098945255	-0.200265251989388	0.0585133098945255	0.200265251989388	0.129389280941957	0.258778561883914
FBgn0000083	7.39480037408272	Unbiased	-0.492931862146655	1	1	0.531610422896198	0.681093842217347	-0.0316104228961982	-0.181093842217347	0.0316104228961982	0.181093842217347	0.106352132556773	0.149483419321149
FBgn0000084	6.60326608821398	Moderately female-biased	-0.93712340750896	1	1	0.99399235390497	0.598689282960679	-0.49399235390497	-0.098689282960679	0.49399235390497	0.098689282960679	0.296340818432825	0.395303070944291
FBgn0000097	5.43372200355424	Moderately female-biased	-0.944051831075516	1	1	0.642424242424242	0.547212741751991	-0.142424242424242	-0.047212741751991	0.142424242424242	0.047212741751991	0.0948184920881167	0.0952115006722515
FBgn0000109	4.87646877918935	Moderately female-biased	-0.791550602323468	0	0	0.488372093023256	0.495884773662551	0.0116279069767442	0.00411522633744854	0.0116279069767442	0.00411522633744854	0.00787156665709637	0.00751268063929567
FBgn0000114	9.88131010759142	Moderately male-biased	1.06670434658593	1	1	0.502816121139375	0.440274703814608	-0.00281612113937491	0.0597252961853924	0.00281612113937491	0.0597252961853924	0.0312707086623836	0.0625414173247673
FBgn0000115	6.57762952741979	Moderately female-biased	-1.99525217735514	0	0	0.519077901430843	0.380360065466449	-0.0190779014308428	0.119639934533551	0.0190779014308428	0.119639934533551	0.0693589179821971	0.138717835964394
FBgn0000116	8.1763915966338	Unbiased	-0.023940346064927	1	0	0.743560439560426	0.718401766890875	-0.243560439560426	-0.218401766890875	0.243560439560426	0.218401766890875	0.230981103225651	0.0251586726695509
FBgn0000117	7.49859284071751	Highly female-biased	-2.62694786935024	1	1	0.998647430117018	0.527219965177017	-0.498647430117018	-0.0272199651770165	0.498647430117018	0.0272199651770165	0.262933697647017	0.471427464940001
FBgn0000119	6.85646198459459	Highly male-biased	3.28860858213623	1	1	0.395837348236655	0.50880626223092	0.104162651763345	-0.00880626223091951	0.104162651763345	0.00880626223091951	0.0564844569971325	0.112968913994265
FBgn0000139	5.87960145396259	Unbiased	0.0567237805550371	0	0	0.509571558796718	0.446139180171592	-0.00957155879671823	0.0538608198284079	0.00957155879671823	0.0538608198284079	0.0317161893125631	0.0634323786251261
FBgn0000140	7.8397224902413	Moderately male-biased	0.991598554767857	1	1	0.598798674399337	0.517111628740369	-0.0987986743993372	-0.0171116287403689	0.0987986743993372	0.0171116287403689	0.057955151569853	0.0816870456589683
FBgn0000146	6.45073368395957	Moderately female-biased	-0.995375851578565	0	0	0.468421052631579	0.461075592327943	0.031578947368421	0.0389244076720571	0.031578947368421	0.0389244076720571	0.0352516775202391	0.00734546030363614
FBgn0000147	7.39203156751459	Unbiased	-0.130529511204646	0	0	0.48815493688397	0.264981036662623	0.0118450631160298	0.235018963337377	0.0118450631160298	0.235018963337377	0.123432013226703	0.223173900221347
FBgn0000158	4.73911815849783	Moderately female-biased	-1.2711141825046	0	0	0.438596491228763	0.427947598253276	0.0614035087712372	0.0720524017467238	0.0614035087712372	0.0720524017467238	0.0667279552589805	0.0106488929754866
FBgn0000163	6.2832008898878	Unbiased	-0.0110457149609369	1	1	0.992704826038159	0.50314465408805	-0.492704826038159	-0.0031446540880502	0.492704826038159	0.0031446540880502	0.247924740063105	0.489560171950109
FBgn0000173	6.62184940593161	Highly female-biased	-2.07640528127307	1	1	0.993572084481175	0.513892951155308	-0.493572084481175	-0.0138929511553076	0.493572084481175	0.0138929511553076	0.253732517818241	0.479679133325868
FBgn0000181	6.39859493453521	Highly female-biased	-2.66944857123159	1	0	0.48460960960961	0.383227176220833	0.0153903903903903	0.116772823779167	0.0153903903903903	0.116772823779167	0.0660816070847784	0.101382433388776
FBgn0000183	6.81106080815562	Moderately female-biased	-0.528669882599175	1	0	0.454613653413353	0.462783171521036	0.0453863465866466	0.0372168284789643	0.0453863465866466	0.0372168284789643	0.0413015875328054	0.00816951810768229
FBgn0000212	5.94803498918065	Unbiased	-0.465603388099383	0	0	0.533869115958668	0.50385423966363	-0.0338691159586682	-0.00385423966362985	0.0338691159586682	0.00385423966362985	0.018861677811149	0.0300148762950383
FBgn0000221	6.16331480403464	Highly female-biased	-2.1253434925463	1	1	0.996113989634361	0.434552454282963	-0.496113989634361	0.0654475457170371	0.496113989634361	0.0654475457170371	0.280780767675699	0.561561535351399
FBgn0000228	5.57847117257903	Moderately female-biased	-1.34644804589341	0	0	0.491258741258741	0.491141732283465	0.0087412587412587	0.00885826771653542	0.0087412587412587	0.00885826771653542	0.00879976322889706	0.000117008975276722
FBgn0000229	5.93445318127947	Moderately male-biased	1.73385602222236	1	1	0.50164113785558	0.544419134396355	-0.00164113785557984	-0.0444191343963555	0.00164113785557984	0.0444191343963555	0.0230301361259677	0.0427779965407756
FBgn0000239	6.10776500280414	Moderately male-biased	0.719792282989311	1	1	0.454591577879249	0.508965517241379	0.045408422120751	-0.00896551724137939	0.045408422120751	0.00896551724137939	0.0271869696810652	0.0543739393621304
FBgn0000246	4.41683055686857	Moderately female-biased	-1.22897640547045	0	0	0.509433962264151	0.464497041420118	-0.00943396226415083	0.0355029585798817	0.00943396226415083	0.0355029585798817	0.0224684604220163	0.0449369208440326
FBgn0000247	6.86884118548291	Highly male-biased	2.78980553286093	0	0	0.518380062305296	0.480125523012552	-0.0183800623052961	0.0198744769874476	0.0183800623052961	0.0198744769874476	0.0191272696463718	0.0382545392927437
FBgn0000250	6.90825515402379	Moderately female-biased	-0.819326176241851	0	0	0.493957703927492	0.472989793378143	0.00604229607250756	0.0270102066218571	0.00604229607250756	0.0270102066218571	0.0165262513471823	0.0209679105493495
FBgn0000251	6.67687353157281	Moderately male-biased	0.624148799514926	0	0	0.468169357295157	0.503378378378378	0.0318306427048431	-0.0033783783783784	0.0318306427048431	0.0033783783783784	0.0176045105416108	0.0352090210832215
FBgn0000253	8.17634472639405	Moderately male-biased	0.531287150922596	0	0	0.490444823940799	0.489378181013499	0.00955517605920148	0.0106218189865014	0.00955517605920148	0.0106218189865014	0.0100884975228515	0.00106664292729997
FBgn0000256	9.41021529635104	Highly male-biased	5.74187690416764	0	0	0.471679239778269	0.527777777777778	0.0283207602217314	-0.0277777777777777	0.0283207602217314	0.0277777777777777	0.0280492689997545	0.056098537999509
FBgn0000257	6.63266032203583	Highly female-biased	-2.69421828584226	1	1	0.997755331001594	0.422804146208401	-0.497755331001594	0.0771958537915989	0.497755331001594	0.0771958537915989	0.287475592396597	0.574951184793193
