geneID	Presence.of.AI	Presence.of.sex.dependent.AI	Presence.of.tissue.dependent.AI	Presence.of.interactionEffects.on.AI	Proportion.of.DGRP177.reads.Ovaries	Proportion.of.DGRP177.reads.Testes	Proportion.of.DGRP177.reads.Female.Heads	Proportion.of.DGRP177.reads.Male.Heads
FBgn0000008	0	1	0	0	0.488636363636364	0.55561797752809	0.477544910179641	0.508023842274186
FBgn0000017	0	0	0	0	0.496296296296296	0.485371342835709	0.502096835684331	0.488853920797272
FBgn0000032	0	0	0	0	0.532027972027972	0.48804347826087	0.466966966966967	0.477380952380952
FBgn0000043	0	1	0	0	0.478270973739252	0.503238142231543	0.468446601941748	0.531645569620253
FBgn0000052	1	0	0	0	0.542558746736081	0.582722513089005	0.52293162813576	0.538755137991779
FBgn0000064	1	1	1	0	0.474171813587872	0.501946701946702	0.541259858076625	0.556633144021585
FBgn0000083	1	1	0	1	0.681093842217347	0.531610422896199	0.582430806257521	0.576940914571932
FBgn0000109	0	0	0	0	0.495884773662551	0.488372093023256	0.513422818791946	0.518358531317495
FBgn0000115	0	0	0	0	0.380360065466448	0.519077901430843	0.527903958468527	0.545736434108527
FBgn0000181	1	1	0	1	0.383227176220833	0.48460960960961	0.462079749804535	0.455241009946442
FBgn0000183	1	0	1	0	0.462783171521036	0.454613653413353	0.519166666666667	0.49852963937471
FBgn0000212	0	0	0	0	0.50385423966363	0.533869115958668	0.49368520263902	0.500108436347864
FBgn0000239	1	0	0	1	0.508965517241379	0.454591577879249	0.44466800804829	0.461012311901505
FBgn0000247	0	0	0	0	0.480125523012552	0.518380062305296	0.498184597745079	0.498926829268293
FBgn0000250	0	0	0	0	0.472989793378143	0.493957703927492	0.486683291770574	0.497854813797838
FBgn0000253	1	0	1	0	0.489378181013498	0.490444823940798	0.554362832951072	0.54020007176898
FBgn0000261	0	0	0	0	0.486421243210622	0.50063768115942	0.488027908451821	0.480314960629921
FBgn0000273	1	0	0	0	0.457178320231692	0.445776566757493	0.446444665264715	0.454542551492895
FBgn0000286	1	1	1	0	0.412017167381977	0.464506172839506	0.470799640610961	0.504501887888469
FBgn0000289	1	1	0	1	0.48604342046965	0.527845036319613	0.513432835820895	0.505883825738608
FBgn0000299	1	0	0	0	0.517686692869174	0.501546391752577	0.541879096868172	0.541437943499799
FBgn0000308	1	1	0	0	0.417974322396576	0.484594594594594	0.451800433839479	0.477591670439113
FBgn0000317	1	0	0	0	0.537243947858473	0.544045102184637	0.513666352497644	0.508881661245934
FBgn0000318	1	1	1	1	0.357197993052905	0.467010309278351	0.510164095028166	0.540330417881438
FBgn0000320	0	0	0	0	0.510903426791277	0.553604436229205	0.475235849056604	0.506601282534893
FBgn0000326	0	1	1	1	0.486051502145923	0.622053872053872	0.479244402985074	0.4797261716693
FBgn0000370	0	0	0	0	0.549285541293291	0.50602130616026	0.494274262811337	0.500307398046315
FBgn0000384	0	0	0	0	0.486434108527132	0.509803921568628	0.430834213305174	0.487341772151899
FBgn0000404	0	0	0	0	0.500359771959927	0.493307401899096	0.40613026819926	0.484472049689441
FBgn0000406	1	0	0	0	0.44222539229704	0.461685823754789	0.455605699789616	0.46966437911844
FBgn0000412	0	0	0	0	0.492466872390633	0.507080532112716	0.48677080012751	0.494264439525055
FBgn0000416	1	1	0	1	0.519933434628464	0.496733519119192	0.513923906223262	0.514178159301998
FBgn0000447	0	0	0	0	0.512733446519525	0.494579646017699	0.495528669121515	0.506654835847382
FBgn0000454	0	0	1	0	0.500859462983818	0.523989898989899	0.489540497049884	0.496744598993785
FBgn0000455	1	1	1	0	0.514035087719298	0.463024650233178	0.454683065279092	0.421969427657305
FBgn0000463	1	0	0	0	0.518257527226137	0.555688622754491	0.52377762893503	0.535960591133005
FBgn0000543	1	1	0	1	0.536477523949889	0.386928104575164	0.481614057923853	0.502467474203679
FBgn0000547	1	0	0	0	0.47531847133758	0.481989708404803	0.47256711409396	0.473748935767666
FBgn0000562	1	0	0	1	0.548012764722948	0.487208008898776	0.512909979064899	0.53136637066743
FBgn0000565	1	1	1	0	0.619984859954564	0.512886597938145	0.628658732711483	0.585990023855997
FBgn0000566	1	1	1	1	0.423605497170574	0.553262316910786	0.656377402446127	0.622074544929211
FBgn0000568	1	0	0	1	0.458794587945879	0.506482281763181	0.499677538234752	0.483464154892726
FBgn0000575	0	0	0	0	0.476072094468614	0.558766859344894	0.511161865468209	0.509547450830628
FBgn0000578	1	0	1	0	0.51894451962111	0.48	0.535033259423503	0.544949818492419
FBgn0000636	0	0	0	0	0.504540867810293	0.509846827133479	0.495123989969351	0.461133069828722
FBgn0000662	0	0	0	0	0.461683417085427	0.53494623655914	0.503483386923901	0.509147127029116
FBgn0000721	0	0	0	1	0.468755627588691	0.51863990167964	0.506570778145696	0.500614650372406
FBgn0001084	1	0	0	0	0.560574948665298	0.576612903225806	0.564593301435407	0.551075268817204
FBgn0001108	1	1	1	1	0.478364861926506	0.272294077603814	0.516934801016088	0.513608870967742
FBgn0001122	0	1	0	1	0.536159600997506	0.417767106842737	0.511525678138737	0.51264186987302
FBgn0001125	1	1	1	1	0.562806926854484	0.466016104817797	0.554093339324854	0.576798541069634
FBgn0001133	0	0	0	1	0.734974241556954	0.451770451770452	0.491116751269035	0.495333333333333
FBgn0001169	0	1	0	0	0.493395493395493	0.515984296130118	0.468885672937771	0.518348623853211
FBgn0001187	1	1	0	1	0.447945205479452	0.5187265917603	0.48045870764609	0.485587583148559
FBgn0001202	1	0	1	0	0.505249343832021	0.483606557377049	0.448046717680225	0.467193907439953
FBgn0001215	1	0	0	0	0.531380753138075	0.521736209097628	0.503312476996687	0.511706670593433
FBgn0001220	0	1	1	0	0.46969696969697	0.510910118711136	0.502681835263572	0.517472249955952
FBgn0001257	0	1	0	0	0.536585365853659	0.460285132382893	0.550227511375569	0.521804511278195
FBgn0001296	0	0	0	0	0.479617304492512	0.485436893203884	0.486004306367272	0.493536340132146
FBgn0001941	1	1	0	1	0.471868815380266	0.560534960112623	0.518443453587353	0.504864489228631
FBgn0001965	1	0	0	0	0.547169811320755	0.547747747747748	0.528980446927374	0.520987654320987
FBgn0001987	1	1	0	1	0.691126279863481	0.421160409556314	0.510562235944101	0.542682926829269
FBgn0001989	0	1	0	0	0.449144421629021	0.525101474044008	0.510902547456072	0.521108351849432
FBgn0001990	0	0	0	0	0.481145251396648	0.502768549280177	0.535980148883375	0.530690537084399
FBgn0001994	0	0	0	0	0.540832666132906	0.490774907749077	0.528590812172902	0.516153457849571
FBgn0002021	0	0	0	0	0.480859010270775	0.504264927245359	0.494014365522745	0.473863636363636
FBgn0002022	1	0	1	0	0.490081383519837	0.531456953642384	0.548803827751196	0.551194539249147
FBgn0002031	1	0	1	0	0.509161114476075	0.499770295990024	0.484646194926569	0.474873137993125
FBgn0002069	1	1	0	0	0.435994930291509	0.482758620689655	0.41231593038822	0.471666666666666
FBgn0002174	0	1	0	1	0.478868660598179	0.544698270170342	0.510813280536095	0.503953391593841
FBgn0002354	0	1	1	1	0.488101533580116	0.581395348837209	0.481874447391689	0.480672268907563
FBgn0002413	1	0	0	0	0.501011560693642	0.481168602604717	0.473022583157192	0.481667957655564
FBgn0002441	0	0	0	0	0.46833855799373	0.512227741688957	0.494308943089431	0.503181595692609
FBgn0002524	0	0	0	0	0.499612703330751	0.47719298245614	0.493783869939433	0.506904231625835
FBgn0002525	0	0	0	0	0.522469135802469	0.51648965902739	0.477999073645206	0.518143009605123
FBgn0002526	0	0	0	0	0.476070528967254	0.516355140186916	0.553391053391053	0.49607535321821
FBgn0002567	1	0	1	0	0.493849938499385	0.492897727272727	0.429945495351074	0.434570456897826
FBgn0002593	0	1	1	1	0.466274480846071	0.503162282593072	0.523426823454632	0.517765454918874
FBgn0002622	0	0	0	0	0.565554780809285	0.501076426264801	0.495172913928296	0.500079541839007
FBgn0002638	1	1	0	0	0.465640461792194	0.387488181531674	0.459968102073365	0.439834024896266
FBgn0002643	1	1	0	1	0.519558676028084	0.42600700525394	0.455296455087316	0.475626269465132
FBgn0002715	0	1	0	0	0.450317124735749	0.521395528141866	0.452205882352941	0.611111111111052
FBgn0002719	1	0	1	0	0.480566435673396	0.489998280506677	0.447935174268967	0.462692415337252
FBgn0002736	0	0	0	0	0.531052806376619	0.509824198552223	0.505747126436782	0.503067484662577
FBgn0002772	0	0	0	0	0.441860465117407	0.494764397905759	0.493260081558677	0.481224725592143
FBgn0002778	1	0	1	0	0.474531998258598	0.454935622317598	0.60403436682854	0.616352201257862
FBgn0002781	0	0	0	0	0.503858435337946	0.506359781950333	0.511967308814945	0.489522847765716
FBgn0002783	0	1	0	0	0.466417910447762	0.529069767441861	0.46908315565032	0.488745980707395
FBgn0002787	1	0	0	1	0.482367475292004	0.502673796791444	0.501873360809292	0.480407836865254
FBgn0002789	0	0	0	0	0.463709677419355	0.501026694045175	0.500529272860516	0.511515430677107
FBgn0002791	0	0	0	0	0.471768202080239	0.439342403628118	0.495056497175141	0.522292993630573
