geneID	Log.total.allelic.expression	Presence.of.AI	Presence.of.tissue.dependent.AI	Tissue.Bias.Category	log2FoldChange
FBgn0000008	6.04500531403601	0	0	Moderately head-biased	0.540192815536563
FBgn0000017	6.22389814532928	0	0	Moderately head-biased	1.08776964132385
FBgn0000032	6.83392931834148	0	1	Highly gonad-biased	-2.55188924944816
FBgn0000042	8.89109883061664	0	0	Highly gonad-biased	-2.02984723671945
FBgn0000043	6.75051650255565	1	0	Highly gonad-biased	-3.66583993935369
FBgn0000044	9.05481652756761	0	1	Highly head-biased	4.46308877985986
FBgn0000052	9.15147461910915	0	0	Moderately head-biased	1.60721602141882
FBgn0000053	10.3726105858377	1	1	Highly head-biased	3.52202819614627
FBgn0000057	6.21026534898806	0	0	Unbiased	-0.355273894826851
FBgn0000064	9.94459750559234	0	1	Highly head-biased	3.00842781441898
FBgn0000075	5.0573068134054	0	0	Moderately gonad-biased	-1.84122878134444
FBgn0000077	5.8190933211672	0	0	Moderately gonad-biased	-1.20949022638878
FBgn0000079	8.69676096001357	1	1	Highly head-biased	2.26919441214397
FBgn0000083	8.23102108949606	1	1	Unbiased	0.0735485082387432
FBgn0000084	7.62192982673416	1	0	Unbiased	0.0245536197589545
FBgn0000097	6.72242921316788	1	0	Moderately head-biased	0.919181825223403
FBgn0000109	5.79707040907976	0	0	Unbiased	0.163780620762425
FBgn0000114	8.83321973687716	1	0	Highly gonad-biased	-3.71394531283788
FBgn0000115	6.93033183316104	0	0	Moderately gonad-biased	-1.94164858508507
FBgn0000116	10.0996161299987	1	1	Highly head-biased	2.12012034597317
FBgn0000117	8.0688205822968	1	0	Moderately gonad-biased	-1.48307211996628
FBgn0000119	6.89635723402977	0	0	Moderately head-biased	1.99577247468568
FBgn0000139	6.09168688490968	0	1	Moderately gonad-biased	-0.923926606314498
FBgn0000147	6.53572494696021	0	0	Highly gonad-biased	-6.43440955726697
FBgn0000152	5.50533153593236	0	1	Unbiased	-0.397037786955999
FBgn0000163	6.91506185416458	0	0	Unbiased	-0.181350488786037
FBgn0000173	8.16104191986099	0	1	Unbiased	0.257147518824736
FBgn0000181	6.6802271293501	1	1	Highly gonad-biased	-2.63454279518255
FBgn0000183	7.53021171891931	0	1	Unbiased	0.00540097452200868
FBgn0000212	7.02286808608264	0	0	Moderately head-biased	0.85875688248489
FBgn0000221	6.11993105148028	1	0	Highly gonad-biased	-3.90779171468571
FBgn0000228	6.91124916823639	0	0	Moderately head-biased	0.57880978312894
FBgn0000229	7.74138877717528	1	0	Highly head-biased	3.23142834648745
FBgn0000239	6.11405084343088	0	1	Unbiased	-0.0321194312486445
FBgn0000247	6.93876933251131	0	0	Moderately head-biased	1.48124527322077
FBgn0000250	7.75804864834914	0	0	Unbiased	-0.114496911489301
FBgn0000253	10.7375083761436	0	1	Highly head-biased	3.0071868021986
FBgn0000256	7.31299814017306	0	0	Moderately head-biased	1.2719201826929
FBgn0000257	6.91274282049318	0	0	Highly gonad-biased	-2.82574158537408
FBgn0000259	7.40143474391316	0	0	Unbiased	0.0538011677472326
FBgn0000261	8.14012115780929	0	0	Moderately head-biased	1.75772281223761
FBgn0000273	8.93787526532926	1	0	Highly head-biased	2.7197888130756
FBgn0000286	6.75518668033753	1	0	Moderately head-biased	1.12749174226335
FBgn0000289	7.4478484004287	0	1	Unbiased	0.416447440756
FBgn0000299	7.94236223767433	0	0	Highly head-biased	2.08154449104138
FBgn0000307	6.94376571650517	0	0	Unbiased	0.154130163955356
FBgn0000308	7.61956064136062	1	1	Unbiased	0.00673492076547395
FBgn0000316	5.8617354404332	0	0	Moderately gonad-biased	-1.07334476870812
FBgn0000317	7.12286665859908	0	0	Moderately head-biased	1.26370770572524
FBgn0000318	7.34223966949141	1	1	Highly gonad-biased	-2.60860423326257
FBgn0000319	8.60483770126828	1	0	Unbiased	0.343223667952624
FBgn0000320	6.16856415992078	0	0	Moderately head-biased	1.16388296683294
FBgn0000326	6.76849321164863	0	0	Moderately head-biased	0.845335413477635
FBgn0000330	6.79998445345248	1	1	Highly gonad-biased	-2.07580092649426
FBgn0000339	6.72403274127255	0	1	Highly gonad-biased	-2.97983539106615
FBgn0000352	6.19712278408117	0	0	Unbiased	-0.230811640622348
FBgn0000370	8.58401036445355	0	0	Moderately head-biased	1.08603133942985
FBgn0000376	6.34884757363039	0	1	Moderately gonad-biased	-0.970796711469469
FBgn0000377	6.36618403787698	0	0	Moderately gonad-biased	-1.57674488270541
FBgn0000382	8.0805469658245	0	0	Highly head-biased	2.45769033227174
FBgn0000384	5.49648493179207	1	0	Moderately gonad-biased	-1.64899248675817
FBgn0000394	5.91889385427315	0	0	Moderately head-biased	1.21498241277555
FBgn0000404	8.02442575490528	0	0	Highly gonad-biased	-8.18999618759242
FBgn0000406	10.3136527092025	0	0	Highly head-biased	6.34485360602648
FBgn0000412	7.58265362448529	0	0	Moderately gonad-biased	-1.61411426253807
FBgn0000414	7.5778044082961	1	0	Highly head-biased	3.14735014988174
FBgn0000416	9.73581812707449	1	0	Moderately head-biased	1.57948634517679
FBgn0000447	6.80885533032725	0	0	Highly gonad-biased	-2.5428484988518
FBgn0000454	8.92105701815743	0	0	Highly gonad-biased	-3.02065274645513
FBgn0000455	7.34331841824758	0	0	Moderately gonad-biased	-1.80497714573172
FBgn0000463	6.23244801655052	0	0	Highly gonad-biased	-2.16818297248056
FBgn0000473	10.4715579752997	1	0	Highly head-biased	5.16515429068636
FBgn0000479	8.66736453560778	0	0	Highly head-biased	2.32351596152563
FBgn0000482	6.16261280330381	0	0	Unbiased	0.0357138551653089
FBgn0000489	7.34590267725014	1	1	Highly head-biased	2.31970376413606
FBgn0000499	6.70502691241052	1	0	Highly gonad-biased	-2.34842023726146
FBgn0000520	6.60032391114534	0	0	Highly gonad-biased	-4.59162352495689
FBgn0000524	5.73549645014573	1	0	Moderately gonad-biased	-1.5377432739951
FBgn0000533	5.15329159449778	0	0	Highly gonad-biased	-2.02338455489263
FBgn0000536	7.96681791151226	0	0	Highly head-biased	2.90472676541127
FBgn0000543	6.87160983234578	0	0	Moderately gonad-biased	-1.32974899774666
FBgn0000546	6.35059480762178	0	0	Moderately head-biased	0.557301901753205
FBgn0000547	7.78544377307435	1	0	Moderately head-biased	0.737685940479012
FBgn0000562	7.71705453627811	1	0	Unbiased	-0.106039645212568
FBgn0000565	7.13608535698365	1	0	Moderately head-biased	0.808520666201778
FBgn0000566	7.91856800133312	1	1	Moderately gonad-biased	-0.744922877106204
FBgn0000568	8.26590733415575	1	1	Highly head-biased	2.27763496991302
FBgn0000575	7.83610632534866	0	0	Moderately head-biased	1.22902044633964
FBgn0000578	6.90575327631146	0	0	Unbiased	-0.0323187913070014
FBgn0000579	10.3008084755053	0	0	Moderately gonad-biased	-0.915125557190851
FBgn0000581	7.27332389009099	0	0	Unbiased	0.396291499927286
FBgn0000588	5.72955851097119	1	0	Highly gonad-biased	-2.53587638689273
FBgn0000611	7.60231812368324	0	1	Unbiased	0.414893645350207
FBgn0000615	7.005637904784	1	0	Highly gonad-biased	-6.1624779205306
FBgn0000617	6.24900952513952	0	0	Highly gonad-biased	-2.73444377679942
FBgn0000629	6.98948886400881	0	0	Moderately gonad-biased	-0.914626580960943
FBgn0000636	6.63769480788018	0	0	Unbiased	-0.14907632738072
FBgn0000662	6.78822071028695	0	0	Unbiased	-0.372979597353612
FBgn0000667	7.54106398696268	0	0	Unbiased	0.457526609786747
FBgn0000709	6.8678009634751	0	0	Unbiased	-0.0205663873974634
FBgn0000711	7.9004513420587	1	0	Highly head-biased	2.49089122614106
FBgn0000719	7.03585528160945	0	1	Moderately head-biased	0.699277405213955
FBgn0000721	8.90492419801952	0	0	Moderately head-biased	1.35061138457472
FBgn0000964	5.70987498865536	0	0	Moderately gonad-biased	-1.60848445869513
FBgn0000996	6.26021860967424	0	0	Highly gonad-biased	-4.67558391051708
FBgn0001079	5.93709635462449	0	0	Moderately gonad-biased	-1.00626394868779
FBgn0001084	5.44673737166631	1	0	Highly gonad-biased	-3.12958204107963
FBgn0001085	5.47227067367148	1	1	Moderately gonad-biased	-1.02360119075643
FBgn0001087	7.16536466717763	0	0	Moderately gonad-biased	-0.60043313079374
FBgn0001091	9.59942764814246	0	0	Moderately head-biased	0.961932387300052
FBgn0001092	8.83423987249792	1	0	Unbiased	-0.23383085039285
FBgn0001098	9.50637496480811	0	1	Highly head-biased	2.30254598481423
FBgn0001104	7.2823028844555	0	0	Moderately gonad-biased	-1.65739879161909
FBgn0001105	8.13953778394734	0	1	Moderately gonad-biased	-0.855023432588726
FBgn0001108	7.5743017777449	0	0	Moderately gonad-biased	-0.860230248917245
FBgn0001122	8.0633253440799	1	0	Highly head-biased	4.05764816640712
FBgn0001124	9.8351997895446	1	1	Highly head-biased	2.18950489475762
FBgn0001125	9.94045412445682	1	0	Moderately head-biased	1.02144469909111
FBgn0001128	9.0212962694214	0	0	Highly head-biased	2.28203833312371
FBgn0001133	6.88380405815962	0	0	Highly gonad-biased	-2.63944713840421
FBgn0001139	7.56734567601324	0	0	Moderately gonad-biased	-1.1935284770439
FBgn0001142	8.49187538343195	1	1	Moderately gonad-biased	-0.68143916346411
FBgn0001149	10.3675255058032	1	0	Highly gonad-biased	-4.14029063332721
FBgn0001169	6.32793678372919	0	0	Moderately gonad-biased	-0.951132907761613
FBgn0001179	6.22620723426554	0	0	Moderately gonad-biased	-0.94061374161765
FBgn0001186	8.31107062443633	0	0	Moderately head-biased	1.30474534506526
FBgn0001187	8.6812659131534	1	1	Highly head-biased	3.69310832274649
FBgn0001197	7.9231671017241	0	0	Highly gonad-biased	-2.44805948384533
FBgn0001202	6.86136223941243	0	1	Moderately head-biased	0.837105176491069
FBgn0001215	7.14216842255458	0	0	Unbiased	-0.392064757570395
FBgn0001218	9.54489410277477	0	0	Unbiased	0.459977821478986
FBgn0001220	8.7320626062782	0	0	Unbiased	0.372304707082395
FBgn0001222	7.47609480894873	1	0	Moderately gonad-biased	-1.55189646426085
