geneID	Log.total.allelic.expression	Presence.of.AI	Presence.of.tissue.dependent.AI	Tissue.Bias.Category	log2FoldChange
FBgn0000008	6.49249232839386	1	1	Unbiased	-0.298752517229184
FBgn0000017	6.75421552361363	0	0	Moderately head-biased	0.84984161549927
FBgn0000018	5.5638816337462	0	0	Highly gonad-biased	-2.38647281529826
FBgn0000028	5.94498421322544	1	0	Unbiased	-0.349090822958648
FBgn0000032	6.39692965521615	0	0	Highly gonad-biased	-2.30214003952642
FBgn0000036	7.34331841824758	1	1	Highly head-biased	4.37242346547713
FBgn0000038	8.67140101246805	0	0	Highly head-biased	6.12413110403165
FBgn0000042	8.44379778583946	1	0	Unbiased	-0.00559708632937585
FBgn0000043	7.93534883596975	0	0	Highly gonad-biased	-5.42006767931547
FBgn0000044	8.34097298348026	0	0	Highly head-biased	2.58931965082839
FBgn0000046	7.98463307550424	1	1	Highly gonad-biased	-3.48286290963585
FBgn0000052	7.6115126386541	1	1	Moderately head-biased	1.86338785300968
FBgn0000053	8.64094357218566	0	0	Highly head-biased	3.20285975093344
FBgn0000057	6.82419249421145	0	0	Highly gonad-biased	-2.26525911878506
FBgn0000063	5.49443224547433	0	0	Highly gonad-biased	-4.17960802212369
FBgn0000064	9.49117404759912	1	1	Moderately head-biased	0.601648150397573
FBgn0000078	8.01428062114211	0	1	Unbiased	0.142542770810709
FBgn0000079	8.34323655095391	1	1	Moderately gonad-biased	-0.562282379373272
FBgn0000083	7.85444588324738	1	1	Moderately head-biased	0.640962407791014
FBgn0000084	7.2985578601484	1	0	Moderately head-biased	1.20693993111582
FBgn0000097	6.2599000876139	1	1	Moderately head-biased	1.96999126854467
FBgn0000109	4.84680831993847	0	0	Unbiased	0.070676414885191
FBgn0000114	9.65009954730831	1	1	Highly gonad-biased	-4.63149585348797
FBgn0000115	6.051304547464	0	0	Unbiased	-0.398518754452706
FBgn0000116	9.86915487345562	1	1	Highly head-biased	2.59297901296888
FBgn0000117	7.49368837523493	1	0	Moderately head-biased	1.60143264415163
FBgn0000119	7.37002071213275	1	1	Moderately gonad-biased	-0.816953469864538
FBgn0000139	5.83627165770228	1	0	Moderately gonad-biased	-0.933389851202525
FBgn0000163	6.96255907102281	1	0	Moderately head-biased	0.711441109487625
FBgn0000173	7.32931243498995	1	0	Highly head-biased	2.03330102742499
FBgn0000179	6.21992725989979	1	0	Highly head-biased	3.78120119582576
FBgn0000181	6.77954304783521	0	0	Unbiased	-0.499519082456554
FBgn0000183	7.32723286328882	1	1	Moderately head-biased	0.940847324058146
FBgn0000206	7.38801859716549	1	1	Highly head-biased	4.95626120718893
FBgn0000212	6.81746580763468	0	0	Moderately head-biased	1.88951345010788
FBgn0000221	5.26527751246984	0	0	Moderately gonad-biased	-1.6594196830616
FBgn0000228	6.7970099206774	0	0	Highly head-biased	2.61075972600238
FBgn0000229	7.33280512572672	0	0	Moderately head-biased	1.46803724579084
FBgn0000239	6.10998804929209	1	0	Moderately gonad-biased	-1.28478204392492
FBgn0000246	3.88841313978901	0	0	Moderately gonad-biased	-0.958943529961
FBgn0000247	7.41256283042256	0	1	Moderately gonad-biased	-0.571877975774008
FBgn0000250	7.17178482276869	0	0	Moderately head-biased	0.701109092869606
FBgn0000253	10.258477744744	1	1	Highly head-biased	2.4890144692754
FBgn0000256	9.49742226435593	0	1	Highly gonad-biased	-3.65737163137404
FBgn0000257	6.22686599581769	1	0	Unbiased	0.460768258927619
FBgn0000259	6.66036172544447	1	0	Unbiased	0.0577132002396212
FBgn0000261	8.04227081829285	0	1	Moderately gonad-biased	-0.512370310552235
FBgn0000273	8.61703852638595	1	0	Highly head-biased	3.59180550058189
FBgn0000286	6.67182195273953	0	0	Highly gonad-biased	-3.22123882840291
FBgn0000287	7.12635519024647	1	1	Moderately gonad-biased	-1.39197307677769
FBgn0000289	7.4641277177041	1	1	Moderately head-biased	0.876542751776002
FBgn0000299	7.35766248777871	1	1	Moderately head-biased	1.48243841578187
FBgn0000307	6.73240933592461	0	0	Moderately head-biased	1.4640016654625
FBgn0000308	7.45075763444335	1	0	Unbiased	-0.11814472035808
FBgn0000316	4.95347688025631	1	0	Moderately head-biased	0.989452855853535
FBgn0000317	6.80535334536406	0	0	Moderately head-biased	0.946532950554108
FBgn0000318	6.89736818609565	0	1	Moderately gonad-biased	-1.63920365121056
FBgn0000319	8.27690348126706	1	0	Moderately head-biased	0.77039250328121
FBgn0000320	6.68773185500417	1	0	Unbiased	-0.120098452624691
FBgn0000326	6.2431955552741	1	1	Unbiased	0.112349780055747
FBgn0000330	6.07342848495941	1	0	Moderately head-biased	0.765988651960226
FBgn0000339	5.64308840598394	0	0	Unbiased	-0.106511198520429
FBgn0000346	8.66572813245786	1	0	Moderately head-biased	1.94782649568006
FBgn0000352	6.33001794993302	1	1	Moderately head-biased	1.56381857673057
FBgn0000370	8.05816906621351	0	0	Moderately head-biased	1.30303343116973
FBgn0000376	5.87211778947542	1	0	Highly head-biased	2.20692714320252
FBgn0000377	5.49853341321854	0	0	Moderately head-biased	1.25522131312009
FBgn0000382	7.89543600694297	1	0	Highly head-biased	3.40290110286789
FBgn0000384	4.64918707140487	0	0	Moderately head-biased	1.20213476041236
FBgn0000395	5.52146091786225	1	0	Moderately head-biased	0.841137037942666
FBgn0000404	7.30227178034774	0	0	Highly gonad-biased	-6.42141955337763
FBgn0000406	8.52823203853145	1	0	Highly head-biased	4.52920432146497
FBgn0000411	5.6436785505865	1	1	Unbiased	0.0217543581564512
FBgn0000412	7.59756355827657	0	0	Moderately gonad-biased	-1.25444693407627
FBgn0000414	7.75498170824677	1	0	Highly head-biased	4.51004011799489
FBgn0000416	9.03425930277168	1	1	Unbiased	-0.0769536047709805
FBgn0000422	8.32255610889963	1	1	Highly head-biased	4.82550749614829
FBgn0000447	8.0712706056768	0	0	Highly gonad-biased	-4.60170328177056
FBgn0000454	7.90482690753973	0	1	Moderately gonad-biased	-1.09202403145782
FBgn0000455	6.57786135772105	1	0	Unbiased	0.288217862861997
FBgn0000459	6.00429850508807	1	0	Highly head-biased	2.52866445524038
FBgn0000463	5.73118144884432	1	0	Unbiased	0.0076498804842207
FBgn0000473	9.34430292163915	1	1	Highly head-biased	4.28136673348411
FBgn0000479	8.43829427380982	1	0	Highly head-biased	4.29657831746056
FBgn0000482	5.90762993702868	1	0	Moderately head-biased	1.03922411674833
FBgn0000489	7.5967270881316	1	1	Moderately gonad-biased	-0.953360547265132
FBgn0000490	6.16401631230613	1	1	Unbiased	-0.294148191523562
FBgn0000499	7.35691824235602	1	0	Highly gonad-biased	-2.48530965569123
FBgn0000524	4.92966623156259	1	0	Unbiased	-0.0336817250093602
FBgn0000527	5.97761914028593	1	1	Unbiased	-0.491209868308199
FBgn0000536	7.34751445431427	1	0	Moderately head-biased	1.01793383576254
FBgn0000541	5.65365808747363	0	0	Moderately gonad-biased	-0.851679048761571
FBgn0000542	5.63061423175877	1	0	Unbiased	-0.132591109946968
FBgn0000543	6.44014877433612	1	1	Unbiased	-0.0318313180223658
FBgn0000547	7.57874205487207	1	0	Highly head-biased	2.72711078554785
FBgn0000557	7.87289966507368	0	0	Highly head-biased	5.83818280080864
FBgn0000562	7.18045060912559	0	0	Highly head-biased	2.42182333772703
FBgn0000565	6.79998445345248	1	0	Highly head-biased	2.05899357256452
FBgn0000566	6.71800620635939	1	1	Moderately head-biased	0.649383796221064
FBgn0000567	6.13412084750951	1	1	Highly head-biased	3.13751006853208
FBgn0000568	8.12498975729126	0	0	Highly head-biased	3.66934386991712
FBgn0000575	7.51325451635081	0	0	Highly head-biased	3.7480769536081
FBgn0000577	5.05092381301037	1	1	Highly gonad-biased	-2.64989256795036
FBgn0000578	7.00427684597276	0	1	Moderately head-biased	0.717791840795347
FBgn0000579	9.39274525863144	1	1	Moderately head-biased	0.503376438749693
FBgn0000581	7.63490122871421	1	1	Unbiased	-0.447711817941431
FBgn0000588	5.47855341685097	1	1	Unbiased	0.4725712902753
FBgn0000592	8.48690579047778	1	1	Unbiased	-0.339827241967323
FBgn0000611	7.14795258486217	1	0	Highly head-biased	2.26798309466347
FBgn0000617	5.37759054744254	1	0	Unbiased	-0.254793045181798
FBgn0000629	6.49274475803044	1	1	Unbiased	0.132273448319769
FBgn0000633	7.09243516384422	1	1	Highly head-biased	4.42721746231047
FBgn0000635	7.07594973881133	1	0	Highly head-biased	2.03311758037675
FBgn0000636	6.69785695441795	0	1	Unbiased	0.0234783229789436
FBgn0000662	6.56362042602558	0	0	Highly head-biased	2.83466205082224
FBgn0000667	6.90792193176146	1	0	Highly head-biased	2.86061636385739
FBgn0000709	6.61584204555809	1	0	Moderately head-biased	1.33161858739781
FBgn0000711	7.722677516468	1	0	Highly head-biased	3.42710535456633
FBgn0000719	6.79439992665291	1	0	Highly head-biased	2.56971784228084
FBgn0000721	7.90531873098503	0	0	Highly head-biased	2.0315710843049
FBgn0000723	7.19481215604	1	1	Moderately head-biased	1.80890491317124
FBgn0000810	5.26269018890489	1	0	Unbiased	0.198480701006136
FBgn0000996	4.92119673144901	0	0	Highly gonad-biased	-2.09509851103156
FBgn0001075	5.836758157347	1	0	Highly gonad-biased	-2.25643320275341
FBgn0001078	5.38449506278909	0	0	Highly head-biased	3.22054549698311
FBgn0001079	5.26096158000427	1	0	Moderately head-biased	1.43342033832104
FBgn0001084	4.63796000881108	1	0	Unbiased	-0.0238279261570446
FBgn0001087	7.09933936138858	1	0	Moderately head-biased	1.84587611321918
FBgn0001089	4.75502594153247	0	0	Unbiased	-0.117704947045716
FBgn0001090	8.37386155191348	1	0	Highly head-biased	2.15258923268398
FBgn0001091	8.58048093065216	0	0	Highly head-biased	3.55955066747757
FBgn0001092	7.71898174760768	1	0	Highly head-biased	2.90669035984643
FBgn0001098	9.11018849002574	0	0	Highly head-biased	2.69910806167181
FBgn0001104	6.62472901806655	1	1	Unbiased	0.482399326057515
FBgn0001105	7.65317860410745	1	0	Moderately head-biased	1.49099794687021
FBgn0001108	7.58646541174431	1	1	Moderately gonad-biased	-0.508782399312117
FBgn0001112	5.69317081406161	0	0	Unbiased	-0.258190687691461
FBgn0001114	8.35647655837467	1	1	Highly head-biased	3.72718814788294
FBgn0001122	8.0408226697923	1	1	Highly head-biased	3.82698214808136
FBgn0001123	5.81313501158357	1	1	Moderately head-biased	1.41191796586582
FBgn0001124	9.37420090112655	1	1	Moderately gonad-biased	-1.28670076188282
FBgn0001125	8.84224330033676	1	1	Unbiased	0.42013157369667
FBgn0001128	8.30197647291801	1	1	Highly head-biased	2.84122856364402
FBgn0001133	5.95713186802748	0	0	Unbiased	0.333328397690463
FBgn0001139	7.40488757561612	1	0	Unbiased	0.300819132906378
FBgn0001142	6.97588110802974	1	0	Highly head-biased	3.83583782157361
FBgn0001145	9.50778711448288	1	0	Highly head-biased	3.88892420168083
FBgn0001149	8.79573360595074	0	1	Unbiased	-0.29235692807807
FBgn0001168	6.0250604965365	0	0	Highly head-biased	2.5567108369564
FBgn0001169	6.31264183869356	0	0	Moderately gonad-biased	-0.686297692992299
FBgn0001179	5.85268129232851	0	0	Moderately gonad-biased	-0.560847909584805
FBgn0001185	4.81758977393933	0	1	Moderately head-biased	1.08838941706243
FBgn0001186	8.1141252079078	1	0	Moderately head-biased	1.48538806374084
FBgn0001187	7.10373316222358	0	0	Highly head-biased	3.19511747217554
FBgn0001189	4.85851957935937	1	0	Unbiased	-0.237326145898199
FBgn0001197	7.24601163739685	1	1	Moderately gonad-biased	-0.959510034300889
FBgn0001202	6.59532503684116	0	0	Moderately head-biased	1.23866285261778
FBgn0001206	5.19203049603008	0	0	Moderately gonad-biased	-1.53673232239373
FBgn0001208	8.48373981515702	1	1	Highly head-biased	3.4717070831969
FBgn0001215	8.19210919525489	1	0	Highly gonad-biased	-2.24897704074919
FBgn0001216	8.49760254165123	1	0	Highly gonad-biased	-4.54384368446324
FBgn0001218	9.00663173330058	1	0	Unbiased	0.293664834804451
FBgn0001220	9.23099231170704	1	0	Moderately gonad-biased	-1.95997987328951
FBgn0001222	7.14624710724315	0	0	Unbiased	0.0363165321375264
FBgn0001224	7.46851327149634	0	0	Highly gonad-biased	-3.85111111850278
FBgn0001225	8.40945949161286	1	1	Highly gonad-biased	-5.76394484741331
FBgn0001226	6.75051650255565	0	0	Highly gonad-biased	-5.54505138638759
FBgn0001230	7.44823678765564	1	1	Highly gonad-biased	-3.90387139968856
FBgn0001233	8.95338147216724	1	1	Highly gonad-biased	-4.07855605180456
FBgn0001234	6.69785695441795	1	1	Highly head-biased	3.42104276644276
FBgn0001247	6.81947036411457	0	0	Unbiased	-0.459431754934159
FBgn0001248	8.71127861513043	0	1	Unbiased	-0.251338769289198
FBgn0001250	7.19418656953227	1	0	Highly head-biased	2.18512020424548
FBgn0001257	6.45519856334012	0	0	Moderately head-biased	1.94559169313862
FBgn0001258	5.91350300563827	1	0	Highly gonad-biased	-2.38705278534343
FBgn0001269	4.18712629567307	1	1	Unbiased	0.328199100568861
FBgn0001280	7.66144864691007	0	1	Highly gonad-biased	-3.94106836650977
FBgn0001291	6.52233786617775	1	0	Moderately gonad-biased	-1.61034198075957
FBgn0001296	6.42080892900609	0	0	Highly head-biased	3.52499690463632
FBgn0001297	7.29279089668983	0	0	Highly head-biased	2.33032006656222
FBgn0001301	6.87488767535652	0	0	Moderately gonad-biased	-0.700138557234999
FBgn0001308	7.34998081125587	0	0	Moderately head-biased	0.94490602435064
FBgn0001311	4.16666522380173	1	1	Highly gonad-biased	-3.16052824293715
FBgn0001316	7.66653413297091	1	1	Moderately head-biased	0.505058563559476
FBgn0001324	6.60326608821398	0	0	Moderately gonad-biased	-1.79199226182012
FBgn0001325	4.19469253605638	0	0	Unbiased	0.439248645470943
FBgn0001330	5.22485021466616	0	0	Unbiased	0.0208127494793267
FBgn0001341	5.4553211153577	0	0	Moderately gonad-biased	-1.73792930660937
FBgn0001404	7.36010397298915	1	0	Moderately head-biased	1.83597209075765
FBgn0001491	5.97211181859217	1	0	Highly gonad-biased	-2.02330107091734
FBgn0001565	7.06076244810732	1	0	Highly head-biased	2.98037448745619
FBgn0001612	6.1502473392618	1	0	Unbiased	-0.225612243339145
FBgn0001624	8.35282942399606	1	0	Highly head-biased	3.72613110258021
FBgn0001941	7.08170858610557	1	1	Moderately gonad-biased	-1.10807316471666
FBgn0001942	9.53175939922499	0	0	Moderately head-biased	0.837499261910402
FBgn0001961	7.41417119425943	0	0	Moderately gonad-biased	-1.18285946745679
FBgn0001965	6.58617165485467	1	0	Moderately head-biased	0.804250761244651
FBgn0001977	6.54845785171898	0	0	Highly gonad-biased	-2.4521606472275
FBgn0001978	7.72481482059444	1	0	Highly gonad-biased	-2.3894139663192
FBgn0001981	5.35422499848633	1	1	Highly gonad-biased	-2.85928369299761
