geneID	DGRP177	SP159N
FBgn0000008	559	608
FBgn0000017	785	815
FBgn0000018	317	331
FBgn0000024	244	178
FBgn0000032	3025	2851
FBgn0000036	103	107
FBgn0000038	285	308
FBgn0000042	8003	8187
FBgn0000043	2040	2024
FBgn0000044	2751	2717
FBgn0000045	432	466
FBgn0000046	816	884
FBgn0000047	58	64
FBgn0000052	3751	3720
FBgn0000053	3909	4790
FBgn0000057	560	510
FBgn0000063	953	917
FBgn0000064	6046	5355
FBgn0000075	160	156
FBgn0000077	466	454
FBgn0000078	6533	6154
FBgn0000079	23339	9859
FBgn0000083	3856	2642
FBgn0000084	1314	1046
FBgn0000097	1409	1149
FBgn0000108	458	469
FBgn0000109	598	668
FBgn0000114	23041	28355
FBgn0000115	1657	1447
FBgn0000116	14406	7207
FBgn0000117	3409	3228
FBgn0000119	695	713
FBgn0000120	3670	3615
FBgn0000121	4848	4608
FBgn0000139	484	655
FBgn0000140	8650	8083
FBgn0000146	1943	2327
FBgn0000147	2023	2553
FBgn0000152	271	232
FBgn0000153	169	203
FBgn0000163	1470	1407
FBgn0000173	2840	2851
FBgn0000180	57	51
FBgn0000181	613	707
FBgn0000183	5107	5914
FBgn0000206	64	81
FBgn0000212	2220	2470
FBgn0000221	332	348
FBgn0000228	1949	1858
FBgn0000229	674	606
FBgn0000239	902	811
FBgn0000244	73	75
FBgn0000246	404	323
FBgn0000247	1477	1344
FBgn0000250	4071	4247
FBgn0000251	2984	2761
FBgn0000253	11358	11395
FBgn0000256	1438	1401
FBgn0000257	1120	1016
FBgn0000259	4244	4603
FBgn0000261	2511	2623
FBgn0000273	3330	3849
FBgn0000286	1001	1128
FBgn0000289	2252	2384
FBgn0000299	1981	1762
FBgn0000307	3567	3701
FBgn0000308	545	656
FBgn0000316	909	897
FBgn0000317	1629	1857
FBgn0000318	1640	1668
FBgn0000319	6173	6271
FBgn0000320	132	151
FBgn0000326	876	978
FBgn0000330	870	803
FBgn0000339	649	717
FBgn0000346	379	312
FBgn0000352	1216	1393
FBgn0000355	16298	15821
FBgn0000370	2463	2267
FBgn0000376	2295	2213
FBgn0000377	548	594
FBgn0000382	2066	2116
FBgn0000384	945	973
FBgn0000394	326	215
FBgn0000395	100	74
FBgn0000404	47991	50438
FBgn0000405	45445	45239
FBgn0000406	4246	5130
FBgn0000412	4360	4460
FBgn0000414	1290	1108
FBgn0000416	9257	8319
FBgn0000422	294	327
FBgn0000447	1024	970
FBgn0000454	8255	7903
FBgn0000455	933	1142
FBgn0000459	73	65
FBgn0000463	2008	1928
FBgn0000464	34	51
FBgn0000473	7089	9888
FBgn0000477	523	593
FBgn0000479	3179	3217
FBgn0000482	588	613
FBgn0000489	511	911
FBgn0000490	80	100
FBgn0000492	83	60
FBgn0000499	1259	1248
FBgn0000504	54	38
FBgn0000520	690	638
FBgn0000524	1764	1633
FBgn0000533	263	256
FBgn0000536	1810	2025
FBgn0000541	309	277
FBgn0000542	109	472
FBgn0000543	1050	1008
FBgn0000546	703	689
FBgn0000547	3761	4916
FBgn0000557	272	265
FBgn0000559	143	115
FBgn0000562	4037	3655
FBgn0000565	1006	771
FBgn0000566	3775	4168
FBgn0000567	331	351
FBgn0000568	1647	1726
FBgn0000575	1533	1640
FBgn0000578	2020	2091
FBgn0000579	21378	21592
FBgn0000581	2753	2977
FBgn0000588	1270	1259
FBgn0000592	2295	1708
FBgn0000611	2191	2175
FBgn0000615	3929	3025
FBgn0000617	1084	1110
FBgn0000629	3098	3044
FBgn0000633	79	76
FBgn0000635	552	562
FBgn0000636	297	388
FBgn0000659	200	253
FBgn0000662	1602	1648
FBgn0000667	1750	1925
FBgn0000709	1747	1527
FBgn0000711	1394	1194
FBgn0000715	45	57
FBgn0000719	1687	1678
FBgn0000721	9790	10430
FBgn0000723	253	279
FBgn0000810	413	574
FBgn0000964	713	693
FBgn0000996	2270	2494
FBgn0001078	761	737
FBgn0001079	711	872
FBgn0001083	47	37
FBgn0001084	503	494
FBgn0001085	913	1880
FBgn0001086	3190	2785
FBgn0001087	2645	2443
FBgn0001089	206	275
FBgn0001090	260	244
FBgn0001091	8714	9249
FBgn0001092	9419	6775
FBgn0001098	6612	5769
FBgn0001104	5614	5663
FBgn0001105	2376	2479
FBgn0001108	4028	3640
FBgn0001112	33	32
FBgn0001114	2737	2722
FBgn0001122	1470	1375
FBgn0001123	101	116
FBgn0001124	6800	5439
FBgn0001125	8361	7230
FBgn0001128	4951	4200
FBgn0001133	1374	947
FBgn0001137	283	237
FBgn0001139	5746	5533
FBgn0001142	5257	3176
FBgn0001145	2445	2612
FBgn0001149	26139	29067
FBgn0001168	313	348
FBgn0001169	2059	2240
FBgn0001179	1486	1515
FBgn0001180	727	581
FBgn0001185	196	251
FBgn0001186	2850	3083
FBgn0001187	2025	2106
FBgn0001189	204	188
FBgn0001197	15461	14404
FBgn0001202	613	548
FBgn0001206	431	494
FBgn0001208	1735	1959
