geneID	DGRP177	SP159N
FBgn0000008	256	219
FBgn0000017	353	346
FBgn0000018	163	169
FBgn0000024	91	79
FBgn0000032	1835	1622
FBgn0000036	26	40
FBgn0000038	74	74
FBgn0000042	4030	3647
FBgn0000043	874	908
FBgn0000044	1016	978
FBgn0000045	158	164
FBgn0000046	343	380
FBgn0000047	27	22
FBgn0000052	1721	1528
FBgn0000053	1545	1956
FBgn0000057	237	249
FBgn0000063	455	388
FBgn0000064	2894	2503
FBgn0000075	99	103
FBgn0000077	283	303
FBgn0000078	2759	2771
FBgn0000079	10407	4394
FBgn0000083	2408	1445
FBgn0000084	794	601
FBgn0000097	619	513
FBgn0000108	133	126
FBgn0000109	349	334
FBgn0000114	11914	15424
FBgn0000115	969	896
FBgn0000116	5803	2928
FBgn0000117	1691	1652
FBgn0000119	278	305
FBgn0000120	1152	1215
FBgn0000121	1720	1514
FBgn0000139	277	329
FBgn0000140	3595	3805
FBgn0000146	1082	1192
FBgn0000147	1164	1751
FBgn0000152	113	124
FBgn0000153	79	101
FBgn0000163	731	654
FBgn0000173	1753	1826
FBgn0000180	27	27
FBgn0000181	324	434
FBgn0000183	3073	3567
FBgn0000206	37	31
FBgn0000212	745	869
FBgn0000221	153	173
FBgn0000228	851	760
FBgn0000229	297	320
FBgn0000239	463	399
FBgn0000244	48	45
FBgn0000246	284	211
FBgn0000247	473	490
FBgn0000250	1728	1933
FBgn0000251	1594	1592
FBgn0000253	5667	5650
FBgn0000256	619	677
FBgn0000257	661	596
FBgn0000259	2792	2893
FBgn0000261	1348	1526
FBgn0000273	1577	1653
FBgn0000286	468	508
FBgn0000289	965	925
FBgn0000299	790	756
FBgn0000307	1192	1298
FBgn0000308	238	265
FBgn0000316	613	531
FBgn0000317	702	756
FBgn0000318	949	969
FBgn0000319	2796	2835
FBgn0000320	88	83
FBgn0000326	455	523
FBgn0000330	457	371
FBgn0000339	430	487
FBgn0000346	110	112
FBgn0000352	680	720
FBgn0000355	21381	19844
FBgn0000370	1689	1580
FBgn0000376	949	887
FBgn0000377	223	274
FBgn0000382	938	998
FBgn0000384	759	711
FBgn0000394	184	142
