geneID	DGRP177	SP159N
FBgn0000008	205	197
FBgn0000017	164	173
FBgn0000018	88	75
FBgn0000024	413	313
FBgn0000032	225	245
FBgn0000036	205	209
FBgn0000038	752	816
FBgn0000042	11	3120
FBgn0000043	687	717
FBgn0000044	6320	6195
FBgn0000045	3815	3818
FBgn0000046	3337	3448
FBgn0000047	2024	1952
FBgn0000052	723	598
FBgn0000053	1076	1491
FBgn0000057	268	260
FBgn0000063	70	56
FBgn0000064	9909	8416
FBgn0000075	10	26
FBgn0000077	1	107
FBgn0000078	8385	6171
FBgn0000079	24011	9598
FBgn0000083	1661	1085
FBgn0000084	2	743
FBgn0000097	240	221
FBgn0000108	4	1834
FBgn0000109	84	76
FBgn0000114	3931	4109
FBgn0000115	276	274
FBgn0000116	25487	15270
FBgn0000117	4	968
FBgn0000119	443	480
FBgn0000120	4753	4301
FBgn0000121	5094	4921
FBgn0000139	131	91
FBgn0000140	514	332
FBgn0000146	47	49
FBgn0000147	254	251
FBgn0000152	2	148
FBgn0000153	554	646
FBgn0000163	3	1036
FBgn0000173	8	1231
FBgn0000180	35	29
FBgn0000181	288	312
FBgn0000183	489	528
FBgn0000206	128	183
FBgn0000212	341	332
FBgn0000221	1	140
FBgn0000228	335	317
FBgn0000229	425	422
FBgn0000239	110	120
FBgn0000244	89	67
FBgn0000246	10	16
FBgn0000247	579	596
FBgn0000250	697	610
FBgn0000251	335	336
FBgn0000253	4917	4786
FBgn0000256	3479	3705
FBgn0000257	1	284
FBgn0000259	3	527
FBgn0000261	3401	3476
FBgn0000273	1816	2117
FBgn0000286	399	393
FBgn0000289	503	427
FBgn0000299	1278	1204
FBgn0000307	236	220
FBgn0000308	352	420
FBgn0000316	0	80
FBgn0000317	477	419
FBgn0000318	340	439
FBgn0000319	12	3129
FBgn0000320	143	128
FBgn0000326	226	247
FBgn0000330	0	301
FBgn0000339	102	129
FBgn0000346	8	1756
FBgn0000352	75	123
FBgn0000355	53	72
FBgn0000370	944	911
FBgn0000376	1	148
FBgn0000377	0	173
FBgn0000382	9	1316
FBgn0000384	53	37
FBgn0000394	2	187
FBgn0000395	130	116
FBgn0000404	378	398
FBgn0000405	326	345
FBgn0000406	2085	2296
FBgn0000412	582	579
FBgn0000414	562	411
FBgn0000416	4024	3871
FBgn0000422	539	628
FBgn0000447	880	908
FBgn0000454	1239	1227
FBgn0000455	467	503
FBgn0000459	0	144
FBgn0000463	122	99
FBgn0000464	33	18
FBgn0000473	7629	11348
FBgn0000477	385	517
FBgn0000479	64	4132
FBgn0000482	0	248
FBgn0000489	587	1270
FBgn0000490	179	149
FBgn0000492	48	71
FBgn0000499	5	743
FBgn0000504	288	256
FBgn0000520	0	91
FBgn0000524	0	136
FBgn0000533	25	25
FBgn0000536	2	1649
FBgn0000541	81	79
FBgn0000542	8	1938
FBgn0000543	261	303
FBgn0000546	118	87
FBgn0000547	588	597
FBgn0000557	562	548
FBgn0000559	23	61
FBgn0000562	717	681
FBgn0000565	623	502
FBgn0000566	1029	585
FBgn0000567	170	187
FBgn0000568	881	879
FBgn0000575	460	491
FBgn0000578	274	305
FBgn0000579	7485	8228
FBgn0000581	528	489
FBgn0000588	62	58
FBgn0000592	14728	14160
FBgn0000611	7	936
FBgn0000615	2772	2531
FBgn0000617	2	208
FBgn0000629	207	275
FBgn0000633	183	184
FBgn0000635	7	1415
FBgn0000636	285	260
FBgn0000659	340	385
FBgn0000662	264	210
FBgn0000667	43	6256
FBgn0000709	3	479
FBgn0000711	4	921
FBgn0000715	99	74
FBgn0000719	8	399
FBgn0000721	1806	1758
FBgn0000723	440	300
FBgn0000810	1	142
FBgn0000964	10	12
FBgn0000996	57	42
FBgn0001078	62	39
FBgn0001079	1	167
FBgn0001083	3	267
FBgn0001084	45	23
FBgn0001085	58	55
FBgn0001086	170	267
FBgn0001087	3	624
FBgn0001089	218	228
FBgn0001090	10	1226
FBgn0001091	6242	6411
FBgn0001092	8	2687
FBgn0001098	5379	4628
FBgn0001104	317	338
FBgn0001105	43	1156
FBgn0001108	657	784
FBgn0001112	518	555
FBgn0001114	1711	1846
FBgn0001122	547	527
FBgn0001123	111	113
FBgn0001124	4296	3582
FBgn0001125	3028	2537
FBgn0001128	5988	5553
FBgn0001133	174	160
FBgn0001137	63	50
FBgn0001139	557	513
FBgn0001142	674	310
FBgn0001145	47	12323
FBgn0001149	4019	3879
FBgn0001168	391	369
FBgn0001169	200	197
FBgn0001179	111	102
FBgn0001180	35	29
FBgn0001185	29	36
FBgn0001186	14	3726
FBgn0001187	1866	1951
FBgn0001189	1	156
FBgn0001197	444	339
FBgn0001202	166	178
FBgn0001206	4	98
FBgn0001208	1008	1181
FBgn0001215	910	1014
FBgn0001216	2137	1831
FBgn0001218	48	10152
FBgn0001220	3017	2848
FBgn0001222	447	387
FBgn0001224	375	420
FBgn0001225	1068	1068
FBgn0001226	270	214
FBgn0001230	431	407
FBgn0001233	1952	2011
FBgn0001234	358	423
FBgn0001235	747	786
FBgn0001247	307	286
FBgn0001248	4688	4623
FBgn0001250	10	2068
FBgn0001257	512	497
FBgn0001258	203	213
FBgn0001263	824	816
FBgn0001280	617	623
FBgn0001285	848	1
FBgn0001291	216	247
FBgn0001296	213	173
FBgn0001297	1663	1529
FBgn0001301	419	520
FBgn0001308	648	630
FBgn0001316	972	913
FBgn0001324	221	212
FBgn0001330	0	130
FBgn0001341	0	109
FBgn0001404	6	1247
FBgn0001491	3	249
FBgn0001565	0	832
FBgn0001612	0	227
FBgn0001624	18	3603
FBgn0001941	703	650
FBgn0001942	5128	5441
FBgn0001961	496	499
FBgn0001965	192	156
FBgn0001977	267	263
FBgn0001978	663	689
FBgn0001986	178	226
FBgn0001987	272	308
FBgn0001989	1495	1430
FBgn0001990	144	84
FBgn0001991	1405	1405
FBgn0001994	482	480
FBgn0001995	197	208
FBgn0002021	167	157
FBgn0002022	432	368
FBgn0002023	121	101
FBgn0002031	1115	1102
FBgn0002036	990	1004
FBgn0002044	141	160
FBgn0002069	117	122
FBgn0002121	158	144
FBgn0002174	1215	1083
FBgn0002183	394	379
FBgn0002283	55	44
FBgn0002284	282	189
FBgn0002354	81	82
