geneID	DGRP.177	SP.159N
FBgn0000008	152	130
FBgn0000017	131	176
FBgn0000018	93	108
FBgn0000024	110	87
FBgn0000032	2954	2619
FBgn0000036	90	62
FBgn0000038	60	67
FBgn0000042	3397	3495
FBgn0000043	593	604
FBgn0000044	901	873
FBgn0000045	342	353
FBgn0000046	311	357
FBgn0000047	52	69
FBgn0000052	732	425
FBgn0000053	1339	1628
FBgn0000057	215	185
FBgn0000063	222	175
FBgn0000064	3153	2676
FBgn0000075	165	184
FBgn0000077	315	254
FBgn0000078	3213	4147
FBgn0000079	11801	4370
FBgn0000083	5409	2720
FBgn0000084	2150	1358
FBgn0000097	299	246
FBgn0000108	108	113
FBgn0000109	349	284
FBgn0000114	12855	18605
FBgn0000115	2178	2207
FBgn0000116	9421	5056
FBgn0000117	1137	1116
FBgn0000119	183	208
FBgn0000120	4337	4777
FBgn0000121	3106	2339
FBgn0000139	287	288
FBgn0000140	2175	2220
FBgn0000146	648	677
FBgn0000147	1748	4107
FBgn0000152	106	102
FBgn0000153	114	250
FBgn0000158	361	368
FBgn0000163	1078	1143
FBgn0000166	315	357
FBgn0000173	3247	3305
FBgn0000180	34	38
FBgn0000181	369	515
FBgn0000183	3960	4307
FBgn0000212	339	292
FBgn0000221	246	201
FBgn0000228	495	427
FBgn0000229	753	703
FBgn0000239	156	148
FBgn0000244	46	68
FBgn0000246	187	175
FBgn0000247	106	88
FBgn0000250	684	810
FBgn0000251	802	679
FBgn0000253	7144	8084
FBgn0000256	370	325
FBgn0000257	877	739
FBgn0000259	4244	4465
FBgn0000261	1570	1758
FBgn0000273	1181	1209
FBgn0000286	544	808
FBgn0000289	388	347
FBgn0000299	591	504
FBgn0000307	643	680
FBgn0000308	322	349
FBgn0000316	887	748
FBgn0000317	564	651
FBgn0000318	3312	3326
FBgn0000319	1889	1815
FBgn0000320	149	165
FBgn0000326	376	503
FBgn0000330	589	486
FBgn0000339	1756	1797
FBgn0000346	143	119
FBgn0000351	620	1293
FBgn0000352	690	633
FBgn0000355	79397	64917
FBgn0000356	11103	13587
FBgn0000357	8095	9378
FBgn0000358	8944	11428
FBgn0000359	4777	4509
FBgn0000360	35641	26404
FBgn0000370	2100	1937
FBgn0000376	291	284
FBgn0000377	195	243
FBgn0000382	541	471
FBgn0000384	1810	1911
FBgn0000394	296	204
FBgn0000395	52	49
FBgn0000404	31166	33599
FBgn0000405	30207	27038
FBgn0000406	3938	5313
FBgn0000412	3263	3491
FBgn0000414	363	339
FBgn0000416	785	779
FBgn0000422	181	239
FBgn0000427	4749	3823
FBgn0000447	534	519
FBgn0000454	2024	1726
FBgn0000455	1134	1063
FBgn0000459	8	28
FBgn0000463	1028	876
FBgn0000473	4023	4738
FBgn0000477	835	822
FBgn0000479	1569	1792
FBgn0000482	151	198
FBgn0000489	192	322
FBgn0000490	46	42
FBgn0000492	26	24
FBgn0000499	570	566
FBgn0000520	486	496
FBgn0000524	482	488
FBgn0000533	129	134
FBgn0000536	1800	2001
FBgn0000541	58	67
FBgn0000542	8	30
FBgn0000543	365	322
FBgn0000546	330	297
FBgn0000547	841	1088
FBgn0000557	177	195
FBgn0000559	68	66
FBgn0000562	1243	1241
FBgn0000565	730	557
FBgn0000566	1226	1671
FBgn0000567	92	91
FBgn0000568	461	464
FBgn0000575	1935	2027
FBgn0000578	875	1050
FBgn0000579	21644	19899
FBgn0000581	445	402
FBgn0000588	504	516
FBgn0000592	3069	2444
FBgn0000611	1202	1360
FBgn0000615	1890	1888
FBgn0000617	825	887
FBgn0000629	2517	1087
FBgn0000635	101	136
FBgn0000636	238	255
FBgn0000644	997	1036
FBgn0000659	67	90
FBgn0000662	434	468
FBgn0000667	303	380
FBgn0000709	154	165
FBgn0000711	664	439
FBgn0000715	25	10
FBgn0000719	726	709
FBgn0000721	1870	2652
FBgn0000723	210	241
FBgn0000808	308	207
FBgn0000810	60	84
FBgn0000927	2729	3108
FBgn0000964	328	372
FBgn0000996	402	422
FBgn0001078	406	407
FBgn0001079	299	305
FBgn0001084	333	284
FBgn0001085	288	590
FBgn0001086	565	427
FBgn0001087	1452	1453
FBgn0001089	128	108
FBgn0001090	33	36
FBgn0001091	12235	12935
FBgn0001092	11603	6257
FBgn0001098	1109	853
FBgn0001104	5680	5657
FBgn0001105	3338	3551
FBgn0001108	1580	950
FBgn0001114	576	577
FBgn0001122	844	553
FBgn0001123	55	105
FBgn0001124	3286	3492
FBgn0001125	6505	6168
FBgn0001128	3064	1890
FBgn0001133	1551	458
FBgn0001137	170	100
FBgn0001139	5625	4849
FBgn0001142	4733	2927
FBgn0001145	294	374
FBgn0001149	50006	57437
FBgn0001168	97	75
FBgn0001169	244	350
FBgn0001179	1351	1267
FBgn0001180	57	41
FBgn0001185	79	96
FBgn0001186	666	662
FBgn0001187	1112	1081
FBgn0001189	24	39
FBgn0001197	15069	13328
FBgn0001202	253	310
FBgn0001206	25	21
FBgn0001208	704	835
FBgn0001215	1576	1515
FBgn0001216	219	176
FBgn0001218	2779	3699
FBgn0001220	1510	1627
FBgn0001222	1914	1690
FBgn0001224	2616	431
FBgn0001225	63861	100889
FBgn0001226	5424	5403
FBgn0001230	23	32
FBgn0001233	3233	3519
FBgn0001234	1070	1146
FBgn0001235	355	313
FBgn0001247	99	105
FBgn0001248	6956	6539
FBgn0001250	57	33
FBgn0001257	244	194
FBgn0001258	47	36
FBgn0001263	172	194
FBgn0001280	2364	2369
FBgn0001285	708	3
FBgn0001291	220	192
FBgn0001296	823	890
FBgn0001297	688	648
FBgn0001301	546	671
FBgn0001308	1049	1140
FBgn0001316	1305	1013
FBgn0001324	28	27
FBgn0001330	293	250
FBgn0001341	253	313
FBgn0001404	685	664
FBgn0001491	2861	2856
FBgn0001565	1195	1076
FBgn0001612	478	511
FBgn0001624	1113	1062
FBgn0001941	4304	5922
FBgn0001942	14884	15762
FBgn0001961	426	359
FBgn0001965	128	105
FBgn0001977	1299	1644
FBgn0001978	1127	1370
FBgn0001986	275	307
FBgn0001987	1087	499
FBgn0001989	4224	4420
FBgn0001990	411	451
FBgn0001991	66	93
FBgn0001994	1013	922
FBgn0001995	1100	2085
FBgn0002021	273	235
FBgn0002022	571	530
FBgn0002031	4662	3308
FBgn0002036	230	249
FBgn0002044	444	492
FBgn0002069	445	793
FBgn0002121	1222	1199
FBgn0002174	546	501
FBgn0002183	2258	2070
FBgn0002283	298	171
FBgn0002284	883	930
FBgn0002354	787	760
FBgn0002413	2522	2450
FBgn0002431	13	17
FBgn0002441	398	337
FBgn0002466	734	708
FBgn0002524	1374	729
FBgn0002525	2730	2552
FBgn0002526	147	164
FBgn0002542	348	427
FBgn0002552	16	18
FBgn0002563	134	47
FBgn0002565	1039	1134
FBgn0002566	1841	1737
FBgn0002567	600	605
FBgn0002569	186	354
FBgn0002570	2098	3849
FBgn0002571	170	318
FBgn0002578	190	290
FBgn0002579	34124	34429
FBgn0002590	8943	8270
FBgn0002593	16106	20669
FBgn0002609	114	89
FBgn0002622	23401	22598
FBgn0002626	371	174
FBgn0002638	3823	4049
FBgn0002641	1310	959
FBgn0002643	458	416
FBgn0002645	376	363
FBgn0002673	1367	1352
FBgn0002707	254	198
FBgn0002715	1441	1426
FBgn0002719	1613	1671
FBgn0002723	422	395
FBgn0002736	2547	2174
FBgn0002772	2360	2235
FBgn0002773	1700	1464
FBgn0002774	128	129
FBgn0002775	402	517
FBgn0002778	1067	1117
FBgn0002780	697	534
FBgn0002781	5806	5965
FBgn0002783	202	263
FBgn0002787	1686	1801
FBgn0002789	2024	2362
FBgn0002791	454	591
FBgn0002869	487	472
FBgn0002872	730	477
FBgn0002873	543	407
FBgn0002878	312	329
FBgn0002887	386	453
FBgn0002891	77	62
FBgn0002899	2805	2976
FBgn0002901	320	314
FBgn0002905	35	34
FBgn0002906	50	62
FBgn0002914	1740	2110
FBgn0002921	2409	3030
FBgn0002924	470	410
FBgn0002926	115	120
FBgn0002930	106	90
FBgn0002932	35	34
FBgn0002937	41	48
FBgn0002938	1284	1356
FBgn0002940	20737	18239
FBgn0002945	41	48
FBgn0002948	425	503
FBgn0002962	14944	14369
FBgn0002973	790	763
FBgn0002989	97	74
FBgn0003008	553	494
FBgn0003016	352	448
FBgn0003023	1266	1037
FBgn0003028	2041	2220
FBgn0003041	1463	2106
FBgn0003042	109	104
FBgn0003044	613	615
FBgn0003048	109	114
FBgn0003053	518	463
FBgn0003062	3269	3332
FBgn0003068	42	80
FBgn0003071	460	490
FBgn0003074	995	1009
FBgn0003076	8831	5588
FBgn0003079	357	362
FBgn0003082	806	1121
FBgn0003087	6599	5227
FBgn0003091	297	301
FBgn0003093	589	664
FBgn0003114	4601	1187
FBgn0003116	249	255
FBgn0003118	61	63
FBgn0003124	1327	1040
FBgn0003134	557	444
FBgn0003137	395	422
FBgn0003139	1668	884
FBgn0003141	1842	1179
FBgn0003149	658	606
FBgn0003159	142	168
FBgn0003162	294	373
FBgn0003165	1513	1660
FBgn0003169	1680	1754
FBgn0003175	225	130
FBgn0003187	778	1006
FBgn0003189	268	241
FBgn0003204	1209	1235
FBgn0003205	561	475
FBgn0003206	860	873
FBgn0003209	416	318
FBgn0003210	1972	2370
FBgn0003218	899	1219
FBgn0003227	70	82
FBgn0003231	888	910
FBgn0003248	173	172
FBgn0003249	30	48
FBgn0003250	1277	1229
FBgn0003256	52	184
FBgn0003257	503	484
FBgn0003261	448	430
FBgn0003268	162	246
FBgn0003274	198239	164399
FBgn0003275	2077	1873
FBgn0003277	508	530
FBgn0003278	80	64
FBgn0003279	10444	11088
FBgn0003285	29	94
FBgn0003292	235	293
FBgn0003301	70	67
FBgn0003302	272	176
FBgn0003308	155	116
FBgn0003310	988	620
FBgn0003317	437	418
FBgn0003321	316	296
FBgn0003330	292	290
FBgn0003334	108	86
FBgn0003345	979	800
FBgn0003346	763	743
FBgn0003353	71	91
FBgn0003356	1860	427
FBgn0003357	1134	132
FBgn0003358	2651	2832
FBgn0003360	30399	24268
FBgn0003366	202	149
FBgn0003371	2767	2965
FBgn0003380	273	283
FBgn0003390	77	82
FBgn0003391	903	761
FBgn0003392	585	848
FBgn0003396	150	193
FBgn0003401	990	1138
FBgn0003410	1455	1886
FBgn0003415	335	341
FBgn0003416	1024	1153
FBgn0003423	1542	1220
FBgn0003429	265	243
FBgn0003435	251	304
FBgn0003444	221	164
FBgn0003447	3905	3857
FBgn0003449	2544	2698
FBgn0003450	303	570
FBgn0003459	169	203
FBgn0003462	27109	31195
FBgn0003463	216	157
FBgn0003464	601	597
FBgn0003475	246	298
FBgn0003479	259	431
FBgn0003480	614	713
FBgn0003482	497	349
FBgn0003495	459	464
FBgn0003499	31	29
FBgn0003502	1308	1090
FBgn0003507	258	281
FBgn0003512	876	687
FBgn0003514	1227	1298
FBgn0003515	179	279
FBgn0003517	6113	6772
FBgn0003520	1225	1561
FBgn0003525	6292	6220
FBgn0003527	780	1565
FBgn0003545	2081	1821
FBgn0003557	158	169
FBgn0003567	4199	4580
FBgn0003575	69	95
FBgn0003598	167	172
FBgn0003607	6613	6811
FBgn0003612	917	622
FBgn0003638	222	277
FBgn0003651	67	86
FBgn0003654	33	162
FBgn0003655	2491	1822
FBgn0003656	391	389
FBgn0003660	1347	1203
FBgn0003676	1656	1641
FBgn0003687	448	521
FBgn0003701	560	459
FBgn0003714	4828	4348
FBgn0003716	583	436
FBgn0003721	4073	4380
FBgn0003731	158	114
FBgn0003733	2088	1825
FBgn0003741	120	138
FBgn0003742	1250	1533
FBgn0003748	2285	1665
FBgn0003751	199	220
FBgn0003861	768	688
FBgn0003862	354	360
FBgn0003863	11602	8949
FBgn0003867	310	290
FBgn0003870	299	312
FBgn0003882	479	442
FBgn0003884	903	540
FBgn0003888	261	353
FBgn0003890	482	634
FBgn0003891	3154	3169
FBgn0003920	143	92
FBgn0003922	60	103
FBgn0003941	30	16
FBgn0003942	68745	60911
FBgn0003943	570	2136
FBgn0003944	17	34
FBgn0003961	305	134
FBgn0003963	60	67
FBgn0003964	167	157
FBgn0003965	296	533
FBgn0003969	283	270
FBgn0003975	36	21
FBgn0003977	71	60
FBgn0003978	659	316
FBgn0003980	4823	4207
FBgn0003983	11785	12240
FBgn0003996	67	118
FBgn0004003	821	807
FBgn0004045	17811	20468
FBgn0004047	53400	37430
FBgn0004049	230	261
FBgn0004050	432	465
FBgn0004055	271	235
FBgn0004057	464	469
FBgn0004066	4281	4281
FBgn0004087	1692	2083
FBgn0004101	140	182
FBgn0004103	631	790
FBgn0004107	816	773
FBgn0004108	27	58
FBgn0004117	720	706
FBgn0004118	37	38
FBgn0004132	2012	2322
FBgn0004133	119	120
FBgn0004167	248	231
FBgn0004177	8353	9894
FBgn0004179	47	51
FBgn0004185	127	78
FBgn0004186	93	5
FBgn0004198	35	16
FBgn0004227	386	434
FBgn0004228	444	388
FBgn0004237	231	357
FBgn0004242	144	163
FBgn0004244	87	74
FBgn0004359	344	545
FBgn0004362	12380	14348
FBgn0004363	15659	22187
FBgn0004364	67	76
FBgn0004367	210	128
FBgn0004368	552	502
FBgn0004369	179	170
FBgn0004370	451	434
FBgn0004373	472	479
FBgn0004374	364	295
FBgn0004378	128	166
FBgn0004379	1326	1893
FBgn0004380	198	220
FBgn0004381	729	576
FBgn0004387	757	905
FBgn0004390	643	654
FBgn0004391	168	159
FBgn0004395	1838	2075
FBgn0004396	67	57
FBgn0004397	109	133
FBgn0004400	863	1377
FBgn0004401	504	687
FBgn0004404	1079	848
FBgn0004406	302	226
FBgn0004419	9683	10340
FBgn0004429	842	1052
FBgn0004432	145	117
FBgn0004435	356	430
FBgn0004436	284	272
FBgn0004449	142	115
FBgn0004456	302	243
FBgn0004463	180	299
FBgn0004465	1191	1223
FBgn0004507	1160	1581
FBgn0004509	2540	2425
FBgn0004510	1048	1140
FBgn0004512	429	500
FBgn0004513	138	80
FBgn0004516	259	272
FBgn0004552	41	42
FBgn0004556	411	311
FBgn0004569	122	133
FBgn0004574	1714	1745
FBgn0004575	38	32
FBgn0004580	382	319
FBgn0004584	476	415
FBgn0004587	430	617
FBgn0004595	117	112
FBgn0004597	174	174
FBgn0004598	3975	2932
FBgn0004606	208	161
FBgn0004611	475	524
FBgn0004623	679	1173
FBgn0004635	76	102
FBgn0004636	1699	1897
FBgn0004638	1245	1499
FBgn0004643	895	1211
FBgn0004646	199	242
FBgn0004647	255	263
FBgn0004648	784	875
FBgn0004649	10973	13057
FBgn0004650	165	156
FBgn0004652	163	157
FBgn0004654	2502	3461
FBgn0004655	153	153
