geneID	DGRP.177	SP.159N
FBgn0000008	357	324
FBgn0000014	155	126
FBgn0000015	208	231
FBgn0000017	313	331
FBgn0000018	168	160
FBgn0000024	745	557
FBgn0000028	197	1
FBgn0000032	343	378
FBgn0000036	315	367
FBgn0000037	163	166
FBgn0000038	1019	1126
FBgn0000039	150	156
FBgn0000042	5174	14
FBgn0000043	1136	1129
FBgn0000044	5529	5809
FBgn0000045	2028	2076
FBgn0000046	3598	3543
FBgn0000047	602	540
FBgn0000052	1751	1452
FBgn0000053	1325	2104
FBgn0000057	536	506
FBgn0000063	109	100
FBgn0000064	15441	12833
FBgn0000077	254	1
FBgn0000078	18047	12654
FBgn0000079	54843	22960
FBgn0000083	2770	1900
FBgn0000084	1228	1
FBgn0000094	7177	5944
FBgn0000097	441	364
FBgn0000108	2940	15
FBgn0000109	130	163
FBgn0000114	5854	6071
FBgn0000115	477	439
FBgn0000116	29489	15021
FBgn0000117	1789	8
FBgn0000119	763	879
FBgn0000120	6975	6511
FBgn0000121	12635	12846
FBgn0000139	236	188
FBgn0000140	787	526
FBgn0000146	70	84
FBgn0000147	424	422
FBgn0000152	193	1
FBgn0000153	705	811
FBgn0000157	48	42
FBgn0000163	1537	4
FBgn0000173	2251	15
FBgn0000179	193	1
FBgn0000180	41	47
FBgn0000181	560	564
FBgn0000183	896	963
FBgn0000206	188	253
FBgn0000212	682	657
FBgn0000221	255	2
FBgn0000228	603	597
FBgn0000229	630	628
FBgn0000239	241	252
FBgn0000241	120	90
FBgn0000244	123	125
FBgn0000247	969	1083
FBgn0000250	1289	1277
FBgn0000251	563	584
FBgn0000253	7891	7362
FBgn0000256	5365	5842
FBgn0000257	496	4
FBgn0000259	1083	14
FBgn0000261	7380	7925
FBgn0000273	2669	3049
FBgn0000274	790	773
FBgn0000276	330	376
FBgn0000286	699	708
FBgn0000287	306	566
FBgn0000289	823	781
FBgn0000299	1498	1429
FBgn0000303	192	251
FBgn0000307	388	404
FBgn0000308	668	825
FBgn0000316	190	0
FBgn0000317	1041	825
FBgn0000318	702	802
FBgn0000319	5301	39
FBgn0000320	265	222
FBgn0000326	451	479
