geneID	DGRP.177	SP.159N
FBgn0000008	208	209
FBgn0000017	264	263
FBgn0000018	69	90
FBgn0000024	1422	962
FBgn0000028	75	112
FBgn0000032	202	216
FBgn0000036	808	851
FBgn0000037	398	330
FBgn0000038	1271	1295
FBgn0000039	289	264
FBgn0000042	2401	2381
FBgn0000043	82	79
FBgn0000044	4926	4512
FBgn0000045	33	110
FBgn0000046	508	638
FBgn0000052	5380	4965
FBgn0000053	19106	20392
FBgn0000057	223	232
FBgn0000064	13651	11830
FBgn0000075	58	44
FBgn0000077	110	130
FBgn0000078	3885	2469
FBgn0000079	2723	4749
FBgn0000083	2156	1524
FBgn0000084	1177	921
FBgn0000097	463	437
FBgn0000108	5111	5094
FBgn0000109	166	166
FBgn0000114	914	1287
FBgn0000115	357	307
FBgn0000116	15768	10683
FBgn0000117	1108	1129
FBgn0000119	617	539
FBgn0000120	61999	59961
FBgn0000121	102774	103254
FBgn0000139	188	118
FBgn0000152	121	100
FBgn0000153	261	301
FBgn0000157	34	44
FBgn0000163	467	437
FBgn0000173	1775	1945
FBgn0000179	297	320
FBgn0000180	58	44
FBgn0000181	336	439
FBgn0000183	947	862
FBgn0000206	1377	1540
FBgn0000212	554	511
FBgn0000221	60	61
FBgn0000228	586	513
FBgn0000229	1465	1358
FBgn0000239	204	231
FBgn0000241	335	265
FBgn0000244	96	96
FBgn0000247	519	537
FBgn0000250	1026	999
FBgn0000253	30937	25864
FBgn0000256	804	835
FBgn0000257	249	257
FBgn0000259	745	698
FBgn0000261	2000	2056
FBgn0000273	4066	4961
FBgn0000283	19	24
FBgn0000286	424	514
FBgn0000287	447	346
FBgn0000289	822	773
FBgn0000299	1605	1300
FBgn0000303	381	564
FBgn0000307	499	493
FBgn0000308	1040	1230
FBgn0000316	141	113
FBgn0000317	694	658
FBgn0000318	425	442
FBgn0000319	2676	2351
FBgn0000320	269	285
FBgn0000326	430	480
FBgn0000330	284	286
FBgn0000339	227	212
FBgn0000346	2912	2808
FBgn0000352	198	179
FBgn0000370	2976	3066
FBgn0000376	203	210
FBgn0000377	217	181
FBgn0000382	2009	1870
FBgn0000384	79	115
FBgn0000394	225	197
FBgn0000395	151	154
FBgn0000404	19	20
FBgn0000406	18677	22493
FBgn0000411	80	67
FBgn0000412	639	630
FBgn0000414	1239	981
FBgn0000416	9785	9313
FBgn0000422	1345	1584
FBgn0000439	159	192
FBgn0000447	223	204
FBgn0000448	306	321
FBgn0000454	1198	1250
FBgn0000455	521	612
FBgn0000459	928	718
FBgn0000463	127	161
FBgn0000464	78	74
FBgn0000473	21986	26555
FBgn0000477	2639	2721
FBgn0000479	3346	3374
FBgn0000482	194	202
FBgn0000489	748	1026
FBgn0000490	225	232
FBgn0000492	311	275
FBgn0000499	232	224
FBgn0000504	73	62
FBgn0000520	90	77
FBgn0000524	93	108
FBgn0000527	124	112
FBgn0000529	17	14
FBgn0000533	52	46
FBgn0000535	517	680
FBgn0000536	1783	1736
FBgn0000541	73	72
FBgn0000542	95	948
FBgn0000543	304	357
FBgn0000546	291	278
FBgn0000547	1145	1323
FBgn0000557	2213	2657
FBgn0000559	89	224
FBgn0000562	1086	1058
FBgn0000565	791	468
FBgn0000566	1431	770
FBgn0000567	373	360
FBgn0000568	2172	2183
FBgn0000575	1512	1338
FBgn0000576	43	28
FBgn0000577	36	31
FBgn0000578	488	427
FBgn0000579	12787	13677
FBgn0000581	751	707
FBgn0000588	60	63
FBgn0000592	4430	3415
FBgn0000611	1054	1034
FBgn0000617	97	122
FBgn0000625	82	88
FBgn0000629	367	396
FBgn0000633	578	571
FBgn0000635	857	849
FBgn0000636	348	390
FBgn0000658	24	34
FBgn0000659	177	223
FBgn0000662	388	381
FBgn0000667	857	875
FBgn0000709	441	448
FBgn0000711	1858	1482
FBgn0000715	125	107
FBgn0000719	643	556
FBgn0000721	4514	4225
FBgn0000723	932	988
FBgn0000810	90	113
FBgn0000964	101	97
FBgn0000996	29	31
FBgn0001075	49	45
FBgn0001078	116	130
FBgn0001079	155	131
FBgn0001083	164	170
FBgn0001084	47	40
FBgn0001085	76	100
FBgn0001087	559	558
FBgn0001089	71	56
FBgn0001090	2511	2176
FBgn0001091	7945	8014
FBgn0001092	3349	2806
FBgn0001098	8357	7695
FBgn0001104	491	496
FBgn0001105	1672	1626
FBgn0001108	754	727
FBgn0001112	218	194
FBgn0001114	16552	16258
FBgn0001122	2055	1938
FBgn0001123	196	194
FBgn0001124	13589	8938
FBgn0001125	13589	10711
FBgn0001128	5182	4672
FBgn0001133	231	264
FBgn0001134	41	48
FBgn0001137	84	74
FBgn0001138	22	23
FBgn0001139	730	686
FBgn0001142	3274	1348
FBgn0001145	8536	9319
FBgn0001149	3762	4294
FBgn0001168	497	491
FBgn0001169	246	239
FBgn0001179	160	164
FBgn0001180	15	25
FBgn0001185	93	82
FBgn0001186	2021	2185
FBgn0001187	3776	4110
FBgn0001189	104	131
FBgn0001197	582	621
FBgn0001202	452	595
FBgn0001206	35	44
FBgn0001208	13334	14811
FBgn0001215	611	535
FBgn0001216	273	274
FBgn0001218	5650	5595
FBgn0001220	3127	3005
FBgn0001222	618	546
FBgn0001224	125	128
FBgn0001225	106	241
FBgn0001226	21	24
FBgn0001227	14	16
FBgn0001229	108	108
FBgn0001230	202	311
FBgn0001233	742	802
FBgn0001234	782	842
FBgn0001235	2403	2639
FBgn0001247	425	442
FBgn0001248	5686	5545
FBgn0001250	1225	1184
FBgn0001257	368	270
FBgn0001258	167	165
FBgn0001259	37	24
FBgn0001263	9846	9436
FBgn0001269	21	28
FBgn0001280	302	252
FBgn0001291	149	158
FBgn0001296	312	336
FBgn0001297	1270	1137
FBgn0001301	495	523
FBgn0001308	954	1013
FBgn0001316	914	864
FBgn0001319	51	45
FBgn0001323	73	84
FBgn0001324	143	151
FBgn0001325	27	40
FBgn0001330	63	86
FBgn0001341	31	36
FBgn0001404	899	808
FBgn0001491	161	189
FBgn0001565	1476	1197
FBgn0001612	215	236
FBgn0001624	3106	3446
FBgn0001941	506	495
FBgn0001942	15264	15835
FBgn0001961	539	546
FBgn0001965	285	297
