geneID	DGRP.177	SP.159N
FBgn0000008	901	832
FBgn0000014	80	66
FBgn0000017	1169	1138
FBgn0000018	419	409
FBgn0000024	330	226
FBgn0000032	3029	2755
FBgn0000036	91	119
FBgn0000038	392	402
FBgn0000042	9720	9923
FBgn0000043	2381	2465
FBgn0000044	3632	3690
FBgn0000045	427	428
FBgn0000046	1006	1100
FBgn0000047	126	96
FBgn0000052	5312	5526
FBgn0000053	6227	7579
FBgn0000057	587	641
FBgn0000063	1048	1005
FBgn0000064	7315	6754
FBgn0000075	156	150
FBgn0000077	492	557
FBgn0000078	6893	6637
FBgn0000079	27889	11701
FBgn0000083	3967	2772
FBgn0000084	1236	1123
FBgn0000097	1941	1782
FBgn0000108	639	613
FBgn0000109	603	648
FBgn0000114	27310	32103
FBgn0000115	1467	1441
FBgn0000116	15505	7857
FBgn0000117	4085	3986
FBgn0000119	920	950
FBgn0000120	3178	3243
FBgn0000121	4502	4656
FBgn0000139	471	622
FBgn0000140	10587	10303
FBgn0000146	2463	2584
FBgn0000147	1965	2357
FBgn0000152	287	297
FBgn0000153	216	291
FBgn0000163	1819	1653
FBgn0000173	2601	2729
FBgn0000179	44	41
FBgn0000180	77	72
FBgn0000181	666	797
FBgn0000183	6009	6891
FBgn0000206	84	96
FBgn0000212	3241	3434
FBgn0000221	350	417
FBgn0000228	2807	2931
FBgn0000229	668	588
FBgn0000239	1040	953
FBgn0000244	103	91
FBgn0000247	1926	2072
FBgn0000250	4849	5326
FBgn0000251	3512	3502
FBgn0000253	11860	12105
FBgn0000256	1579	1655
FBgn0000257	1057	1060
FBgn0000259	4077	4312
FBgn0000261	3106	3136
FBgn0000273	4102	4567
FBgn0000274	37	41
FBgn0000286	1257	1298
FBgn0000289	3313	3178
FBgn0000299	2982	2834
FBgn0000303	73	69
FBgn0000307	4790	4713
FBgn0000308	630	685
FBgn0000316	924	852
FBgn0000317	2446	2688
FBgn0000318	1290	1331
FBgn0000319	8642	8759
FBgn0000320	200	174
FBgn0000326	990	1011
FBgn0000330	1028	972
FBgn0000339	476	469
FBgn0000346	444	391
FBgn0000352	1564	1738
FBgn0000355	59346	59376
FBgn0000370	2673	2589
FBgn0000376	3005	2804
FBgn0000377	706	758
FBgn0000382	2780	2795
FBgn0000384	775	719
FBgn0000394	340	239
FBgn0000395	104	116
FBgn0000404	47714	50507
FBgn0000405	49581	50339
FBgn0000406	4746	5569
FBgn0000411	30	26
FBgn0000412	4667	4831
FBgn0000414	1798	1651
FBgn0000416	12822	11904
FBgn0000422	325	349
FBgn0000447	1335	1291
FBgn0000448	31	43
FBgn0000451	89	69
FBgn0000454	11064	10656
FBgn0000455	1078	1260
FBgn0000459	95	76
FBgn0000463	3026	2723
FBgn0000464	57	55
FBgn0000473	6539	9519
FBgn0000477	547	517
FBgn0000479	3833	3769
FBgn0000482	745	783
FBgn0000489	645	1107
FBgn0000490	122	111
FBgn0000492	89	97
FBgn0000499	1483	1481
FBgn0000504	51	59
FBgn0000520	689	735
FBgn0000524	2158	2184
FBgn0000533	285	337
FBgn0000536	1919	2123
FBgn0000541	533	433
FBgn0000542	199	739
FBgn0000543	1230	1247
FBgn0000546	831	845
FBgn0000547	4764	5914
FBgn0000557	252	277
FBgn0000559	157	115
FBgn0000562	4542	4332
FBgn0000565	1043	1033
FBgn0000566	4509	4632
FBgn0000567	399	422
FBgn0000568	2159	2283
FBgn0000575	1793	1767
FBgn0000578	2692	2708
FBgn0000579	22067	22920
FBgn0000581	4750	5000
FBgn0000588	1520	1484
