geneID	DGRP.177	SP.159N
FBgn0000008	119	103
FBgn0000017	107	97
FBgn0000018	56	43
FBgn0000024	48	23
FBgn0000032	905	844
FBgn0000036	20	22
FBgn0000038	32	40
FBgn0000042	1128	1209
FBgn0000043	316	318
FBgn0000044	254	231
FBgn0000045	51	74
FBgn0000046	56	65
FBgn0000047	24	27
FBgn0000052	668	550
FBgn0000053	1413	1596
FBgn0000057	67	81
FBgn0000063	103	112
FBgn0000064	3411	2702
FBgn0000077	96	96
FBgn0000078	1450	1467
FBgn0000079	5053	1756
FBgn0000083	1641	857
FBgn0000084	482	378
FBgn0000097	174	176
FBgn0000108	62	70
FBgn0000109	136	121
FBgn0000114	3832	4923
FBgn0000115	576	520
FBgn0000116	2438	1295
FBgn0000117	462	478
FBgn0000119	113	115
FBgn0000120	1060	1313
FBgn0000121	1103	939
FBgn0000139	105	142
FBgn0000140	1001	1054
FBgn0000146	290	295
FBgn0000147	314	742
FBgn0000152	43	40
FBgn0000153	134	203
FBgn0000163	322	383
FBgn0000173	926	1015
FBgn0000180	18	18
FBgn0000181	148	168
FBgn0000183	932	973
FBgn0000212	276	288
FBgn0000221	64	56
FBgn0000228	238	212
FBgn0000229	246	221
FBgn0000239	103	106
FBgn0000244	24	23
FBgn0000247	132	153
FBgn0000250	529	601
FBgn0000251	372	330
FBgn0000253	2890	3045
FBgn0000256	224	210
FBgn0000257	206	169
FBgn0000259	2161	2206
FBgn0000261	655	797
FBgn0000273	644	696
FBgn0000286	228	316
FBgn0000289	317	290
FBgn0000299	384	331
FBgn0000307	439	439
FBgn0000308	119	122
FBgn0000316	258	182
FBgn0000317	227	273
FBgn0000318	828	906
FBgn0000319	989	943
FBgn0000320	42	39
FBgn0000326	140	174
FBgn0000330	190	137
FBgn0000339	807	801
FBgn0000346	62	58
FBgn0000352	223	253
FBgn0000355	38386	31908
FBgn0000370	957	859
FBgn0000376	257	230
FBgn0000377	84	112
FBgn0000382	337	323
FBgn0000384	848	943
FBgn0000394	64	44
FBgn0000395	21	26
FBgn0000404	9915	10179
FBgn0000405	7626	7385
FBgn0000406	2036	2543
FBgn0000412	788	800
FBgn0000414	187	137
FBgn0000416	1327	1273
FBgn0000422	89	97
FBgn0000447	149	136
FBgn0000454	1963	1781
FBgn0000455	291	311
FBgn0000459	20	19
FBgn0000463	383	404
FBgn0000473	2159	2460
FBgn0000477	422	372
FBgn0000479	533	629
FBgn0000482	99	96
FBgn0000489	95	121
FBgn0000490	13	17
FBgn0000492	15	21
FBgn0000499	221	181
FBgn0000520	119	150
FBgn0000524	218	210
FBgn0000533	33	33
FBgn0000536	703	698
FBgn0000541	38	42
FBgn0000542	12	89
FBgn0000543	171	154
FBgn0000546	131	147
FBgn0000547	509	687
FBgn0000557	70	75
FBgn0000559	29	27
FBgn0000562	627	507
FBgn0000565	190	113
FBgn0000566	507	585
FBgn0000567	28	43
FBgn0000568	199	229
FBgn0000575	548	536
FBgn0000578	315	366
FBgn0000579	6015	6214
FBgn0000581	341	358
FBgn0000588	205	180
FBgn0000592	975	752
FBgn0000611	542	519
FBgn0000615	471	312
FBgn0000617	206	213
FBgn0000629	578	438
FBgn0000635	77	67
FBgn0000636	126	126
FBgn0000659	33	42
FBgn0000662	213	236
FBgn0000667	177	191
FBgn0000709	196	176
FBgn0000711	288	226
FBgn0000715	24	6
FBgn0000719	341	357
FBgn0000721	1169	1447
FBgn0000723	63	59
FBgn0000810	53	64
FBgn0000964	57	66
FBgn0000996	363	350
FBgn0001078	111	104
FBgn0001079	116	143
FBgn0001084	95	82
FBgn0001085	127	228
FBgn0001086	460	363
FBgn0001087	399	377
FBgn0001089	24	29
FBgn0001090	38	33
FBgn0001091	4208	4243
FBgn0001092	3171	1791
FBgn0001098	705	710
FBgn0001104	1086	1041
FBgn0001105	744	740
FBgn0001108	572	532
FBgn0001114	661	704
FBgn0001122	191	206
FBgn0001123	24	24
FBgn0001124	1768	1453
FBgn0001125	2564	2434
FBgn0001128	1376	954
FBgn0001133	456	167
FBgn0001137	36	39
FBgn0001139	1085	970
FBgn0001142	1366	807
FBgn0001145	505	589
FBgn0001149	13799	14062
