geneID	DGRP.177	SP.159N
FBgn0000008	436	433
FBgn0000014	144	159
FBgn0000017	350	349
FBgn0000018	140	138
FBgn0000024	801	557
FBgn0000032	412	405
FBgn0000036	389	371
FBgn0000038	1410	1579
FBgn0000042	15	5184
FBgn0000043	1200	1236
FBgn0000044	7268	7286
FBgn0000045	2985	3018
FBgn0000046	4188	4463
FBgn0000047	765	651
FBgn0000052	1407	1208
FBgn0000053	1653	2344
FBgn0000057	425	467
FBgn0000063	143	122
FBgn0000064	15357	12780
FBgn0000075	36	34
FBgn0000077	0	192
FBgn0000078	11450	9111
FBgn0000079	37150	14663
FBgn0000083	2715	1983
FBgn0000084	4	1309
FBgn0000097	449	439
FBgn0000108	9	3615
FBgn0000109	151	99
FBgn0000114	7323	7404
FBgn0000115	452	446
FBgn0000116	37401	22979
FBgn0000117	8	1814
FBgn0000119	662	904
FBgn0000120	9904	8969
FBgn0000121	10559	10673
FBgn0000139	199	179
FBgn0000140	954	576
FBgn0000146	63	98
FBgn0000147	470	518
FBgn0000152	3	192
FBgn0000153	874	958
FBgn0000163	3	1947
FBgn0000173	12	2169
FBgn0000179	3	265
FBgn0000180	38	26
FBgn0000181	685	587
FBgn0000183	867	845
FBgn0000206	287	336
FBgn0000212	557	542
FBgn0000221	2	244
FBgn0000228	644	661
FBgn0000229	682	641
FBgn0000239	225	304
FBgn0000244	142	171
FBgn0000247	1143	1138
FBgn0000250	1392	1245
FBgn0000251	511	566
FBgn0000253	8975	8623
FBgn0000256	5991	6712
FBgn0000257	1	460
FBgn0000259	19	1027
FBgn0000261	5891	6045
FBgn0000273	2960	3422
FBgn0000274	754	777
FBgn0000286	832	844
FBgn0000289	872	812
FBgn0000299	1445	1277
FBgn0000303	260	279
FBgn0000307	466	476
FBgn0000308	726	804
FBgn0000316	0	186
FBgn0000317	849	676
FBgn0000318	593	625
FBgn0000319	20	5369
FBgn0000320	276	202
FBgn0000326	446	380
FBgn0000330	1	459
FBgn0000339	199	208
FBgn0000346	9	2906
FBgn0000352	177	231
FBgn0000355	84	122
FBgn0000370	1754	1725
FBgn0000376	0	396
FBgn0000377	0	272
FBgn0000382	16	2617
FBgn0000384	90	77
FBgn0000394	4	302
FBgn0000395	188	216
FBgn0000404	666	617
FBgn0000405	627	607
FBgn0000406	3878	4239
FBgn0000411	188	129
FBgn0000412	926	884
FBgn0000414	1037	919
FBgn0000416	7286	7370
FBgn0000422	1037	1121
FBgn0000447	1345	1416
FBgn0000448	135	105
FBgn0000451	132	142
FBgn0000454	2151	2033
FBgn0000455	701	856
FBgn0000459	1	243
FBgn0000463	248	196
FBgn0000464	47	43
FBgn0000473	13515	19255
FBgn0000477	629	708
FBgn0000479	95	7565
FBgn0000482	4	485
FBgn0000489	1115	2315
FBgn0000490	319	291
FBgn0000492	133	140
FBgn0000499	16	1287
FBgn0000504	490	492
FBgn0000520	0	185
FBgn0000524	0	217
FBgn0000533	45	55
FBgn0000536	5	2910
FBgn0000541	125	140
FBgn0000542	18	2485
FBgn0000543	435	432
FBgn0000546	184	162
FBgn0000547	1016	1223
FBgn0000557	908	1040
FBgn0000559	75	126
FBgn0000562	1356	1220
FBgn0000565	996	817
FBgn0000566	1628	1026
FBgn0000567	291	311
FBgn0000568	1837	1958
FBgn0000575	962	914
FBgn0000578	526	520
FBgn0000579	11999	13504
FBgn0000581	1046	979
FBgn0000588	95	108
FBgn0000592	17278	15353
FBgn0000611	4	1606
FBgn0000615	4872	4586
FBgn0000617	0	303
FBgn0000629	405	526
FBgn0000633	353	288
FBgn0000635	15	2297
FBgn0000636	465	500
FBgn0000659	564	711
FBgn0000662	409	412
FBgn0000667	25	7890
FBgn0000709	1	952
FBgn0000711	13	1633
FBgn0000715	175	121
FBgn0000719	7	805
FBgn0000721	3150	3214
FBgn0000723	858	695
FBgn0000810	1	275
FBgn0000996	65	83
FBgn0001078	122	102
FBgn0001079	2	255
FBgn0001083	0	348
FBgn0001084	59	42
FBgn0001085	90	93
FBgn0001086	357	486
FBgn0001087	8	1101
FBgn0001089	396	431
FBgn0001090	12	2190
FBgn0001091	8995	8971
