geneID	DGRP.177	SP.159N
FBgn0000008	484	371
FBgn0000017	312	358
FBgn0000032	604	683
FBgn0000042	5016	16
FBgn0000043	3793	3788
FBgn0000044	618	553
FBgn0000052	597	414
FBgn0000053	629	598
FBgn0000057	1049	990
FBgn0000063	328	295
FBgn0000064	6196	6056
FBgn0000079	2752	3463
FBgn0000083	1231	1044
FBgn0000084	887	5
FBgn0000097	161	88
FBgn0000109	67	75
FBgn0000114	20651	20395
FBgn0000115	320	333
FBgn0000116	3954	1250
FBgn0000117	1107	2
FBgn0000119	1016	1521
FBgn0000139	261	246
FBgn0000140	2813	1854
FBgn0000146	283	303
FBgn0000147	1318	1374
FBgn0000158	55	55
FBgn0000163	884	8
FBgn0000173	529	6
FBgn0000181	619	719
FBgn0000183	612	720
FBgn0000212	227	180
FBgn0000221	396	2
FBgn0000228	159	149
FBgn0000229	445	454
FBgn0000239	428	500
FBgn0000246	41	39
FBgn0000247	1234	1129
FBgn0000250	452	493
FBgn0000251	751	843
FBgn0000253	2906	2994
FBgn0000256	16321	18072
FBgn0000257	444	2
FBgn0000259	359	1
FBgn0000261	1962	1908
FBgn0000273	441	497
FBgn0000286	277	339
FBgn0000289	609	535
FBgn0000299	465	472
FBgn0000307	266	240
FBgn0000308	858	934
FBgn0000316	109	0
FBgn0000317	411	299
FBgn0000318	928	1071
FBgn0000319	3493	22
FBgn0000320	552	461
FBgn0000326	341	223
FBgn0000330	365	2
FBgn0000339	144	134
FBgn0000352	87	205
FBgn0000355	313	353
FBgn0000357	38	17
FBgn0000370	1101	1054
FBgn0000376	134	1
FBgn0000377	164	0
FBgn0000382	638	3
FBgn0000384	38	30
FBgn0000404	1993	2130
FBgn0000405	1898	2039
FBgn0000406	307	349
FBgn0000412	1710	1673
FBgn0000414	120	95
FBgn0000416	5212	5308
FBgn0000447	4358	4303
FBgn0000454	2430	2154
FBgn0000455	366	388
FBgn0000463	208	182
FBgn0000473	654	577
FBgn0000479	538	4
FBgn0000482	262	0
FBgn0000489	494	1999
FBgn0000499	3591	14
FBgn0000524	173	11
FBgn0000536	1156	5
FBgn0000543	278	436
FBgn0000547	298	326
FBgn0000562	221	216
FBgn0000565	198	179
FBgn0000566	421	314
FBgn0000568	307	284
FBgn0000575	153	103
FBgn0000578	454	513
FBgn0000579	5008	5840
FBgn0000581	1559	1319
FBgn0000588	78	123
FBgn0000611	549	2
FBgn0000615	16339	14997
FBgn0000617	265	2
FBgn0000629	319	493
FBgn0000636	464	444
FBgn0000662	101	88
FBgn0000667	267	3
FBgn0000709	484	3
FBgn0000711	469	2
FBgn0000719	281	3
FBgn0000721	700	648
FBgn0000996	124	178
FBgn0001079	105	1
FBgn0001084	72	54
FBgn0001086	1212	1493
FBgn0001087	582	5
FBgn0001091	477	425
FBgn0001092	578	2
FBgn0001098	1203	1221
FBgn0001104	340	354
FBgn0001105	801	2
FBgn0001108	739	2107
FBgn0001122	160	220
FBgn0001124	10806	10562
FBgn0001125	3299	3771
FBgn0001128	679	434
FBgn0001133	193	212
FBgn0001139	1012	813
FBgn0001142	110	51
FBgn0001149	4745	4345
FBgn0001169	457	436
FBgn0001179	263	257
FBgn0001186	2066	7
FBgn0001187	165	155
FBgn0001197	1263	906
FBgn0001202	237	241
FBgn0001215	3780	3299
FBgn0001218	8750	76
FBgn0001220	10513	10139
FBgn0001222	789	772
FBgn0001224	2303	2246
FBgn0001225	6550	6248
FBgn0001226	1220	1157
FBgn0001233	9895	10450
FBgn0001234	75	92
FBgn0001248	3775	3429
FBgn0001257	111	99
FBgn0001280	2728	2739
FBgn0001291	695	816
FBgn0001296	44	57
FBgn0001297	291	293
FBgn0001301	735	748
FBgn0001308	642	635
FBgn0001316	1180	995
FBgn0001330	203	0
FBgn0001341	460	2
FBgn0001404	715	2
FBgn0001491	799	8
FBgn0001565	331	1
FBgn0001612	621	1
FBgn0001624	628	0
FBgn0001941	1169	856
FBgn0001942	5065	5295
FBgn0001961	1478	1415
FBgn0001965	312	247
FBgn0001977	808	818
FBgn0001978	2515	2570
FBgn0001986	829	852
FBgn0001987	317	427
FBgn0001989	1134	1052
FBgn0001990	223	217
FBgn0001994	413	406
FBgn0001995	314	241
FBgn0002021	485	450
FBgn0002022	825	718
FBgn0002031	3599	3572
FBgn0002036	5269	5448
FBgn0002044	216	193
FBgn0002069	81	84
FBgn0002121	167	201
FBgn0002174	5850	5050
FBgn0002183	1287	1293
FBgn0002283	198	147
FBgn0002284	557	451
FBgn0002354	200	148
FBgn0002413	1334	1419
FBgn0002441	1242	1254
FBgn0002466	673	611
FBgn0002524	203	207
FBgn0002525	1865	1608
FBgn0002526	215	190
FBgn0002542	259	240
FBgn0002566	239	255
FBgn0002567	478	497
FBgn0002579	1940	15
FBgn0002590	3046	5
FBgn0002593	3469	3511
FBgn0002622	1457	1438
FBgn0002638	1159	1810
FBgn0002641	192	2
FBgn0002643	462	662
FBgn0002645	232	180
FBgn0002673	1903	2218
FBgn0002707	141	2
FBgn0002715	2618	2356
FBgn0002719	3998	4155
FBgn0002723	249	4
FBgn0002736	243	223
FBgn0002772	206	179
FBgn0002775	484	635
FBgn0002778	67	66
FBgn0002780	87	85
FBgn0002781	441	400
FBgn0002783	91	80
FBgn0002787	2913	2914
FBgn0002789	229	244
FBgn0002791	760	905
FBgn0002872	553	629
FBgn0002873	7048	84
FBgn0002878	750	1
FBgn0002887	648	1068
FBgn0002899	196	1159
FBgn0002901	749	674
FBgn0002914	3536	18
FBgn0002921	1287	1432
FBgn0002924	839	748
FBgn0002973	2034	1789
FBgn0002989	169	147
FBgn0003008	131	115
FBgn0003016	400	288
FBgn0003023	66	0
FBgn0003041	261	475
FBgn0003044	887	805
FBgn0003048	999	2
FBgn0003053	1081	6
FBgn0003062	932	957
FBgn0003071	8783	8623
FBgn0003074	4109	4057
FBgn0003076	333	371
FBgn0003079	282	0
FBgn0003082	85	94
FBgn0003087	858	676
FBgn0003093	162	177
FBgn0003114	15	169
FBgn0003116	204	1
FBgn0003124	1094	1130
FBgn0003134	322	318
FBgn0003137	561	510
