geneID	DGRP177	SP159N
FBgn0000008	161	166
FBgn0000017	159	191
FBgn0000018	111	92
FBgn0000024	440	305
FBgn0000032	221	218
FBgn0000036	209	201
FBgn0000038	726	733
FBgn0000042	3017	19
FBgn0000043	578	699
FBgn0000044	3105	3223
FBgn0000045	1214	1289
FBgn0000046	2063	2222
FBgn0000047	298	244
FBgn0000052	907	765
FBgn0000053	737	1181
FBgn0000057	301	247
FBgn0000063	58	63
FBgn0000064	7760	6449
FBgn0000075	14	12
FBgn0000077	113	2
FBgn0000078	10279	7303
FBgn0000079	29944	12663
FBgn0000083	1561	1158
FBgn0000084	773	7
FBgn0000097	257	221
FBgn0000108	1883	3
FBgn0000109	91	92
FBgn0000114	3304	3409
FBgn0000115	271	264
FBgn0000116	18018	8970
FBgn0000117	939	4
FBgn0000119	402	507
FBgn0000120	4205	4073
FBgn0000121	7842	7893
FBgn0000139	148	101
FBgn0000140	469	276
FBgn0000146	53	58
FBgn0000147	219	264
FBgn0000152	135	1
FBgn0000153	354	418
FBgn0000163	930	3
FBgn0000173	1274	3
FBgn0000180	22	27
FBgn0000181	336	322
FBgn0000183	461	537
FBgn0000206	125	146
FBgn0000212	391	392
FBgn0000221	122	1
FBgn0000228	355	340
FBgn0000229	327	361
FBgn0000239	129	133
FBgn0000244	68	59
FBgn0000246	12	18
FBgn0000247	521	499
FBgn0000250	801	708
FBgn0000251	310	324
FBgn0000253	4731	4773
FBgn0000256	2918	3201
FBgn0000257	271	2
FBgn0000259	633	4
FBgn0000261	3722	3953
FBgn0000273	1593	1745
FBgn0000286	390	386
FBgn0000289	470	464
FBgn0000299	574	538
FBgn0000307	230	234
FBgn0000308	375	508
FBgn0000316	116	1
FBgn0000317	444	395
FBgn0000318	463	447
FBgn0000319	2678	18
FBgn0000320	156	114
FBgn0000326	217	245
FBgn0000330	273	3
FBgn0000339	125	127
FBgn0000346	1677	8
FBgn0000352	81	100
FBgn0000355	47	71
FBgn0000370	1131	1232
FBgn0000376	220	0
FBgn0000377	211	0
FBgn0000382	1345	6
FBgn0000384	35	43
FBgn0000394	189	1
FBgn0000395	95	101
FBgn0000404	430	393
FBgn0000405	371	392
FBgn0000406	2471	2641
FBgn0000412	559	572
FBgn0000414	534	394
FBgn0000416	3966	3894
FBgn0000422	463	492
FBgn0000447	849	758
FBgn0000454	1310	1223
FBgn0000455	392	405
FBgn0000459	213	2
FBgn0000463	139	96
FBgn0000464	29	20
FBgn0000473	7542	11893
FBgn0000477	445	578
FBgn0000479	4082	57
FBgn0000482	282	2
FBgn0000489	639	1227
FBgn0000490	183	152
FBgn0000492	151	122
FBgn0000499	724	2
FBgn0000504	193	178
FBgn0000520	118	0
FBgn0000524	104	6
FBgn0000533	18	23
FBgn0000536	1546	6
FBgn0000541	74	60
FBgn0000542	172	0
FBgn0000543	251	240
FBgn0000546	102	102
FBgn0000547	484	559
FBgn0000557	544	574
FBgn0000559	18	60
FBgn0000562	696	641
FBgn0000565	587	451
FBgn0000566	1068	608
FBgn0000567	179	178
FBgn0000568	943	1022
FBgn0000575	598	548
FBgn0000578	337	302
FBgn0000579	5706	6108
FBgn0000581	543	527
FBgn0000588	38	57
FBgn0000592	12207	10860
FBgn0000611	780	8
FBgn0000615	2720	2523
FBgn0000617	221	2
FBgn0000629	258	289
FBgn0000633	202	176
FBgn0000635	1156	11
FBgn0000636	261	247
FBgn0000659	364	459
FBgn0000662	178	219
FBgn0000667	2889	14
FBgn0000709	556	1
FBgn0000711	928	12
FBgn0000715	89	65
FBgn0000719	507	2
FBgn0000721	1848	1796
FBgn0000723	423	325
FBgn0000810	134	1
FBgn0000964	18	17
FBgn0000996	26	51
FBgn0001078	66	60
FBgn0001079	119	0
FBgn0001083	193	0
FBgn0001084	39	30
FBgn0001085	45	54
FBgn0001086	195	226
FBgn0001087	663	5
FBgn0001089	277	322
FBgn0001090	1186	9
FBgn0001091	3995	3911
FBgn0001092	2737	3
FBgn0001098	4156	3356
FBgn0001104	333	351
FBgn0001105	1377	7
FBgn0001108	642	766
FBgn0001112	479	443
FBgn0001114	1496	1461
FBgn0001122	513	518
FBgn0001123	145	102
FBgn0001124	4346	3861
FBgn0001125	3140	2629
FBgn0001128	4229	3910
FBgn0001133	191	195
FBgn0001137	52	46
FBgn0001139	561	497
FBgn0001142	520	259
FBgn0001145	10614	68
FBgn0001149	4842	4691
FBgn0001168	562	579
FBgn0001169	187	174
FBgn0001179	103	136
FBgn0001180	22	23
FBgn0001185	52	49
FBgn0001186	2867	13
FBgn0001187	1675	1835
FBgn0001189	140	1
FBgn0001197	461	388
FBgn0001202	154	190
FBgn0001206	90	0
FBgn0001208	1077	1300
FBgn0001215	1090	926
FBgn0001216	1597	1478
FBgn0001218	10289	93
FBgn0001220	2915	2766
FBgn0001222	466	375
FBgn0001224	465	453
FBgn0001225	1424	1380
FBgn0001226	267	234
FBgn0001230	513	586
FBgn0001233	2570	2553
FBgn0001234	577	555
FBgn0001235	764	786
FBgn0001247	287	301
FBgn0001248	4380	4515
FBgn0001250	1655	9
FBgn0001257	716	673
FBgn0001258	208	171
FBgn0001263	1092	1027
FBgn0001280	583	614
FBgn0001285	674	3
