geneID	DGRP.177	SP.159N
FBgn0000008	434	451
FBgn0000017	706	729
FBgn0000032	167	172
FBgn0000042	6207	30
FBgn0000043	91	89
FBgn0000044	4520	4131
FBgn0000052	2509	2095
FBgn0000053	7182	7375
FBgn0000057	243	281
FBgn0000064	11277	9141
FBgn0000079	1712	3607
FBgn0000083	2365	1836
FBgn0000084	2613	14
FBgn0000097	504	472
FBgn0000109	92	85
FBgn0000114	1008	1499
FBgn0000115	260	222
FBgn0000116	22718	15903
FBgn0000117	3252	13
FBgn0000119	801	894
FBgn0000139	217	173
FBgn0000163	1687	10
FBgn0000173	2845	21
FBgn0000181	427	501
FBgn0000183	1239	1257
FBgn0000212	889	933
FBgn0000221	145	0
FBgn0000228	969	849
FBgn0000229	1377	1283
FBgn0000239	129	164
FBgn0000247	948	975
FBgn0000250	1060	1133
FBgn0000253	29453	25029
FBgn0000256	1672	1475
FBgn0000257	847	5
FBgn0000259	1421	20
FBgn0000261	1936	2047
FBgn0000273	5178	6136
FBgn0000286	677	682
FBgn0000289	1474	1436
FBgn0000299	1516	1264
FBgn0000307	729	793
FBgn0000308	1204	1240
FBgn0000316	223	0
FBgn0000317	828	802
FBgn0000318	440	346
FBgn0000319	6519	37
FBgn0000320	526	543
FBgn0000326	325	365
FBgn0000330	732	7
FBgn0000339	200	190
FBgn0000352	538	496
FBgn0000370	2845	2896
FBgn0000376	659	1
FBgn0000377	460	5
FBgn0000382	5714	40
FBgn0000384	88	109
FBgn0000404	34	41
FBgn0000406	6359	7209
FBgn0000412	910	882
FBgn0000414	2869	2379
FBgn0000416	5940	5720
FBgn0000447	225	221
FBgn0000454	1144	1219
FBgn0000455	441	641
FBgn0000463	209	163
FBgn0000473	11021	16055
FBgn0000479	9096	130
FBgn0000482	652	3
FBgn0000489	996	1445
FBgn0000499	734	2
FBgn0000524	175	9
FBgn0000536	2522	9
FBgn0000543	418	439
FBgn0000547	1948	2171
FBgn0000562	1475	1238
FBgn0000565	1134	735
FBgn0000566	870	526
FBgn0000568	3545	3806
FBgn0000575	1988	1838
FBgn0000578	860	810
FBgn0000579	9488	9785
FBgn0000581	1218	1327
FBgn0000588	205	205
FBgn0000611	2398	17
FBgn0000617	246	7
FBgn0000629	444	472
FBgn0000636	480	600
FBgn0000662	727	781
FBgn0000667	2157	17
FBgn0000709	1333	8
FBgn0000711	4605	15
FBgn0000719	1798	7
FBgn0000721	2821	2814
FBgn0000996	40	30
FBgn0001079	357	1
FBgn0001084	77	70
FBgn0001087	2291	17
FBgn0001091	5845	5926
FBgn0001092	4746	13
FBgn0001098	9469	9014
FBgn0001104	608	688
FBgn0001105	3798	19
FBgn0001108	1154	1121
FBgn0001122	3274	2973
FBgn0001124	6431	4514
FBgn0001125	6567	4750
FBgn0001128	4470	3922
FBgn0001133	288	283
FBgn0001139	1158	1100
FBgn0001142	1812	686
FBgn0001149	4062	4484
FBgn0001169	319	292
FBgn0001179	215	182
FBgn0001186	5871	25
FBgn0001187	1500	1645
FBgn0001197	716	683
FBgn0001202	651	677
FBgn0001215	1306	1253
FBgn0001218	11911	98
FBgn0001220	3489	3288
FBgn0001222	895	795
FBgn0001224	170	180
FBgn0001225	66	173
FBgn0001226	41	25
FBgn0001233	808	809
FBgn0001234	849	820
FBgn0001248	4358	4452
FBgn0001257	584	510
FBgn0001280	249	203
FBgn0001291	163	147
FBgn0001296	668	644
FBgn0001297	1518	1425
FBgn0001301	539	530
FBgn0001308	1349	1352
FBgn0001316	1606	1530
FBgn0001330	239	4
FBgn0001341	146	0
FBgn0001404	2707	23
FBgn0001491	261	2
FBgn0001565	2421	13
FBgn0001612	561	6
FBgn0001624	8846	52
FBgn0001941	574	569
FBgn0001942	11687	12273
FBgn0001961	779	741
FBgn0001965	675	584
FBgn0001977	214	181
FBgn0001978	532	595
FBgn0001986	194	182
FBgn0001987	509	437
FBgn0001989	1556	1502
FBgn0001990	151	147
FBgn0001994	1514	1442
FBgn0001995	323	308
FBgn0002021	162	168
FBgn0002022	365	306
FBgn0002031	1128	1321
FBgn0002036	509	481
FBgn0002044	331	280
FBgn0002069	108	132
FBgn0002121	204	210
FBgn0002174	475	464
FBgn0002183	487	459
FBgn0002283	98	57
FBgn0002284	216	187
FBgn0002354	99	126
FBgn0002413	1440	1578
FBgn0002441	833	803
FBgn0002524	435	447
FBgn0002525	345	334
FBgn0002526	94	115
FBgn0002566	409	364
FBgn0002567	2241	2969
FBgn0002579	7888	45
FBgn0002590	12383	24
FBgn0002593	12585	11759
FBgn0002622	4892	4837
FBgn0002638	326	383
FBgn0002641	360	1
FBgn0002643	1592	1706
FBgn0002645	203	178
FBgn0002707	199	0
FBgn0002715	38	19
FBgn0002719	3396	3911
FBgn0002723	1397	2
FBgn0002736	255	262
FBgn0002772	1195	1305
FBgn0002775	242	252
FBgn0002778	513	336
FBgn0002780	105	102
FBgn0002781	1468	1549
FBgn0002783	178	191
FBgn0002787	928	991
FBgn0002789	786	760
FBgn0002791	169	167
FBgn0002872	91	82
FBgn0002878	217	0
FBgn0002887	184	194
FBgn0002901	65	61
FBgn0002914	1212	5
FBgn0002921	29960	28568
FBgn0002924	31	30
FBgn0002973	1291	1355
FBgn0002989	69	56
FBgn0003008	120	95
FBgn0003016	881	913
FBgn0003041	262	258
FBgn0003044	442	416
FBgn0003048	910	4
FBgn0003053	1024	13
FBgn0003062	146	124
FBgn0003071	2525	2436
