geneID	DGRP.177	SP.159N
FBgn0000008	32	43
FBgn0000017	33	21
FBgn0000032	462	398
FBgn0000042	2994	2750
FBgn0000043	255	292
FBgn0000044	63	86
FBgn0000052	697	409
FBgn0000053	456	550
FBgn0000057	125	91
FBgn0000064	352	387
FBgn0000079	33	23
FBgn0000083	891	386
FBgn0000084	498	315
FBgn0000097	44	35
FBgn0000109	47	42
FBgn0000114	3815	5392
FBgn0000115	244	600
FBgn0000116	1660	610
FBgn0000117	1323	1164
FBgn0000119	29	43
FBgn0000139	103	105
FBgn0000163	170	180
FBgn0000173	417	426
FBgn0000181	67	106
FBgn0000183	182	252
FBgn0000212	35	38
FBgn0000221	333	451
FBgn0000228	42	48
FBgn0000229	59	55
FBgn0000239	69	61
FBgn0000247	27	15
FBgn0000250	115	165
FBgn0000253	927	953
FBgn0000256	74	48
FBgn0000257	505	748
FBgn0000259	322	302
FBgn0000261	238	219
FBgn0000273	118	135
FBgn0000286	63	101
FBgn0000289	83	93
FBgn0000299	62	49
FBgn0000307	74	103
FBgn0000308	33	44
FBgn0000316	102	61
FBgn0000317	51	48
FBgn0000318	678	1362
FBgn0000319	389	408
FBgn0000320	48	46
FBgn0000326	83	70
FBgn0000330	485	324
FBgn0000339	529	544
FBgn0000352	62	57
FBgn0000370	525	362
FBgn0000376	104	106
FBgn0000377	206	236
FBgn0000382	70	68
FBgn0000384	86	75
FBgn0000404	2324	2431
FBgn0000406	54	115
FBgn0000412	704	726
FBgn0000414	45	46
FBgn0000416	220	246
FBgn0000447	441	430
FBgn0000454	2928	2759
FBgn0000455	763	784
FBgn0000463	191	159
FBgn0000473	203	238
FBgn0000479	196	221
FBgn0000482	52	29
FBgn0000489	20	44
FBgn0000499	427	401
FBgn0000524	62	64
FBgn0000536	90	86
FBgn0000543	293	214
FBgn0000547	166	196
FBgn0000562	365	275
FBgn0000565	189	93
FBgn0000566	458	716
FBgn0000568	80	79
FBgn0000575	187	202
FBgn0000578	101	130
FBgn0000579	10599	8264
FBgn0000581	69	76
FBgn0000588	103	106
FBgn0000611	284	270
FBgn0000617	342	242
FBgn0000629	177	137
FBgn0000636	115	131
FBgn0000662	140	194
FBgn0000667	157	225
FBgn0000709	156	87
FBgn0000711	98	79
FBgn0000719	102	91
FBgn0000721	254	357
FBgn0000996	129	136
FBgn0001079	117	93
FBgn0001084	200	155
FBgn0001087	328	189
FBgn0001091	1515	1584
FBgn0001092	1166	766
FBgn0001098	330	423
FBgn0001104	322	592
FBgn0001105	535	681
FBgn0001108	314	402
FBgn0001122	27	31
FBgn0001124	748	722
FBgn0001125	2338	1606
FBgn0001128	390	298
FBgn0001133	972	227
FBgn0001139	515	631
FBgn0001142	1714	1036
FBgn0001149	24667	32400
FBgn0001169	63	56
FBgn0001179	51	70
FBgn0001186	219	298
FBgn0001187	136	179
FBgn0001197	1022	1011
FBgn0001202	95	89
FBgn0001215	170	134
FBgn0001218	557	799
FBgn0001220	615	751
FBgn0001222	692	638
FBgn0001224	1834	205
FBgn0001225	52762	73110
FBgn0001226	1820	1681
FBgn0001233	1391	1756
FBgn0001234	141	111
FBgn0001248	577	604
FBgn0001257	57	53
FBgn0001280	414	407
FBgn0001291	65	54
FBgn0001296	219	293
FBgn0001297	31	39
FBgn0001301	108	87
FBgn0001308	198	215
FBgn0001316	192	224
FBgn0001330	84	96
FBgn0001341	46	35
FBgn0001404	61	36
FBgn0001491	914	848
FBgn0001565	260	177
FBgn0001612	68	66
FBgn0001624	131	145
FBgn0001941	378	410
FBgn0001942	10549	12846
FBgn0001961	427	417
FBgn0001965	22	20
FBgn0001977	231	257
FBgn0001978	394	522
FBgn0001986	123	155
FBgn0001987	219	80
FBgn0001989	1162	1563
FBgn0001990	107	95
FBgn0001994	126	106
FBgn0001995	338	555
FBgn0002021	86	118
FBgn0002022	597	699
FBgn0002031	1832	1808
FBgn0002036	87	145
FBgn0002044	43	66
FBgn0002069	56	95
FBgn0002121	185	152
FBgn0002174	419	452
FBgn0002183	399	286
FBgn0002283	73	41
FBgn0002284	194	171
FBgn0002354	341	350
FBgn0002413	750	881
FBgn0002441	55	64
FBgn0002524	91	87
FBgn0002525	521	484
FBgn0002526	21	12
FBgn0002566	118	127
FBgn0002567	80	107
FBgn0002579	28739	29075
FBgn0002590	2449	2247
FBgn0002593	10863	12720
FBgn0002622	42851	30937
FBgn0002638	1641	2096
FBgn0002641	565	573
FBgn0002643	69	47
FBgn0002645	58	63
FBgn0002707	55	69
FBgn0002715	76	95
FBgn0002719	626	617
FBgn0002723	66	74
FBgn0002736	898	770
FBgn0002772	20	44
FBgn0002775	226	142
FBgn0002778	186	207
FBgn0002780	162	164
FBgn0002781	887	926
FBgn0002783	31	40
FBgn0002787	1101	1152
FBgn0002789	62	100
FBgn0002791	95	132
FBgn0002872	63	49
FBgn0002878	99	108
FBgn0002887	43	42
FBgn0002901	56	69
FBgn0002914	142	130
FBgn0002921	252	285
FBgn0002924	365	181
FBgn0002973	103	122
FBgn0002989	124	82
FBgn0003008	69	47
FBgn0003016	59	70
FBgn0003041	229	405
FBgn0003044	189	162
FBgn0003048	16	16
FBgn0003053	73	62
FBgn0003062	2909	3367
FBgn0003071	315	302
FBgn0003074	301	298
FBgn0003076	1331	547
FBgn0003079	156	163
FBgn0003082	382	258
FBgn0003093	48	49
FBgn0003116	66	32
FBgn0003134	45	44
FBgn0003137	17	16
FBgn0003139	208	147
FBgn0003141	124	127
FBgn0003149	62	36
FBgn0003159	17	30
FBgn0003165	247	275
FBgn0003169	101	96
FBgn0003175	31	16
FBgn0003189	219	170
FBgn0003204	392	436
FBgn0003205	80	57
FBgn0003206	62	66
FBgn0003209	41	64
FBgn0003210	374	441
FBgn0003218	332	494
FBgn0003231	158	178
FBgn0003257	458	393
FBgn0003261	478	394
FBgn0003268	26	24
FBgn0003274	182445	157831
FBgn0003275	1318	1311
FBgn0003277	121	101
FBgn0003279	10782	11297
FBgn0003292	55	51
FBgn0003302	64	73
FBgn0003310	74	49
FBgn0003317	64	79
FBgn0003321	65	68
FBgn0003330	307	336
FBgn0003345	123	82
FBgn0003346	119	123
FBgn0003360	7197	6737
FBgn0003366	122	60
FBgn0003371	290	595
FBgn0003391	164	110
FBgn0003392	111	118
FBgn0003396	30	32
FBgn0003410	146	153
FBgn0003415	45	28
FBgn0003416	134	142
FBgn0003423	462	426
FBgn0003435	29	33
FBgn0003447	1288	1092
FBgn0003449	762	446
FBgn0003459	31	22
FBgn0003462	18438	18467
FBgn0003463	44	47
FBgn0003464	274	269
FBgn0003475	64	52
FBgn0003479	175	222
FBgn0003480	908	809
FBgn0003495	56	57
FBgn0003502	202	152
FBgn0003507	44	59
FBgn0003512	1013	1080
FBgn0003514	268	214
FBgn0003517	3751	4188
FBgn0003520	75	65
FBgn0003527	59	170
FBgn0003557	33	41
FBgn0003567	124	132
FBgn0003575	39	58
FBgn0003598	42	44
FBgn0003607	568	574
FBgn0003612	115	83
FBgn0003638	123	137
FBgn0003656	65	38
FBgn0003660	386	194
FBgn0003676	1202	1293
FBgn0003687	77	70
FBgn0003714	3433	2535
FBgn0003716	114	86
FBgn0003721	583	658
FBgn0003742	102	165
FBgn0003748	121	118
FBgn0003862	35	51
FBgn0003870	53	35
FBgn0003882	49	40
FBgn0003884	1537	803
FBgn0003888	166	176
FBgn0003890	73	101
FBgn0003891	285	296
FBgn0003942	31332	21992
FBgn0003943	96	363
FBgn0003963	20	28
FBgn0003964	53	53
FBgn0003969	51	41
FBgn0003977	31	17
FBgn0003978	181	305
FBgn0004003	104	57
FBgn0004047	7489	4444
FBgn0004049	19	11
FBgn0004050	116	183
FBgn0004055	26	11
FBgn0004057	30	55
FBgn0004066	1469	1351
FBgn0004101	31	23
