geneID	DGRP.177	SP.159N
FBgn0000008	400	434
FBgn0000017	507	493
FBgn0000032	370	378
FBgn0000042	4155	3938
FBgn0000043	152	179
FBgn0000044	10525	9597
FBgn0000052	11482	10613
FBgn0000053	39393	42337
FBgn0000057	418	419
FBgn0000064	25552	21526
FBgn0000075	103	71
FBgn0000077	210	237
FBgn0000079	5488	9190
FBgn0000083	3915	2785
FBgn0000084	2133	1664
FBgn0000097	781	691
FBgn0000109	267	251
FBgn0000114	1710	2184
FBgn0000115	609	581
FBgn0000116	31000	20770
FBgn0000117	2064	2030
FBgn0000119	948	1061
FBgn0000139	331	290
FBgn0000147	17	44
FBgn0000152	234	215
FBgn0000163	910	902
FBgn0000173	2908	3233
FBgn0000181	675	716
FBgn0000183	1658	1489
FBgn0000212	1038	1037
FBgn0000221	89	173
FBgn0000228	984	964
FBgn0000229	2349	2287
FBgn0000239	365	437
FBgn0000247	1004	1015
FBgn0000250	1858	1936
FBgn0000253	53009	41627
FBgn0000256	1506	1392
FBgn0000257	450	398
FBgn0000259	1265	1246
FBgn0000261	3452	3754
FBgn0000273	7030	8792
FBgn0000286	794	874
FBgn0000289	1553	1438
FBgn0000299	3601	3237
FBgn0000307	856	837
FBgn0000308	1897	2340
FBgn0000316	214	175
FBgn0000317	1302	1307
FBgn0000318	812	754
FBgn0000319	4986	4530
FBgn0000320	450	532
FBgn0000326	751	887
FBgn0000330	450	477
FBgn0000339	414	411
FBgn0000352	382	424
FBgn0000370	5192	5422
FBgn0000376	369	407
FBgn0000377	386	289
FBgn0000382	3456	3348
FBgn0000384	157	208
FBgn0000394	380	374
FBgn0000404	34	63
FBgn0000406	32107	38729
FBgn0000412	1105	1144
FBgn0000414	2293	1938
FBgn0000416	17940	16993
FBgn0000447	358	376
FBgn0000454	1895	2088
FBgn0000455	915	1099
FBgn0000463	302	250
FBgn0000473	36430	44914
FBgn0000479	5750	6035
FBgn0000482	390	364
FBgn0000489	1374	1886
FBgn0000499	419	393
FBgn0000520	125	117
FBgn0000524	179	199
FBgn0000533	105	92
FBgn0000536	3178	3218
FBgn0000543	559	555
FBgn0000546	566	519
FBgn0000547	2090	2374
FBgn0000562	1988	1833
FBgn0000565	1477	894
FBgn0000566	2565	1313
FBgn0000568	4210	4138
FBgn0000575	2439	2287
FBgn0000578	890	790
FBgn0000579	23427	24833
FBgn0000581	1278	1345
FBgn0000588	122	142
FBgn0000611	1708	1850
FBgn0000615	94	59
FBgn0000617	203	240
FBgn0000629	674	688
FBgn0000636	684	685
FBgn0000662	706	665
FBgn0000667	1928	1895
FBgn0000709	774	805
FBgn0000711	2862	2389
FBgn0000719	1103	1012
FBgn0000721	7275	7302
FBgn0000964	140	150
FBgn0000996	46	47
FBgn0001079	258	247
FBgn0001084	89	64
FBgn0001085	164	154
FBgn0001087	1033	979
FBgn0001091	15018	14899
FBgn0001092	5919	5529
FBgn0001098	14365	13195
FBgn0001104	890	893
FBgn0001105	2961	2772
FBgn0001108	1432	1318
FBgn0001122	3186	3045
FBgn0001124	24950	16721
FBgn0001125	24808	19886
FBgn0001128	9037	7539
FBgn0001133	436	430
FBgn0001139	1295	1266
FBgn0001142	5834	2347
FBgn0001149	7018	8301
FBgn0001169	375	427
FBgn0001179	302	314
FBgn0001186	3976	4117
FBgn0001187	6529	7085
FBgn0001197	984	1019
FBgn0001202	812	1025
FBgn0001215	983	1073
FBgn0001218	13788	14293
FBgn0001220	5881	5840
FBgn0001222	1118	1040
FBgn0001224	217	184
FBgn0001225	171	516
FBgn0001226	32	39
FBgn0001233	1789	1680
FBgn0001234	1371	1487
FBgn0001248	10122	10090
FBgn0001257	558	498
FBgn0001280	495	444
FBgn0001291	285	251
FBgn0001296	630	639
FBgn0001297	2496	2244
FBgn0001301	900	919
FBgn0001308	1886	1789
FBgn0001316	1596	1570
FBgn0001330	128	118
FBgn0001341	62	46
FBgn0001404	1617	1463
