geneID	DGRP.177	SP.159N
FBgn0000008	247	222
FBgn0000017	163	159
FBgn0000018	141	149
FBgn0000028	254	3
FBgn0000032	339	327
FBgn0000036	25	52
FBgn0000038	26	51
FBgn0000042	2203	16
FBgn0000043	1928	1880
FBgn0000044	306	308
FBgn0000046	1906	1835
FBgn0000052	225	160
FBgn0000053	250	221
FBgn0000057	561	453
FBgn0000063	149	159
FBgn0000064	3198	3289
FBgn0000078	438	701
FBgn0000079	1412	1751
FBgn0000083	552	488
FBgn0000084	413	3
FBgn0000097	74	40
FBgn0000109	37	37
FBgn0000114	11085	11012
FBgn0000115	158	130
FBgn0000116	1973	734
FBgn0000117	483	0
FBgn0000119	496	801
FBgn0000139	153	122
FBgn0000163	404	2
FBgn0000173	260	1
FBgn0000179	34	1
FBgn0000181	290	331
FBgn0000183	274	316
FBgn0000206	11	58
FBgn0000212	109	91
FBgn0000221	182	1
FBgn0000228	63	62
FBgn0000229	224	228
FBgn0000239	224	285
FBgn0000246	21	28
FBgn0000247	597	576
FBgn0000250	221	217
FBgn0000253	1379	1519
FBgn0000256	8780	9622
FBgn0000257	193	0
FBgn0000259	160	2
FBgn0000261	1053	1114
FBgn0000273	169	228
FBgn0000286	158	176
FBgn0000287	282	752
FBgn0000289	345	303
FBgn0000299	225	222
FBgn0000307	120	105
FBgn0000308	459	453
FBgn0000316	42	1
FBgn0000317	151	159
FBgn0000318	448	512
FBgn0000319	1515	11
FBgn0000320	323	241
FBgn0000326	173	97
FBgn0000330	172	0
FBgn0000339	79	65
FBgn0000346	1176	4
FBgn0000352	43	96
FBgn0000370	532	533
FBgn0000376	73	2
FBgn0000377	79	0
FBgn0000382	249	0
FBgn0000384	17	16
FBgn0000395	43	66
FBgn0000404	1127	1090
FBgn0000406	53	69
FBgn0000411	117	62
FBgn0000412	856	835
FBgn0000414	58	31
FBgn0000416	2251	2289
FBgn0000422	81	68
FBgn0000447	2186	2249
FBgn0000454	999	920
FBgn0000455	149	193
FBgn0000459	71	1
FBgn0000463	121	81
FBgn0000473	269	202
FBgn0000479	243	3
FBgn0000482	99	1
FBgn0000489	283	1080
FBgn0000490	233	97
FBgn0000499	1811	10
FBgn0000524	82	5
FBgn0000527	174	99
FBgn0000536	606	3
FBgn0000541	136	158
FBgn0000542	151	3
FBgn0000543	147	259
FBgn0000547	122	119
FBgn0000557	31	18
FBgn0000562	89	99
FBgn0000565	83	84
FBgn0000566	164	138
FBgn0000567	9	29
FBgn0000568	118	142
FBgn0000575	62	55
FBgn0000577	27	173
FBgn0000578	195	217
FBgn0000579	2325	2938
FBgn0000581	777	625
FBgn0000588	45	73
FBgn0000592	1149	1042
FBgn0000611	212	0
FBgn0000617	139	1
FBgn0000629	153	214
FBgn0000633	56	7
FBgn0000635	223	4
FBgn0000636	198	209
FBgn0000662	44	40
FBgn0000667	106	0
FBgn0000709	221	0
FBgn0000711	186	0
FBgn0000719	140	0
FBgn0000721	254	214
