geneID	DGRP.177.count	SP.159N.count
FBgn0000003	0	0
FBgn0000008	582	4
FBgn0000014	212	2
FBgn0000015	956	8
FBgn0000017	248	2
FBgn0000018	135	2
FBgn0000022	0	0
FBgn0000024	548	2
FBgn0000028	381	2
FBgn0000032	182	0
FBgn0000036	874	4
FBgn0000037	348	2
FBgn0000038	336	2
FBgn0000039	327	0
FBgn0000042	120	2
FBgn0000043	103	0
FBgn0000044	79	0
FBgn0000045	17	1
FBgn0000046	61	0
FBgn0000047	74	0
FBgn0000052	382	3
FBgn0000053	498	1
FBgn0000055	0	0
FBgn0000056	0	0
FBgn0000057	106	0
FBgn0000061	169	0
FBgn0000063	216	2
FBgn0000064	269	1
FBgn0000071	32	0
FBgn0000075	231	0
FBgn0000077	79	0
FBgn0000078	78	13
FBgn0000079	85	8
FBgn0000083	297	1
FBgn0000084	64	1
FBgn0000092	84	0
FBgn0000094	117	0
FBgn0000097	369	3
FBgn0000100	2	0
FBgn0000108	259	0
FBgn0000109	113	1
FBgn0000114	900	9
FBgn0000115	90	1
FBgn0000116	321	1
FBgn0000117	153	0
FBgn0000119	674	2
FBgn0000120	275	1
FBgn0000121	104	1
FBgn0000137	140	0
FBgn0000139	201	2
FBgn0000140	543	3
FBgn0000146	220	2
FBgn0000147	128	2
FBgn0000150	13	0
FBgn0000152	223	1
FBgn0000153	176	0
FBgn0000157	191	2
FBgn0000158	120	2
FBgn0000163	762	8
FBgn0000166	78	0
FBgn0000173	124	1
FBgn0000179	593	4
FBgn0000180	278	6
FBgn0000181	101	1
FBgn0000182	9	0
FBgn0000183	436	1
FBgn0000206	127	0
FBgn0000212	356	2
FBgn0000216	67	0
FBgn0000221	161	0
FBgn0000227	118	0
FBgn0000228	562	2
FBgn0000229	210	0
FBgn0000233	179	2
FBgn0000239	30	0
FBgn0000241	231	2
FBgn0000244	79	1
FBgn0000246	72	0
FBgn0000247	585	3
FBgn0000250	411	1
FBgn0000251	136	1
FBgn0000253	456	2
FBgn0000256	631	4
FBgn0000257	265	1
FBgn0000259	398	11
FBgn0000261	34	0
FBgn0000273	480	8
FBgn0000274	99	0
FBgn0000276	83	0
FBgn0000277	102	0
FBgn0000278	91	0
FBgn0000279	71	0
FBgn0000280	57	1
FBgn0000281	63	0
FBgn0000283	17	1
FBgn0000286	233	5
FBgn0000287	514	2
FBgn0000289	321	3
FBgn0000299	333	2
FBgn0000303	227	12
FBgn0000307	388	2
FBgn0000308	222	1
FBgn0000316	57	0
FBgn0000317	845	5
FBgn0000318	56	1
FBgn0000319	390	2
FBgn0000320	429	1
FBgn0000326	175	0
FBgn0000330	241	1
FBgn0000337	32	1
FBgn0000339	72	0
FBgn0000346	231	3
FBgn0000351	53	1
FBgn0000352	231	1
FBgn0000355	327	0
FBgn0000356	291	1
FBgn0000357	453	4
FBgn0000358	551	2
FBgn0000359	143	1
FBgn0000360	218	3
FBgn0000370	96	1
FBgn0000376	281	2
FBgn0000377	116	1
FBgn0000382	485	4
FBgn0000384	69	0
FBgn0000392	0	0
FBgn0000394	54	1
FBgn0000395	284	1
FBgn0000404	328	1
FBgn0000405	219	1
FBgn0000406	147	0
FBgn0000411	158	0
FBgn0000412	110	3
FBgn0000414	540	6
FBgn0000416	189	1
FBgn0000422	226	0
FBgn0000426	0	0
FBgn0000427	343	1
FBgn0000439	178	3
FBgn0000442	46	0
FBgn0000447	57	0
FBgn0000448	184	0
FBgn0000449	212	0
FBgn0000451	290	1
FBgn0000454	140	1
FBgn0000455	67	0
FBgn0000459	223	1
FBgn0000463	437	6
FBgn0000464	194	0
FBgn0000473	144	0
FBgn0000477	163	1
FBgn0000479	1494	30
FBgn0000482	234	1
FBgn0000489	371	2
FBgn0000490	337	3
FBgn0000492	189	2
FBgn0000499	163	0
FBgn0000500	20	0
FBgn0000504	352	4
FBgn0000520	144	3
FBgn0000524	251	10
FBgn0000527	343	2
FBgn0000529	240	2
FBgn0000533	87	1
FBgn0000535	958	19
FBgn0000536	336	3
FBgn0000541	63	1
FBgn0000542	871	2
FBgn0000543	195	0
FBgn0000546	381	4
FBgn0000547	733	3
FBgn0000551	78	2
FBgn0000552	49	1
FBgn0000557	71	1
FBgn0000559	27	0
FBgn0000560	22	0
FBgn0000562	404	3
FBgn0000564	107	0
FBgn0000565	141	1
FBgn0000566	149	2
FBgn0000567	604	2
FBgn0000568	853	8
FBgn0000575	159	1
FBgn0000576	171	0
FBgn0000577	201	0
FBgn0000578	683	3
FBgn0000579	294	0
FBgn0000581	659	1
FBgn0000588	225	0
FBgn0000591	95	0
FBgn0000592	190	1
FBgn0000594	0	0
FBgn0000606	43	0
FBgn0000611	249	1
FBgn0000615	51	0
FBgn0000617	109	0
FBgn0000618	26	0
FBgn0000625	334	2
FBgn0000629	258	2
FBgn0000633	794	4
FBgn0000635	368	2
FBgn0000636	518	4
FBgn0000639	265	3
FBgn0000640	146	0
FBgn0000644	94	1
FBgn0000658	206	0
FBgn0000659	289	0
FBgn0000662	171	1
FBgn0000667	146	3
FBgn0000709	375	0
FBgn0000711	242	6
FBgn0000715	125	0
