geneID	DGRP.177.count	SP.159N.count
FBgn0000003	0	0
FBgn0000008	0	591
FBgn0000014	0	254
FBgn0000015	5	1022
FBgn0000017	1	245
FBgn0000018	0	109
FBgn0000022	0	0
FBgn0000024	7	586
FBgn0000028	1	427
FBgn0000032	0	203
FBgn0000036	8	923
FBgn0000037	5	330
FBgn0000038	3	420
FBgn0000039	0	370
FBgn0000042	1	149
FBgn0000043	0	77
FBgn0000044	0	79
FBgn0000045	0	22
FBgn0000046	0	61
FBgn0000047	0	111
FBgn0000052	4	394
FBgn0000053	0	561
FBgn0000055	0	0
FBgn0000056	0	0
FBgn0000057	0	117
FBgn0000061	1	139
FBgn0000063	0	243
FBgn0000064	2	270
FBgn0000071	0	52
FBgn0000075	1	279
FBgn0000077	0	96
FBgn0000078	0	80
FBgn0000079	4	107
FBgn0000083	0	315
FBgn0000084	0	67
FBgn0000092	1	76
FBgn0000094	2	112
FBgn0000097	4	367
FBgn0000100	0	2
FBgn0000108	2	300
FBgn0000109	0	120
FBgn0000114	19	1021
FBgn0000115	0	132
FBgn0000116	2	400
FBgn0000117	1	147
FBgn0000119	3	668
FBgn0000120	2	321
FBgn0000121	0	117
FBgn0000137	2	151
FBgn0000139	0	217
FBgn0000140	3	626
FBgn0000146	0	226
FBgn0000147	0	143
FBgn0000150	0	11
FBgn0000152	0	220
FBgn0000153	1	197
FBgn0000157	0	180
FBgn0000158	0	111
FBgn0000163	7	782
FBgn0000166	1	95
FBgn0000173	1	120
FBgn0000179	8	608
FBgn0000180	5	266
FBgn0000181	0	111
FBgn0000182	0	8
FBgn0000183	0	372
FBgn0000206	3	126
FBgn0000212	2	352
FBgn0000216	0	68
FBgn0000221	1	131
FBgn0000227	0	136
FBgn0000228	0	579
FBgn0000229	0	233
FBgn0000233	0	204
FBgn0000239	1	30
FBgn0000241	2	273
FBgn0000244	1	93
FBgn0000246	0	87
FBgn0000247	4	540
FBgn0000250	4	437
FBgn0000251	2	160
FBgn0000253	1	481
FBgn0000256	1	721
FBgn0000257	1	251
FBgn0000259	8	475
FBgn0000261	0	46
FBgn0000273	3	535
FBgn0000274	1	89
FBgn0000276	1	106
FBgn0000277	1	104
FBgn0000278	0	119
FBgn0000279	2	106
FBgn0000280	0	65
FBgn0000281	0	73
FBgn0000283	1	22
FBgn0000286	2	247
FBgn0000287	0	502
FBgn0000289	3	385
FBgn0000299	3	365
FBgn0000303	3	244
FBgn0000307	4	394
FBgn0000308	2	247
FBgn0000316	1	66
FBgn0000317	3	818
FBgn0000318	1	54
FBgn0000319	0	424
FBgn0000320	1	446
FBgn0000326	0	213
FBgn0000330	0	247
FBgn0000337	0	31
FBgn0000339	1	60
FBgn0000346	2	273
FBgn0000351	0	90
FBgn0000352	2	272
FBgn0000355	2	422
FBgn0000356	5	447
FBgn0000357	2	601
FBgn0000358	5	805
FBgn0000359	3	207
FBgn0000360	1	385
FBgn0000370	1	115
FBgn0000376	0	328
FBgn0000377	2	126
FBgn0000382	4	509
FBgn0000384	0	83
FBgn0000392	0	0
FBgn0000394	0	65
FBgn0000395	0	323
FBgn0000404	3	368
FBgn0000405	4	240
FBgn0000406	0	154
FBgn0000411	0	197
FBgn0000412	1	141
FBgn0000414	2	612
FBgn0000416	2	210
FBgn0000422	0	252
FBgn0000426	0	0
FBgn0000427	1	334
FBgn0000439	2	188
FBgn0000442	0	51
FBgn0000447	2	77
FBgn0000448	2	227
FBgn0000449	1	241
FBgn0000451	3	284
FBgn0000454	1	143
FBgn0000455	1	98
FBgn0000459	1	215
FBgn0000463	2	485
FBgn0000464	2	220
FBgn0000473	1	152
FBgn0000477	0	169
FBgn0000479	31	1697
FBgn0000482	0	253
FBgn0000489	4	362
FBgn0000490	2	376
FBgn0000492	2	209
FBgn0000499	5	161
FBgn0000500	1	12
FBgn0000504	0	385
FBgn0000520	3	130
FBgn0000524	0	274
FBgn0000527	4	353
FBgn0000529	1	242
FBgn0000533	0	81
FBgn0000535	13	1071
FBgn0000536	0	375
FBgn0000541	1	61
FBgn0000542	7	1002
FBgn0000543	1	300
FBgn0000546	4	407
FBgn0000547	3	845
FBgn0000551	1	91
FBgn0000552	0	67
FBgn0000557	1	77
FBgn0000559	0	23
FBgn0000560	0	42
FBgn0000562	3	435
FBgn0000564	0	122
FBgn0000565	2	172
FBgn0000566	5	167
FBgn0000567	2	615
FBgn0000568	11	933
FBgn0000575	1	171
FBgn0000576	1	149
FBgn0000577	1	226
FBgn0000578	5	774
FBgn0000579	2	274
FBgn0000581	3	708
FBgn0000588	0	229
FBgn0000591	0	93
FBgn0000592	3	213
FBgn0000594	0	0
FBgn0000606	2	28
FBgn0000611	1	261
FBgn0000615	0	68
FBgn0000617	1	115
FBgn0000618	1	21
FBgn0000625	0	335
FBgn0000629	1	314
FBgn0000633	7	869
FBgn0000635	2	357
FBgn0000636	3	576
FBgn0000639	1	263
FBgn0000640	1	119
FBgn0000644	1	143
FBgn0000658	3	212
FBgn0000659	2	335
FBgn0000662	1	168
FBgn0000667	0	149
FBgn0000709	0	430
FBgn0000711	1	271
FBgn0000715	0	146
FBgn0000719	6	542
FBgn0000721	4	847
FBgn0000723	1	323
FBgn0000808	0	244
FBgn0000810	1	143
FBgn0000826	0	1
FBgn0000927	1	126
FBgn0000928	2	368
FBgn0000964	0	208
FBgn0000996	0	108
FBgn0001075	6	1903
FBgn0001077	0	83
FBgn0001078	0	178
FBgn0001079	2	244
FBgn0001083	1	584
FBgn0001084	0	155
FBgn0001085	4	360
FBgn0001086	1	217
FBgn0001087	3	484
FBgn0001089	0	60
FBgn0001090	1	151
FBgn0001091	2	73
FBgn0001092	0	49
FBgn0001098	6	391
FBgn0001099	0	0
FBgn0001104	1	306
FBgn0001105	2	226
FBgn0001108	1	463
FBgn0001112	1	191
FBgn0001114	0	192
FBgn0001120	0	26
FBgn0001122	4	650
FBgn0001123	0	239
FBgn0001124	2	259
FBgn0001125	0	220
FBgn0001128	2	296
FBgn0001133	0	239
FBgn0001134	7	276
FBgn0001137	1	125
FBgn0001138	2	160
FBgn0001139	2	517
FBgn0001142	0	77
FBgn0001145	1	281
FBgn0001147	0	113
FBgn0001148	0	88
FBgn0001149	3	126
FBgn0001150	1	91
FBgn0001168	0	296
FBgn0001169	2	419
FBgn0001170	1	247
FBgn0001174	1	78
FBgn0001179	0	238
FBgn0001180	0	134
FBgn0001185	0	115
FBgn0001186	0	205
FBgn0001187	0	105
FBgn0001189	2	66
FBgn0001197	1	186
FBgn0001202	0	124
FBgn0001206	3	248
FBgn0001208	1	284
FBgn0001215	1	209
FBgn0001216	1	261
FBgn0001217	1	49
FBgn0001218	3	263
FBgn0001220	5	308
FBgn0001222	0	375
FBgn0001223	0	0
FBgn0001224	0	109
FBgn0001225	1	167
FBgn0001226	1	18
FBgn0001227	0	35
FBgn0001228	0	30
FBgn0001229	0	88
FBgn0001230	2	134
FBgn0001233	0	120
FBgn0001234	30	811
FBgn0001235	11	929
FBgn0001247	0	135
FBgn0001248	0	246
FBgn0001250	4	731
FBgn0001253	3	643
FBgn0001254	1	175
FBgn0001255	1	86
FBgn0001256	0	193
FBgn0001257	5	210
FBgn0001258	5	170
FBgn0001259	2	159
FBgn0001263	0	304
FBgn0001269	3	565
FBgn0001276	0	1
FBgn0001280	0	82
FBgn0001281	0	81
FBgn0001285	0	22
FBgn0001291	0	94
FBgn0001296	1	242
FBgn0001297	6	635
FBgn0001301	2	485
FBgn0001308	1	250
FBgn0001311	0	163
FBgn0001313	0	0
FBgn0001316	7	1247
FBgn0001319	6	443
FBgn0001320	1	57
FBgn0001321	0	74
FBgn0001323	0	73
FBgn0001324	3	326
FBgn0001325	2	358
FBgn0001330	2	320
FBgn0001341	1	171
FBgn0001404	3	394
FBgn0001491	0	87
FBgn0001565	1	193
FBgn0001612	2	397
FBgn0001624	10	1190
FBgn0001941	2	284
FBgn0001942	0	216
FBgn0001961	0	95
FBgn0001965	4	350
FBgn0001967	0	0
FBgn0001970	0	18
FBgn0001977	1	145
FBgn0001978	0	380
FBgn0001981	1	223
FBgn0001983	1	192
FBgn0001986	2	293
FBgn0001987	7	577
FBgn0001989	0	210
FBgn0001990	1	242
FBgn0001991	6	1228
FBgn0001992	3	202
FBgn0001994	1	358
FBgn0001995	1	90
FBgn0002021	0	100
FBgn0002022	1	66
FBgn0002023	1	368
FBgn0002031	5	240
FBgn0002036	1	159
FBgn0002044	1	115
FBgn0002069	2	108
FBgn0002121	5	339
FBgn0002174	0	142
FBgn0002183	4	351
FBgn0002283	0	45
FBgn0002284	0	16
FBgn0002306	0	312
FBgn0002354	0	71
FBgn0002413	2	355
FBgn0002431	0	50
FBgn0002440	0	166
FBgn0002441	2	515
FBgn0002466	3	551
FBgn0002521	0	37
FBgn0002522	1	147
FBgn0002524	1	287
FBgn0002525	2	334
FBgn0002526	2	562
FBgn0002531	0	65
FBgn0002533	0	105
FBgn0002534	1	46
FBgn0002535	0	103
FBgn0002542	0	75
FBgn0002543	2	434
FBgn0002552	0	50
FBgn0002561	0	0
FBgn0002562	0	263
FBgn0002563	0	218
FBgn0002564	0	38
FBgn0002565	1	61
FBgn0002566	1	289
FBgn0002567	1	295
FBgn0002569	0	135
FBgn0002570	0	125
FBgn0002571	2	142
FBgn0002573	1	255
FBgn0002576	1	479
FBgn0002577	0	384
FBgn0002578	0	88
FBgn0002579	0	50
FBgn0002590	1	202
FBgn0002592	0	73
FBgn0002593	1	68
FBgn0002609	1	134
FBgn0002622	1	123
FBgn0002626	0	95
FBgn0002629	0	60
FBgn0002631	0	83
FBgn0002632	2	136
FBgn0002633	0	64
FBgn0002638	2	231
FBgn0002641	3	321
FBgn0002643	5	774
FBgn0002645	3	127
FBgn0002673	0	162
FBgn0002707	0	260
FBgn0002709	0	98
FBgn0002715	0	128
FBgn0002716	2	109
FBgn0002719	2	274
FBgn0002723	2	482
FBgn0002732	0	99
FBgn0002733	1	102
FBgn0002734	0	126
FBgn0002735	0	105
FBgn0002736	0	79
FBgn0002772	0	138
FBgn0002773	1	108
FBgn0002774	2	223
FBgn0002775	1	236
FBgn0002778	0	324
FBgn0002780	0	19
FBgn0002781	5	631
FBgn0002783	0	46
FBgn0002787	0	139
FBgn0002789	0	72
FBgn0002791	1	283
FBgn0002838	0	41
FBgn0002842	0	26
FBgn0002855	0	86
FBgn0002856	0	81
FBgn0002862	0	56
FBgn0002863	0	0
FBgn0002865	0	77
FBgn0002868	0	0
FBgn0002869	0	50
FBgn0002872	1	419
FBgn0002873	9	491
FBgn0002878	1	496
FBgn0002887	2	357
FBgn0002891	3	496
FBgn0002899	4	335
FBgn0002901	4	383
FBgn0002905	2	260
FBgn0002906	2	131
FBgn0002909	0	0
FBgn0002914	1	134
FBgn0002917	3	751
FBgn0002921	8	539
FBgn0002922	0	189
FBgn0002924	1	265
FBgn0002926	1	586
FBgn0002930	0	87
FBgn0002931	1	93
FBgn0002932	0	57
FBgn0002933	0	80
FBgn0002936	0	0
FBgn0002937	4	209
FBgn0002938	1	615
FBgn0002939	1	99
FBgn0002940	0	229
FBgn0002941	0	153
FBgn0002945	4	453
FBgn0002948	0	142
FBgn0002962	2	137
FBgn0002973	3	566
FBgn0002985	1	123
FBgn0002989	2	211
FBgn0003002	0	62
FBgn0003008	0	52
FBgn0003009	0	381
FBgn0003011	0	235
FBgn0003015	0	0
FBgn0003016	1	546
FBgn0003023	8	780
FBgn0003028	7	464
FBgn0003034	0	39
FBgn0003041	1	915
FBgn0003042	0	34
FBgn0003044	1	347
FBgn0003046	1	97
FBgn0003048	2	561
FBgn0003053	7	498
FBgn0003057	1	173
FBgn0003060	0	93
FBgn0003062	1	160
FBgn0003065	0	26
FBgn0003067	0	0
FBgn0003068	2	429
FBgn0003071	2	324
FBgn0003074	1	125
FBgn0003076	0	115
FBgn0003079	2	397
FBgn0003082	1	125
FBgn0003086	0	110
FBgn0003087	1	167
FBgn0003089	7	828
FBgn0003090	4	505
FBgn0003091	11	699
FBgn0003093	3	482
FBgn0003114	0	98
FBgn0003116	0	66
FBgn0003117	3	416
FBgn0003118	8	533
FBgn0003124	2	162
FBgn0003129	3	85
FBgn0003130	1	255
FBgn0003132	0	218
FBgn0003134	2	91
FBgn0003137	3	557
FBgn0003139	1	160
FBgn0003140	2	169
FBgn0003141	0	182
FBgn0003145	0	225
FBgn0003149	25	4067
FBgn0003159	1	527
FBgn0003162	0	249
FBgn0003165	6	755
FBgn0003169	2	337
FBgn0003174	3	235
FBgn0003175	9	1149
FBgn0003187	2	321
FBgn0003189	5	546
FBgn0003204	3	165
FBgn0003205	1	89
FBgn0003206	1	140
FBgn0003209	7	719
FBgn0003210	2	526
FBgn0003218	10	1155
FBgn0003227	1	61
FBgn0003231	1	114
FBgn0003248	1	191
FBgn0003249	0	26
FBgn0003250	1	105
FBgn0003254	3	345
FBgn0003255	6	564
FBgn0003256	1	97
FBgn0003257	1	158
FBgn0003261	0	113
FBgn0003267	0	86
FBgn0003268	2	385
FBgn0003270	1	72
FBgn0003274	0	92
FBgn0003275	0	12
FBgn0003277	2	447
FBgn0003278	1	110
FBgn0003279	1	139
FBgn0003285	3	687
FBgn0003292	3	279
FBgn0003295	0	279
FBgn0003300	0	202
FBgn0003301	5	886
FBgn0003302	2	174
FBgn0003308	0	348
FBgn0003310	3	517
FBgn0003312	0	135
FBgn0003313	0	0
FBgn0003317	0	124
FBgn0003319	3	233
FBgn0003321	1	230
FBgn0003326	14	315
FBgn0003330	1	143
FBgn0003334	0	54
FBgn0003339	5	253
FBgn0003345	7	634
FBgn0003346	3	163
FBgn0003353	1	338
FBgn0003356	0	58
FBgn0003357	2	33
FBgn0003358	1	110
FBgn0003360	1	206
FBgn0003366	4	874
FBgn0003371	23	1237
FBgn0003372	5	143
FBgn0003373	0	17
FBgn0003374	8	96
FBgn0003375	0	119
FBgn0003377	0	12
FBgn0003378	1	60
FBgn0003380	26	1768
FBgn0003382	4	642
FBgn0003386	3	438
FBgn0003388	1	252
FBgn0003390	0	224
FBgn0003391	5	616
FBgn0003392	6	664
FBgn0003396	5	823
FBgn0003401	1	125
FBgn0003410	2	259
FBgn0003411	0	64
FBgn0003415	0	282
FBgn0003416	2	618
FBgn0003423	1	451
FBgn0003429	12	1118
FBgn0003430	1	167
