geneID	DGRP-177	SP-159N 
FBgn0000003	0	0
FBgn0000008	208	209
FBgn0000014	0	0
FBgn0000015	0	0
FBgn0000017	264	263
FBgn0000018	69	90
FBgn0000022	0	0
FBgn0000024	1422	962
FBgn0000028	75	112
FBgn0000032	202	216
FBgn0000036	808	851
FBgn0000037	398	330
FBgn0000038	1271	1295
FBgn0000039	289	264
FBgn0000042	2401	2381
FBgn0000043	82	79
FBgn0000044	4926	4512
FBgn0000045	33	110
FBgn0000046	508	638
FBgn0000047	8	9
FBgn0000052	5380	4965
FBgn0000053	19106	20392
FBgn0000055	2	1
FBgn0000056	0	0
FBgn0000057	223	232
FBgn0000061	4	0
FBgn0000063	9	4
FBgn0000064	13651	11830
FBgn0000071	6	5
FBgn0000075	58	44
FBgn0000077	110	130
FBgn0000078	3885	2469
FBgn0000079	2723	4749
FBgn0000083	2156	1524
FBgn0000084	1177	921
FBgn0000092	7	20
FBgn0000094	0	2
FBgn0000097	463	437
FBgn0000100	4	8
FBgn0000108	5111	5094
FBgn0000109	166	166
FBgn0000114	914	1287
FBgn0000115	357	307
FBgn0000116	15768	10683
FBgn0000117	1108	1129
FBgn0000119	617	539
FBgn0000120	61999	59961
FBgn0000121	102774	103254
FBgn0000137	0	0
FBgn0000139	188	118
FBgn0000140	2	7
FBgn0000146	8	12
FBgn0000147	16	24
FBgn0000150	13	18
FBgn0000152	121	100
FBgn0000153	261	301
FBgn0000157	34	44
FBgn0000158	0	0
FBgn0000163	467	437
FBgn0000166	0	0
FBgn0000173	1775	1945
FBgn0000179	297	320
FBgn0000180	58	44
FBgn0000181	336	439
FBgn0000182	0	0
FBgn0000183	947	862
FBgn0000206	1377	1540
FBgn0000212	554	511
FBgn0000216	0	0
FBgn0000221	60	61
FBgn0000227	0	0
FBgn0000228	586	513
FBgn0000229	1465	1358
FBgn0000233	6	9
FBgn0000239	204	231
FBgn0000241	335	265
FBgn0000244	96	96
FBgn0000246	13	16
FBgn0000247	519	537
FBgn0000250	1026	999
FBgn0000251	0	1
FBgn0000253	30937	25864
FBgn0000256	804	835
FBgn0000257	249	257
FBgn0000259	745	698
FBgn0000261	2000	2056
FBgn0000273	4066	4961
FBgn0000274	0	0
FBgn0000276	5	13
FBgn0000277	22	24
FBgn0000278	5	3
FBgn0000279	18	12
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	19	24
FBgn0000286	424	514
FBgn0000287	447	346
FBgn0000289	822	773
FBgn0000299	1605	1300
FBgn0000303	381	564
FBgn0000307	499	493
FBgn0000308	1040	1230
FBgn0000316	141	113
FBgn0000317	694	658
FBgn0000318	425	442
FBgn0000319	2676	2351
FBgn0000320	269	285
FBgn0000326	430	480
FBgn0000330	284	286
FBgn0000337	0	0
FBgn0000339	227	212
FBgn0000346	2912	2808
FBgn0000351	0	1
FBgn0000352	198	179
FBgn0000355	0	0
FBgn0000356	0	0
FBgn0000357	3	0
FBgn0000358	0	2
FBgn0000359	0	0
FBgn0000360	0	0
FBgn0000370	2976	3066
FBgn0000376	203	210
FBgn0000377	217	181
FBgn0000382	2009	1870
FBgn0000384	79	115
FBgn0000392	0	0
FBgn0000394	225	197
FBgn0000395	151	154
FBgn0000404	19	20
FBgn0000405	14	7
FBgn0000406	18677	22493
FBgn0000411	80	67
FBgn0000412	639	630
FBgn0000414	1239	981
FBgn0000416	9785	9313
FBgn0000422	1345	1584
FBgn0000426	0	0
FBgn0000427	0	0
FBgn0000439	159	192
FBgn0000442	2	1
FBgn0000447	223	204
FBgn0000448	306	321
FBgn0000449	0	0
FBgn0000451	7	3
FBgn0000454	1198	1250
FBgn0000455	521	612
FBgn0000459	928	718
FBgn0000463	127	161
FBgn0000464	78	74
FBgn0000473	21986	26555
FBgn0000477	2639	2721
FBgn0000479	3346	3374
FBgn0000482	194	202
FBgn0000489	748	1026
FBgn0000490	225	232
FBgn0000492	311	275
FBgn0000499	232	224
FBgn0000500	0	0
FBgn0000504	73	62
FBgn0000520	90	77
