geneID	DGRP-177	SP-159N  
FBgn0000003	0	1
FBgn0000008	349	404
FBgn0000014	0	0
FBgn0000015	0	2
FBgn0000017	546	550
FBgn0000018	168	154
FBgn0000022	0	0
FBgn0000024	3076	2126
FBgn0000028	234	261
FBgn0000032	361	471
FBgn0000036	1758	1953
FBgn0000037	849	730
FBgn0000038	2953	3043
FBgn0000039	607	618
FBgn0000042	4664	4558
FBgn0000043	152	180
FBgn0000044	10929	9923
FBgn0000045	88	311
FBgn0000046	1053	1297
FBgn0000047	32	16
FBgn0000052	9716	8669
FBgn0000053	31596	33982
FBgn0000055	3	9
FBgn0000056	0	0
FBgn0000057	439	424
FBgn0000061	2	6
FBgn0000063	25	15
FBgn0000064	26546	22369
FBgn0000071	15	11
FBgn0000075	101	100
FBgn0000077	253	255
FBgn0000078	5678	3708
FBgn0000079	4114	6998
FBgn0000083	4093	2978
FBgn0000084	2084	1682
FBgn0000092	17	41
FBgn0000094	0	0
FBgn0000097	887	847
FBgn0000100	16	12
FBgn0000108	11216	11340
FBgn0000109	332	308
FBgn0000114	1858	2473
FBgn0000115	661	567
FBgn0000116	34165	23655
FBgn0000117	2193	2021
FBgn0000119	1115	1141
FBgn0000120	122762	117739
FBgn0000121	194762	197559
FBgn0000137	1	0
FBgn0000139	386	291
FBgn0000140	2	6
FBgn0000146	17	40
FBgn0000147	43	37
FBgn0000150	21	21
FBgn0000152	212	175
FBgn0000153	540	646
FBgn0000157	106	108
FBgn0000158	0	0
FBgn0000163	993	904
FBgn0000166	0	0
FBgn0000173	3668	4063
FBgn0000179	590	693
FBgn0000180	111	84
FBgn0000181	762	909
FBgn0000182	0	0
FBgn0000183	1756	1688
FBgn0000206	2512	2922
FBgn0000212	1027	1138
FBgn0000216	0	0
FBgn0000221	119	149
FBgn0000227	0	0
FBgn0000228	1005	953
FBgn0000229	3069	2843
FBgn0000233	12	26
FBgn0000239	315	436
FBgn0000241	602	493
FBgn0000244	213	193
FBgn0000246	25	35
FBgn0000247	1084	1074
FBgn0000250	1995	2211
FBgn0000251	1	0
FBgn0000253	64218	51614
FBgn0000256	1603	1562
FBgn0000257	500	510
FBgn0000259	1400	1386
FBgn0000261	3781	3876
FBgn0000273	8223	10201
FBgn0000274	1	2
FBgn0000276	11	14
FBgn0000277	9	17
FBgn0000278	1	2
FBgn0000279	13	6
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	67	40
FBgn0000286	878	968
FBgn0000287	827	733
FBgn0000289	1753	1701
FBgn0000299	2978	2382
FBgn0000303	956	1377
FBgn0000307	913	879
FBgn0000308	2270	2748
FBgn0000316	277	264
FBgn0000317	1274	1131
FBgn0000318	846	804
FBgn0000319	5358	4679
FBgn0000320	490	518
FBgn0000326	874	866
FBgn0000330	480	506
FBgn0000337	1	0
FBgn0000339	502	475
FBgn0000346	6108	5992
FBgn0000351	2	4
FBgn0000352	435	526
FBgn0000355	1	0
FBgn0000356	0	0
FBgn0000357	5	9
FBgn0000358	3	4
FBgn0000359	0	0
FBgn0000360	0	0
FBgn0000370	5644	5644
FBgn0000376	419	441
FBgn0000377	393	381
FBgn0000382	3792	3504
FBgn0000384	172	216
FBgn0000392	0	0
FBgn0000394	372	439
FBgn0000395	276	341
FBgn0000404	53	72
FBgn0000405	35	13
FBgn0000406	31292	36849
FBgn0000411	166	146
FBgn0000412	1310	1446
FBgn0000414	2682	2101
FBgn0000416	17323	16301
FBgn0000422	3154	3682
FBgn0000426	0	0
FBgn0000427	2	0
FBgn0000439	359	309
FBgn0000442	7	15
FBgn0000447	361	379
FBgn0000448	677	734
FBgn0000449	0	0
FBgn0000451	25	8
FBgn0000454	2383	2372
FBgn0000455	967	1171
FBgn0000459	1720	1448
FBgn0000463	353	300
FBgn0000464	135	135
FBgn0000473	35108	44673
FBgn0000477	4655	4615
FBgn0000479	7114	7400
FBgn0000482	406	417
FBgn0000489	1578	2107
FBgn0000490	470	458
FBgn0000492	474	447
FBgn0000499	415	391
FBgn0000500	2	3
FBgn0000504	137	147
FBgn0000520	155	167
FBgn0000524	184	251
FBgn0000527	221	200
FBgn0000529	36	66
FBgn0000533	110	118
FBgn0000535	1179	1601
FBgn0000536	3302	3387
FBgn0000541	129	141
FBgn0000542	182	1783
FBgn0000543	617	681
FBgn0000546	597	660
FBgn0000547	2398	2590
FBgn0000551	2	12
FBgn0000552	1	3
FBgn0000557	4525	4813
FBgn0000559	189	433
FBgn0000560	0	0
FBgn0000562	2071	1995
FBgn0000564	80	86
FBgn0000565	1641	947
FBgn0000566	2766	1457
FBgn0000567	676	690
FBgn0000568	4465	4540
FBgn0000575	2987	3010
FBgn0000576	50	52
FBgn0000577	77	37
FBgn0000578	1035	880
FBgn0000579	22609	23670
FBgn0000581	1332	1486
FBgn0000588	122	136
FBgn0000591	0	0
FBgn0000592	9034	7001
FBgn0000594	0	0
FBgn0000606	0	0
FBgn0000611	2012	2203
FBgn0000615	83	62
FBgn0000617	238	221
FBgn0000618	0	2
FBgn0000625	176	182
FBgn0000629	725	828
FBgn0000633	1164	1318
FBgn0000635	1614	1718
FBgn0000636	745	737
FBgn0000639	3	6
FBgn0000640	4	0
FBgn0000644	9	5
FBgn0000658	56	62
FBgn0000659	384	409
FBgn0000662	785	807
FBgn0000667	1839	2004
FBgn0000709	910	832
FBgn0000711	3713	2890
FBgn0000715	281	282
FBgn0000719	1291	1143
FBgn0000721	7793	7547
FBgn0000723	1799	1947
FBgn0000808	0	1
FBgn0000810	184	224
FBgn0000826	0	0
FBgn0000927	0	0
FBgn0000928	0	0
FBgn0000964	185	177
FBgn0000996	59	46
FBgn0001075	87	112
FBgn0001077	0	0
FBgn0001078	263	245
FBgn0001079	275	308
FBgn0001083	351	249
FBgn0001084	100	78
FBgn0001085	205	163
FBgn0001086	1	0
FBgn0001087	1165	1013
FBgn0001089	124	100
FBgn0001090	5178	4278
FBgn0001091	14919	14981
FBgn0001092	6481	5584
FBgn0001098	15811	14860
FBgn0001099	0	0
FBgn0001104	844	925
FBgn0001105	3732	3524
FBgn0001108	1477	1378
FBgn0001112	386	358
FBgn0001114	28261	28937
FBgn0001120	0	0
FBgn0001122	4301	4129
FBgn0001123	389	477
FBgn0001124	24384	16073
FBgn0001125	22023	18026
FBgn0001128	10930	9470
FBgn0001133	494	509
FBgn0001134	72	88
FBgn0001137	195	224
FBgn0001138	54	63
FBgn0001139	1376	1370
FBgn0001142	5987	2357
FBgn0001145	17369	18408
FBgn0001147	2	0
FBgn0001148	0	0
FBgn0001149	7029	8178
FBgn0001150	11	14
FBgn0001168	599	621
FBgn0001169	351	435
FBgn0001170	19	9
FBgn0001174	8	7
FBgn0001179	353	337
FBgn0001180	34	45
FBgn0001185	169	136
FBgn0001186	4347	4367
FBgn0001187	6328	6791
FBgn0001189	197	224
FBgn0001197	1277	1255
FBgn0001202	961	1121
FBgn0001206	65	85
FBgn0001208	23034	25571
FBgn0001215	1141	1091
FBgn0001216	630	527
FBgn0001217	8	2
FBgn0001218	11629	12287
FBgn0001220	5706	5712
FBgn0001222	1236	1163
FBgn0001223	0	0
FBgn0001224	222	229
FBgn0001225	172	480
FBgn0001226	35	46
FBgn0001227	23	37
FBgn0001228	0	0
FBgn0001229	239	229
FBgn0001230	346	464
FBgn0001233	1256	1248
FBgn0001234	1735	1766
FBgn0001235	4986	5265
FBgn0001247	860	865
FBgn0001248	11047	10900
FBgn0001250	2215	2182
FBgn0001253	27	41
FBgn0001254	0	0
FBgn0001255	17	12
FBgn0001256	19	22
FBgn0001257	646	517
FBgn0001258	270	309
FBgn0001259	57	46
FBgn0001263	18828	18276
FBgn0001269	45	61
FBgn0001276	0	0
FBgn0001280	589	490
FBgn0001281	0	1
FBgn0001285	1	8
FBgn0001291	263	322
FBgn0001296	638	696
FBgn0001297	2395	2164
FBgn0001301	900	1011
FBgn0001308	1785	1777
FBgn0001311	1	27
FBgn0001313	0	0
FBgn0001316	1753	1623
FBgn0001319	114	111
FBgn0001320	1	0
FBgn0001321	5	7
FBgn0001323	158	124
FBgn0001324	318	289
FBgn0001325	75	74
FBgn0001330	149	160
FBgn0001341	68	70
FBgn0001404	1617	1634
FBgn0001491	417	382
FBgn0001565	2774	2231
FBgn0001612	465	511
FBgn0001624	5992	6946
FBgn0001941	1091	1024
FBgn0001942	28065	29603
FBgn0001961	1025	983
FBgn0001965	605	543
FBgn0001967	0	0
FBgn0001970	0	2
FBgn0001977	333	355
FBgn0001978	759	818
