geneID	DGRP-177	SP-159N  
FBgn0000003	0	0
FBgn0000008	559	608
FBgn0000014	83	57
FBgn0000015	40	26
FBgn0000017	785	815
FBgn0000018	317	331
FBgn0000022	0	0
FBgn0000024	244	178
FBgn0000028	16	16
FBgn0000032	3025	2851
FBgn0000036	103	107
FBgn0000037	50	50
FBgn0000038	285	308
FBgn0000039	34	41
FBgn0000042	8003	8187
FBgn0000043	2040	2024
FBgn0000044	2751	2717
FBgn0000045	432	466
FBgn0000046	816	884
FBgn0000047	58	64
FBgn0000052	3751	3720
FBgn0000053	3909	4790
FBgn0000055	1	0
FBgn0000056	0	0
FBgn0000057	560	510
FBgn0000061	1	0
FBgn0000063	953	917
FBgn0000064	6046	5355
FBgn0000071	0	1
FBgn0000075	160	156
FBgn0000077	466	454
FBgn0000078	6533	6154
FBgn0000079	23339	9859
FBgn0000083	3856	2642
FBgn0000084	1314	1046
FBgn0000092	6	7
FBgn0000094	0	0
FBgn0000097	1409	1149
FBgn0000100	2	14
FBgn0000108	458	469
FBgn0000109	598	668
FBgn0000114	23041	28355
FBgn0000115	1657	1447
FBgn0000116	14406	7207
FBgn0000117	3409	3228
FBgn0000119	695	713
FBgn0000120	3670	3615
FBgn0000121	4848	4608
FBgn0000137	0	0
FBgn0000139	484	655
FBgn0000140	8650	8083
FBgn0000146	1943	2327
FBgn0000147	2023	2553
FBgn0000150	11	31
FBgn0000152	271	232
FBgn0000153	169	203
FBgn0000157	15	14
FBgn0000158	668	663
FBgn0000163	1470	1407
FBgn0000166	995	1024
FBgn0000173	2840	2851
FBgn0000179	35	34
FBgn0000180	57	51
FBgn0000181	613	707
FBgn0000182	3	0
FBgn0000183	5107	5914
FBgn0000206	64	81
FBgn0000212	2220	2470
FBgn0000216	0	0
FBgn0000221	332	348
FBgn0000227	0	0
FBgn0000228	1949	1858
FBgn0000229	674	606
FBgn0000233	4	6
FBgn0000239	902	811
FBgn0000241	30	30
FBgn0000244	73	75
FBgn0000246	404	323
FBgn0000247	1477	1344
FBgn0000250	4071	4247
FBgn0000251	2984	2761
FBgn0000253	11358	11395
FBgn0000256	1438	1401
FBgn0000257	1120	1016
FBgn0000259	4244	4603
FBgn0000261	2511	2623
FBgn0000273	3330	3849
FBgn0000274	49	29
FBgn0000276	2	9
FBgn0000277	1	7
FBgn0000278	0	2
FBgn0000279	1	5
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	149	152
FBgn0000286	1001	1128
FBgn0000287	33	43
FBgn0000289	2252	2384
FBgn0000299	1981	1762
FBgn0000303	42	65
FBgn0000307	3567	3701
FBgn0000308	545	656
FBgn0000316	909	897
FBgn0000317	1629	1857
FBgn0000318	1640	1668
FBgn0000319	6173	6271
FBgn0000320	132	151
FBgn0000326	876	978
FBgn0000330	870	803
FBgn0000337	1	0
FBgn0000339	649	717
FBgn0000346	379	312
FBgn0000351	1056	1666
FBgn0000352	1216	1393
FBgn0000355	16298	15821
FBgn0000356	3620	4366
FBgn0000357	5194	5650
FBgn0000358	7332	8347
FBgn0000359	6465	6567
FBgn0000360	34094	33694
FBgn0000370	2463	2267
FBgn0000376	2295	2213
FBgn0000377	548	594
FBgn0000382	2066	2116
FBgn0000384	945	973
FBgn0000392	0	0
FBgn0000394	326	215
FBgn0000395	100	74
FBgn0000404	47991	50438
FBgn0000405	45445	45239
FBgn0000406	4246	5130
FBgn0000411	32	33
FBgn0000412	4360	4460
FBgn0000414	1290	1108
FBgn0000416	9257	8319
FBgn0000422	294	327
FBgn0000426	0	0
FBgn0000427	17441	17411
FBgn0000439	6	3
FBgn0000442	11	10
FBgn0000447	1024	970
FBgn0000448	37	39
FBgn0000449	56	36
FBgn0000451	56	70
FBgn0000454	8255	7903
FBgn0000455	933	1142
FBgn0000459	73	65
FBgn0000463	2008	1928
FBgn0000464	34	51
FBgn0000473	7089	9888
FBgn0000477	523	593
FBgn0000479	3179	3217
FBgn0000482	588	613
FBgn0000489	511	911
FBgn0000490	80	100
FBgn0000492	83	60
FBgn0000499	1259	1248
FBgn0000500	0	0
FBgn0000504	54	38
FBgn0000520	690	638
FBgn0000524	1764	1633
FBgn0000527	49	52
FBgn0000529	4	4
FBgn0000533	263	256
FBgn0000535	97	89
FBgn0000536	1810	2025
FBgn0000541	309	277
FBgn0000542	109	472
FBgn0000543	1050	1008
FBgn0000546	703	689
FBgn0000547	3761	4916
FBgn0000551	0	0
FBgn0000552	0	0
FBgn0000557	272	265
FBgn0000559	143	115
FBgn0000560	0	0
FBgn0000562	4037	3655
FBgn0000564	2	1
FBgn0000565	1006	771
FBgn0000566	3775	4168
FBgn0000567	331	351
FBgn0000568	1647	1726
FBgn0000575	1533	1640
FBgn0000576	4	2
FBgn0000577	6	10
FBgn0000578	2020	2091
FBgn0000579	21378	21592
FBgn0000581	2753	2977
FBgn0000588	1270	1259
FBgn0000591	0	0
FBgn0000592	2295	1708
FBgn0000594	0	0
FBgn0000606	0	0
FBgn0000611	2191	2175
FBgn0000615	3929	3025
FBgn0000617	1084	1110
FBgn0000618	3	0
FBgn0000625	26	26
FBgn0000629	3098	3044
FBgn0000633	79	76
FBgn0000635	552	562
FBgn0000636	297	388
FBgn0000639	5	3
FBgn0000640	2	4
FBgn0000644	1324	1289
FBgn0000658	5	5
FBgn0000659	200	253
FBgn0000662	1602	1648
FBgn0000667	1750	1925
FBgn0000709	1747	1527
FBgn0000711	1394	1194
FBgn0000715	45	57
FBgn0000719	1687	1678
FBgn0000721	9790	10430
FBgn0000723	253	279
FBgn0000808	318	190
FBgn0000810	413	574
FBgn0000826	0	0
FBgn0000927	5200	5776
FBgn0000928	21	18
FBgn0000964	713	693
FBgn0000996	2270	2494
FBgn0001075	8	12
FBgn0001077	0	0
FBgn0001078	761	737
FBgn0001079	711	872
FBgn0001083	47	37
FBgn0001084	503	494
FBgn0001085	913	1880
FBgn0001086	3190	2785
FBgn0001087	2645	2443
FBgn0001089	206	275
FBgn0001090	260	244
FBgn0001091	8714	9249
FBgn0001092	9419	6775
FBgn0001098	6612	5769
FBgn0001099	0	0
FBgn0001104	5614	5663
FBgn0001105	2376	2479
FBgn0001108	4028	3640
FBgn0001112	33	32
FBgn0001114	2737	2722
FBgn0001120	140	4
FBgn0001122	1470	1375
FBgn0001123	101	116
FBgn0001124	6800	5439
FBgn0001125	8361	7230
FBgn0001128	4951	4200
FBgn0001133	1374	947
FBgn0001134	21	18
FBgn0001137	283	237
FBgn0001138	5	7
FBgn0001139	5746	5533
FBgn0001142	5257	3176
FBgn0001145	2445	2612
FBgn0001147	0	0
FBgn0001148	0	0
FBgn0001149	26139	29067
FBgn0001150	4	4
FBgn0001168	313	348
FBgn0001169	2059	2240
FBgn0001170	12	4
FBgn0001174	0	0
FBgn0001179	1486	1515
FBgn0001180	727	581
FBgn0001185	196	251
FBgn0001186	2850	3083
FBgn0001187	2025	2106
FBgn0001189	204	188
FBgn0001197	15461	14404
FBgn0001202	613	548
FBgn0001206	431	494
FBgn0001208	1735	1959
FBgn0001215	3273	2264
FBgn0001216	316	332
FBgn0001217	3	2
FBgn0001218	14577	16148
FBgn0001220	4676	4957
FBgn0001222	4047	3710
FBgn0001223	0	0
FBgn0001224	1407	276
FBgn0001225	60679	68290
FBgn0001226	6869	7128
FBgn0001227	16	24
FBgn0001228	0	0
FBgn0001229	24	10
FBgn0001230	110	154
FBgn0001233	16338	18012
FBgn0001234	821	899
FBgn0001235	424	508
FBgn0001247	756	678
FBgn0001248	10185	10070
FBgn0001250	590	502
FBgn0001253	3	2
FBgn0001254	0	0
FBgn0001255	27	19
FBgn0001256	1	2
FBgn0001257	746	788
FBgn0001258	143	121
FBgn0001259	14	6
FBgn0001263	614	532
FBgn0001269	14	9
FBgn0001276	0	0
FBgn0001280	2245	2270
FBgn0001281	1	0
FBgn0001285	873	7
FBgn0001291	453	402
FBgn0001296	1050	1125
FBgn0001297	1287	1196
FBgn0001301	1704	1797
FBgn0001308	4427	4483
FBgn0001311	2	7
FBgn0001313	0	0
FBgn0001316	5268	5355
FBgn0001319	13	10
FBgn0001320	0	0
FBgn0001321	0	1
FBgn0001323	15	25
FBgn0001324	613	558
FBgn0001325	8	2
FBgn0001330	1019	1025
FBgn0001341	618	689
FBgn0001404	1754	1665
FBgn0001491	1388	1258
FBgn0001565	2885	2912
FBgn0001612	2437	2658
FBgn0001624	2342	2375
FBgn0001941	4466	4804
FBgn0001942	23021	23007
FBgn0001961	1116	973
FBgn0001965	797	727
FBgn0001967	0	0
FBgn0001970	1	4
FBgn0001977	1006	1292
FBgn0001978	4609	5551
FBgn0001981	35	33
FBgn0001983	0	0
FBgn0001986	1115	1240
FBgn0001987	889	468
FBgn0001989	2713	2848
FBgn0001990	1395	1618
FBgn0001991	419	453
FBgn0001992	15	34
FBgn0001994	3461	3286
FBgn0001995	1419	1993
FBgn0002021	433	403
FBgn0002022	948	966
FBgn0002023	16	19
FBgn0002031	6766	6575
FBgn0002036	317	305
FBgn0002044	1142	1144
FBgn0002069	848	1080
FBgn0002121	2517	2526
FBgn0002174	1279	1076
FBgn0002183	7833	7208
FBgn0002283	586	435
FBgn0002284	1057	972
FBgn0002306	24	27
FBgn0002354	477	441
FBgn0002413	6212	6682
FBgn0002431	280	242
FBgn0002440	0	0
FBgn0002441	2019	2149
FBgn0002466	1941	2149
FBgn0002521	1	2
FBgn0002522	18	16
FBgn0002524	2513	2351
FBgn0002525	4447	3670
FBgn0002526	483	467
FBgn0002531	4	3
FBgn0002533	0	3
FBgn0002534	0	0
FBgn0002535	0	0
FBgn0002542	818	871
FBgn0002543	22	30
FBgn0002552	159	195
FBgn0002561	0	0
FBgn0002562	1	1
FBgn0002563	589	135
