geneID	DGRP-177	SP-159N  
FBgn0000003	0	0
FBgn0000008	585	563
FBgn0000014	83	78
FBgn0000015	21	29
FBgn0000017	699	726
FBgn0000018	452	424
FBgn0000022	0	0
FBgn0000024	154	102
FBgn0000028	10	20
FBgn0000032	4279	3788
FBgn0000036	82	76
FBgn0000037	22	37
FBgn0000038	170	222
FBgn0000039	33	39
FBgn0000042	8737	8836
FBgn0000043	2247	2187
FBgn0000044	2614	2616
FBgn0000045	532	621
FBgn0000046	1023	1036
FBgn0000047	64	56
FBgn0000052	4159	3729
FBgn0000053	4080	4882
FBgn0000055	2	4
FBgn0000056	0	0
FBgn0000057	634	604
FBgn0000061	4	2
FBgn0000063	1174	1100
FBgn0000064	6366	5827
FBgn0000071	2	0
FBgn0000075	193	201
FBgn0000077	828	862
FBgn0000078	6779	6945
FBgn0000079	24725	9946
FBgn0000083	4863	3427
FBgn0000084	1452	1135
FBgn0000092	11	19
FBgn0000094	0	0
FBgn0000097	1183	1014
FBgn0000100	9	12
FBgn0000108	340	304
FBgn0000109	939	871
FBgn0000114	29106	37278
FBgn0000115	2209	1904
FBgn0000116	14625	7420
FBgn0000117	3274	3194
FBgn0000119	463	513
FBgn0000120	2977	2824
FBgn0000121	5189	5064
FBgn0000137	0	0
FBgn0000139	715	962
FBgn0000140	7722	7409
FBgn0000146	2604	2937
FBgn0000147	2564	3199
FBgn0000150	34	47
FBgn0000152	195	241
FBgn0000153	144	169
FBgn0000157	14	7
FBgn0000158	681	726
FBgn0000163	1470	1393
FBgn0000166	1431	1512
FBgn0000173	4207	4214
FBgn0000179	26	42
FBgn0000180	61	67
FBgn0000181	885	1044
FBgn0000182	0	2
FBgn0000183	5116	5867
FBgn0000206	55	49
FBgn0000212	2274	2302
FBgn0000216	0	0
FBgn0000221	355	431
FBgn0000227	0	0
FBgn0000228	1834	1793
FBgn0000229	739	655
FBgn0000233	3	10
FBgn0000239	759	749
FBgn0000241	26	20
FBgn0000244	81	80
FBgn0000246	462	481
FBgn0000247	1098	1086
FBgn0000250	5166	5871
FBgn0000251	3065	2954
FBgn0000253	17673	18311
FBgn0000256	1557	1570
FBgn0000257	1287	1236
FBgn0000259	6404	6393
FBgn0000261	3665	3728
FBgn0000273	3664	4353
FBgn0000274	65	19
FBgn0000276	15	15
FBgn0000277	7	8
FBgn0000278	0	3
FBgn0000279	12	15
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	127	125
FBgn0000286	963	1122
FBgn0000287	22	19
FBgn0000289	2287	2202
FBgn0000299	1782	1673
FBgn0000303	44	46
FBgn0000307	3118	3254
FBgn0000308	845	960
FBgn0000316	1235	1086
FBgn0000317	1488	1648
FBgn0000318	2072	2144
FBgn0000319	5260	5473
FBgn0000320	113	129
FBgn0000326	1235	1311
FBgn0000330	1016	994
FBgn0000337	2	1
FBgn0000339	1002	1025
FBgn0000346	289	249
FBgn0000351	1148	1749
FBgn0000352	964	1224
FBgn0000355	37742	37017
FBgn0000356	13767	15830
FBgn0000357	8821	9595
FBgn0000358	21511	23300
FBgn0000359	8600	8643
FBgn0000360	43824	40392
FBgn0000370	2713	2506
FBgn0000376	2199	1884
FBgn0000377	676	614
FBgn0000382	1772	1767
FBgn0000384	1063	1042
FBgn0000392	0	0
FBgn0000394	486	346
FBgn0000395	72	71
FBgn0000404	51054	54441
FBgn0000405	49995	49733
FBgn0000406	4941	5918
FBgn0000411	30	15
FBgn0000412	5999	6193
FBgn0000414	1005	897
FBgn0000416	9446	8835
FBgn0000422	222	236
FBgn0000426	1	0
FBgn0000427	14124	13526
FBgn0000439	11	9
FBgn0000442	8	5
FBgn0000447	1237	1258
FBgn0000448	40	27
FBgn0000449	34	42
FBgn0000451	55	53
FBgn0000454	11132	10873
FBgn0000455	1034	1223
FBgn0000459	90	73
FBgn0000463	2430	2377
FBgn0000464	26	26
FBgn0000473	10551	15116
FBgn0000477	572	659
FBgn0000479	4027	4037
FBgn0000482	623	585
FBgn0000489	725	834
FBgn0000490	62	82
FBgn0000492	46	59
FBgn0000499	1267	1216
FBgn0000500	1	2
FBgn0000504	52	48
FBgn0000520	672	762
FBgn0000524	1478	1476
FBgn0000527	58	57
FBgn0000529	5	6
FBgn0000533	293	314
FBgn0000535	63	69
FBgn0000536	2194	2143
FBgn0000541	120	122
FBgn0000542	92	366
FBgn0000543	1196	1158
FBgn0000546	713	650
FBgn0000547	3279	3968
FBgn0000551	0	5
FBgn0000552	0	0
FBgn0000557	296	277
FBgn0000559	176	138
FBgn0000560	0	0
FBgn0000562	4138	3507
FBgn0000564	4	5
FBgn0000565	1323	1050
FBgn0000566	5493	5832
FBgn0000567	253	278
FBgn0000568	1345	1460
FBgn0000575	2234	2341
FBgn0000576	11	12
FBgn0000577	4	3
FBgn0000578	1925	2094
FBgn0000579	22092	23214
FBgn0000581	2055	2079
FBgn0000588	1790	1761
FBgn0000591	0	0
FBgn0000592	2807	2076
FBgn0000594	0	0
FBgn0000606	0	0
FBgn0000611	2279	2510
FBgn0000615	5580	4767
FBgn0000617	1355	1477
FBgn0000618	0	3
FBgn0000625	22	25
FBgn0000629	3985	4043
FBgn0000633	44	50
FBgn0000635	390	465
FBgn0000636	368	439
FBgn0000639	1	6
FBgn0000640	5	0
FBgn0000644	1660	1709
FBgn0000658	5	14
FBgn0000659	213	256
FBgn0000662	1758	1817
FBgn0000667	1549	1627
FBgn0000709	1632	1459
FBgn0000711	1636	1347
FBgn0000715	58	59
FBgn0000719	1623	1676
FBgn0000721	8660	9162
FBgn0000723	271	295
FBgn0000808	380	268
FBgn0000810	446	595
FBgn0000826	0	0
FBgn0000927	6939	7584
FBgn0000928	17	18
FBgn0000964	506	492
FBgn0000996	2481	2770
FBgn0001075	16	21
FBgn0001077	1	0
FBgn0001078	623	720
FBgn0001079	712	827
FBgn0001083	36	47
FBgn0001084	679	665
FBgn0001085	842	1596
FBgn0001086	4055	3718
FBgn0001087	2152	2097
FBgn0001089	272	290
FBgn0001090	336	325
FBgn0001091	10413	10698
FBgn0001092	13265	9394
FBgn0001098	7324	6821
FBgn0001099	0	0
FBgn0001104	6961	6861
FBgn0001105	3278	3457
FBgn0001108	3965	3730
FBgn0001112	36	45
FBgn0001114	2245	2297
FBgn0001120	224	12
FBgn0001122	1411	1145
FBgn0001123	162	111
FBgn0001124	7361	5788
FBgn0001125	9903	8826
FBgn0001128	6159	4888
FBgn0001133	1694	1224
FBgn0001134	20	24
FBgn0001137	323	267
FBgn0001138	3	4
FBgn0001139	6591	6471
FBgn0001142	5882	3533
FBgn0001145	2219	2376
FBgn0001147	1	0
FBgn0001148	0	0
FBgn0001149	36986	38988
FBgn0001150	8	12
FBgn0001168	469	471
FBgn0001169	1691	1774
FBgn0001170	10	4
FBgn0001174	2	0
FBgn0001179	1809	1711
FBgn0001180	649	526
FBgn0001185	245	312
FBgn0001186	3238	3434
FBgn0001187	1940	2094
FBgn0001189	195	201
FBgn0001197	22374	21000
FBgn0001202	916	780
FBgn0001206	347	404
FBgn0001208	1860	2278
FBgn0001215	4364	3473
FBgn0001216	335	293
FBgn0001217	11	4
FBgn0001218	16404	17958
FBgn0001220	6186	6339
FBgn0001222	4510	3684
FBgn0001223	0	0
FBgn0001224	2496	511
FBgn0001225	90549	96899
FBgn0001226	9218	8838
FBgn0001227	26	34
FBgn0001228	0	0
FBgn0001229	18	20
FBgn0001230	294	377
FBgn0001233	19115	21098
FBgn0001234	948	996
FBgn0001235	519	602
FBgn0001247	800	696
FBgn0001248	13265	12507
FBgn0001250	349	334
FBgn0001253	2	6
FBgn0001254	0	2
FBgn0001255	39	26
FBgn0001256	1	1
FBgn0001257	1479	1287
FBgn0001258	103	59
FBgn0001259	15	6
FBgn0001263	510	444
FBgn0001269	4	4
FBgn0001276	0	0
FBgn0001280	3240	2960
FBgn0001281	0	1
FBgn0001285	773	1
FBgn0001291	602	474
FBgn0001296	1039	1040
FBgn0001297	994	906
FBgn0001301	1494	1551
FBgn0001308	3942	3740
FBgn0001311	3	6
FBgn0001313	0	0
FBgn0001316	4229	4117
FBgn0001319	6	4
FBgn0001320	0	0
FBgn0001321	2	2
FBgn0001323	26	29
FBgn0001324	412	371
FBgn0001325	5	4
FBgn0001330	1293	1257
FBgn0001341	783	783
FBgn0001404	2222	1999
FBgn0001491	2005	1963
FBgn0001565	3998	3933
FBgn0001612	2461	2758
FBgn0001624	1868	1996
FBgn0001941	5755	6314
FBgn0001942	30105	29672
FBgn0001961	1121	1090
FBgn0001965	638	566
FBgn0001967	0	0
FBgn0001970	1	5
FBgn0001977	1406	1640
FBgn0001978	4919	5566
FBgn0001981	34	28
FBgn0001983	0	0
FBgn0001986	1094	1248
FBgn0001987	766	385
FBgn0001989	3833	3585
FBgn0001990	1932	2144
FBgn0001991	257	249
FBgn0001992	7	24
FBgn0001994	3368	3158
FBgn0001995	2058	2743
