geneID	DGRP-177	SP-159N  
FBgn0000003	0	0
FBgn0000008	434	451
FBgn0000014	0	0
FBgn0000015	0	2
FBgn0000017	706	729
FBgn0000018	53	48
FBgn0000022	0	0
FBgn0000024	2582	1975
FBgn0000028	430	4
FBgn0000032	167	172
FBgn0000036	1461	1603
FBgn0000037	1060	947
FBgn0000038	6161	6217
FBgn0000039	949	992
FBgn0000042	6207	30
FBgn0000043	91	89
FBgn0000044	4520	4131
FBgn0000045	74	306
FBgn0000046	382	498
FBgn0000047	58	69
FBgn0000052	2509	2095
FBgn0000053	7182	7375
FBgn0000055	5	1
FBgn0000056	0	0
FBgn0000057	243	281
FBgn0000061	6	1
FBgn0000063	18	18
FBgn0000064	11277	9141
FBgn0000071	9	12
FBgn0000075	118	86
FBgn0000077	233	1
FBgn0000078	3670	2168
FBgn0000079	1712	3607
FBgn0000083	2365	1836
FBgn0000084	2613	14
FBgn0000092	93	0
FBgn0000094	0	1
FBgn0000097	504	472
FBgn0000100	2	4
FBgn0000108	17544	99
FBgn0000109	92	85
FBgn0000114	1008	1499
FBgn0000115	260	222
FBgn0000116	22718	15903
FBgn0000117	3252	13
FBgn0000119	801	894
FBgn0000120	61431	59842
FBgn0000121	98441	100036
FBgn0000137	1	0
FBgn0000139	217	173
FBgn0000140	5	3
FBgn0000146	11	24
FBgn0000147	17	24
FBgn0000150	20	14
FBgn0000152	209	2
FBgn0000153	362	405
FBgn0000157	108	102
FBgn0000158	0	0
FBgn0000163	1687	10
FBgn0000166	0	0
FBgn0000173	2845	21
FBgn0000179	967	9
FBgn0000180	105	77
FBgn0000181	427	501
FBgn0000182	0	0
FBgn0000183	1239	1257
FBgn0000206	1676	1996
FBgn0000212	889	933
FBgn0000216	0	0
FBgn0000221	145	0
FBgn0000227	0	0
FBgn0000228	969	849
FBgn0000229	1377	1283
FBgn0000233	31	0
FBgn0000239	129	164
FBgn0000241	578	409
FBgn0000244	149	133
FBgn0000246	23	25
FBgn0000247	948	975
FBgn0000250	1060	1133
FBgn0000251	0	0
FBgn0000253	29453	25029
FBgn0000256	1672	1475
FBgn0000257	847	5
FBgn0000259	1421	20
FBgn0000261	1936	2047
FBgn0000273	5178	6136
FBgn0000274	0	0
FBgn0000276	2	2
FBgn0000277	0	3
FBgn0000278	0	1
FBgn0000279	2	3
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	49	38
FBgn0000286	677	682
FBgn0000287	622	575
FBgn0000289	1474	1436
FBgn0000299	1516	1264
FBgn0000303	1283	1498
FBgn0000307	729	793
FBgn0000308	1204	1240
FBgn0000316	223	0
FBgn0000317	828	802
FBgn0000318	440	346
FBgn0000319	6519	37
FBgn0000320	526	543
FBgn0000326	325	365
FBgn0000330	732	7
FBgn0000337	0	0
FBgn0000339	200	190
FBgn0000346	10941	35
FBgn0000351	2	1
FBgn0000352	538	496
FBgn0000355	2	0
FBgn0000356	0	0
FBgn0000357	10	5
FBgn0000358	1	3
FBgn0000359	0	0
FBgn0000360	0	0
FBgn0000370	2845	2896
FBgn0000376	659	1
FBgn0000377	460	5
FBgn0000382	5714	40
FBgn0000384	88	109
FBgn0000392	0	0
FBgn0000394	389	2
FBgn0000395	182	230
FBgn0000404	34	41
FBgn0000405	11	1
FBgn0000406	6359	7209
FBgn0000411	195	179
FBgn0000412	910	882
FBgn0000414	2869	2379
FBgn0000416	5940	5720
FBgn0000422	4574	4531
FBgn0000426	0	0
FBgn0000427	0	0
FBgn0000439	202	253
FBgn0000442	6	7
FBgn0000447	225	221
FBgn0000448	500	510
FBgn0000449	0	0
FBgn0000451	32	14
