geneID	DGRP-177	SP-159N  
FBgn0000003	0	0
FBgn0000008	205	197
FBgn0000014	107	94
FBgn0000015	173	133
FBgn0000017	164	173
FBgn0000018	88	75
FBgn0000022	0	0
FBgn0000024	413	313
FBgn0000028	0	131
FBgn0000032	225	245
FBgn0000036	205	209
FBgn0000037	87	112
FBgn0000038	752	816
FBgn0000039	114	118
FBgn0000042	11	3120
FBgn0000043	687	717
FBgn0000044	6320	6195
FBgn0000045	3815	3818
FBgn0000046	3337	3448
FBgn0000047	2024	1952
FBgn0000052	723	598
FBgn0000053	1076	1491
FBgn0000055	0	0
FBgn0000056	0	0
FBgn0000057	268	260
FBgn0000061	3	0
FBgn0000063	70	56
FBgn0000064	9909	8416
FBgn0000071	3	4
FBgn0000075	10	26
FBgn0000077	1	107
FBgn0000078	8385	6171
FBgn0000079	24011	9598
FBgn0000083	1661	1085
FBgn0000084	2	743
FBgn0000092	0	48
FBgn0000094	4112	3449
FBgn0000097	240	221
FBgn0000100	1	4
FBgn0000108	4	1834
FBgn0000109	84	76
FBgn0000114	3931	4109
FBgn0000115	276	274
FBgn0000116	25487	15270
FBgn0000117	4	968
FBgn0000119	443	480
FBgn0000120	4753	4301
FBgn0000121	5094	4921
FBgn0000137	0	0
FBgn0000139	131	91
FBgn0000140	514	332
FBgn0000146	47	49
FBgn0000147	254	251
FBgn0000150	6	2
FBgn0000152	2	148
FBgn0000153	554	646
FBgn0000157	24	36
FBgn0000158	8	10
FBgn0000163	3	1036
FBgn0000166	1	0
FBgn0000173	8	1231
FBgn0000179	2	136
FBgn0000180	35	29
FBgn0000181	288	312
FBgn0000182	6	3
FBgn0000183	489	528
FBgn0000206	128	183
FBgn0000212	341	332
FBgn0000216	0	0
FBgn0000221	1	140
FBgn0000227	0	0
FBgn0000228	335	317
FBgn0000229	425	422
FBgn0000233	0	27
FBgn0000239	110	120
FBgn0000241	59	57
FBgn0000244	89	67
FBgn0000246	10	16
FBgn0000247	579	596
FBgn0000250	697	610
FBgn0000251	335	336
FBgn0000253	4917	4786
FBgn0000256	3479	3705
FBgn0000257	1	284
FBgn0000259	3	527
FBgn0000261	3401	3476
FBgn0000273	1816	2117
FBgn0000274	493	446
FBgn0000276	166	170
FBgn0000277	8	8
FBgn0000278	0	2
FBgn0000279	5	1
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	15	23
FBgn0000286	399	393
FBgn0000287	174	414
FBgn0000289	503	427
FBgn0000299	1278	1204
FBgn0000303	165	153
FBgn0000307	236	220
FBgn0000308	352	420
FBgn0000316	0	80
FBgn0000317	477	419
FBgn0000318	340	439
FBgn0000319	12	3129
FBgn0000320	143	128
FBgn0000326	226	247
FBgn0000330	0	301
FBgn0000337	0	0
FBgn0000339	102	129
FBgn0000346	8	1756
FBgn0000351	2	2
FBgn0000352	75	123
FBgn0000355	53	72
FBgn0000356	1	0
FBgn0000357	7	4
FBgn0000358	0	0
FBgn0000359	0	0
FBgn0000360	0	2
FBgn0000370	944	911
FBgn0000376	1	148
FBgn0000377	0	173
FBgn0000382	9	1316
FBgn0000384	53	37
FBgn0000392	0	0
FBgn0000394	2	187
FBgn0000395	130	116
FBgn0000404	378	398
FBgn0000405	326	345
FBgn0000406	2085	2296
FBgn0000411	75	74
FBgn0000412	582	579
FBgn0000414	562	411
FBgn0000416	4024	3871
FBgn0000422	539	628
FBgn0000426	0	0
FBgn0000427	0	2
FBgn0000439	22	23
FBgn0000442	16	19
FBgn0000447	880	908
FBgn0000448	44	52
FBgn0000449	2	0
FBgn0000451	65	75
FBgn0000454	1239	1227
FBgn0000455	467	503
FBgn0000459	0	144
FBgn0000463	122	99
FBgn0000464	33	18
FBgn0000473	7629	11348
FBgn0000477	385	517
FBgn0000479	64	4132
FBgn0000482	0	248
FBgn0000489	587	1270
FBgn0000490	179	149
FBgn0000492	48	71
FBgn0000499	5	743
FBgn0000500	0	0
FBgn0000504	288	256
FBgn0000520	0	91
FBgn0000524	0	136
FBgn0000527	264	256
FBgn0000529	6	3
FBgn0000533	25	25
FBgn0000535	3	494
FBgn0000536	2	1649
FBgn0000541	81	79
FBgn0000542	8	1938
FBgn0000543	261	303
FBgn0000546	118	87
FBgn0000547	588	597
FBgn0000551	7	6
FBgn0000552	7	0
FBgn0000557	562	548
FBgn0000559	23	61
FBgn0000560	0	1
FBgn0000562	717	681
FBgn0000564	0	2
FBgn0000565	623	502
FBgn0000566	1029	585
FBgn0000567	170	187
FBgn0000568	881	879
FBgn0000575	460	491
FBgn0000576	21	20
FBgn0000577	36	77
FBgn0000578	274	305
FBgn0000579	7485	8228
FBgn0000581	528	489
FBgn0000588	62	58
FBgn0000591	0	0
FBgn0000592	14728	14160
FBgn0000594	0	0
FBgn0000606	2	2
FBgn0000611	7	936
FBgn0000615	2772	2531
FBgn0000617	2	208
FBgn0000618	0	0
FBgn0000625	39	42
FBgn0000629	207	275
FBgn0000633	183	184
FBgn0000635	7	1415
FBgn0000636	285	260
FBgn0000639	75	58
FBgn0000640	45	31
FBgn0000644	0	2
FBgn0000658	26	35
FBgn0000659	340	385
