geneID	DGRP-177	SP-159N  
FBgn0000003	0	1
FBgn0000008	194	185
FBgn0000014	13	10
FBgn0000015	3	1
FBgn0000017	143	158
FBgn0000018	112	136
FBgn0000022	0	0
FBgn0000024	3	2
FBgn0000028	0	0
FBgn0000032	1109	1010
FBgn0000036	0	0
FBgn0000037	0	0
FBgn0000038	5	1
FBgn0000039	0	0
FBgn0000042	5426	5619
FBgn0000043	1646	1775
FBgn0000044	309	351
FBgn0000045	0	0
FBgn0000046	17	24
FBgn0000047	2	0
FBgn0000052	1908	1997
FBgn0000053	1584	1812
FBgn0000055	0	0
FBgn0000056	0	0
FBgn0000057	228	218
FBgn0000061	0	0
FBgn0000063	259	182
FBgn0000064	1140	1231
FBgn0000071	0	0
FBgn0000075	137	123
FBgn0000077	205	225
FBgn0000078	340	354
FBgn0000079	1465	610
FBgn0000083	1854	993
FBgn0000084	651	495
FBgn0000092	0	1
FBgn0000094	0	0
FBgn0000097	379	328
FBgn0000100	4	5
FBgn0000108	4	1
FBgn0000109	170	181
FBgn0000114	6054	6861
FBgn0000115	646	548
FBgn0000116	4418	1765
FBgn0000117	1850	1760
FBgn0000119	198	173
FBgn0000120	0	0
FBgn0000121	0	0
FBgn0000137	0	0
FBgn0000139	321	404
FBgn0000140	2505	2281
FBgn0000146	1018	1241
FBgn0000147	634	715
FBgn0000150	22	19
FBgn0000152	123	144
FBgn0000153	0	5
FBgn0000157	0	3
FBgn0000158	103	176
FBgn0000163	338	355
FBgn0000166	88	63
FBgn0000173	923	795
FBgn0000179	0	0
FBgn0000180	27	25
FBgn0000181	265	405
FBgn0000182	0	0
FBgn0000183	914	987
FBgn0000206	0	0
FBgn0000212	628	616
FBgn0000216	0	0
FBgn0000221	244	295
FBgn0000227	0	0
FBgn0000228	392	417
FBgn0000229	137	110
FBgn0000233	0	0
FBgn0000239	242	233
FBgn0000241	0	4
FBgn0000244	11	7
FBgn0000246	109	131
FBgn0000247	407	464
FBgn0000250	1663	1808
FBgn0000251	483	470
FBgn0000253	2612	2799
FBgn0000256	534	509
FBgn0000257	620	663
FBgn0000259	1017	1003
FBgn0000261	401	483
FBgn0000273	825	954
FBgn0000274	11	10
FBgn0000276	2	2
FBgn0000277	2	3
FBgn0000278	0	0
FBgn0000279	0	2
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	40	44
FBgn0000286	136	162
FBgn0000287	0	0
FBgn0000289	943	992
FBgn0000299	826	759
FBgn0000303	0	0
FBgn0000307	665	622
FBgn0000308	232	326
FBgn0000316	330	311
FBgn0000317	459	360
FBgn0000318	403	529
FBgn0000319	3310	3132
FBgn0000320	69	69
FBgn0000326	333	371
FBgn0000330	739	618
FBgn0000337	0	0
FBgn0000339	90	94
FBgn0000346	28	23
FBgn0000351	405	617
FBgn0000352	227	302
FBgn0000355	25328	26326
FBgn0000356	3915	4593
FBgn0000357	10557	11236
FBgn0000358	5009	5761
FBgn0000359	7361	7358
FBgn0000360	31011	34389
FBgn0000370	1164	1131
FBgn0000376	520	496
FBgn0000377	467	443
FBgn0000382	539	582
