geneID	DGRP-177	SP-159N  
FBgn0000003	0	0
FBgn0000008	484	371
FBgn0000014	202	222
FBgn0000015	121	90
FBgn0000017	312	358
FBgn0000018	311	280
FBgn0000022	0	0
FBgn0000024	40	25
FBgn0000028	497	4
FBgn0000032	604	683
FBgn0000036	56	96
FBgn0000037	23	20
FBgn0000038	75	124
FBgn0000039	0	0
FBgn0000042	5016	16
FBgn0000043	3793	3788
FBgn0000044	618	553
FBgn0000045	16	10
FBgn0000046	3671	3681
FBgn0000047	5	4
FBgn0000052	597	414
FBgn0000053	629	598
FBgn0000055	0	0
FBgn0000056	0	0
FBgn0000057	1049	990
FBgn0000061	0	2
FBgn0000063	328	295
FBgn0000064	6196	6056
FBgn0000071	11	6
FBgn0000075	25	33
FBgn0000077	51	0
FBgn0000078	854	1425
FBgn0000079	2752	3463
FBgn0000083	1231	1044
FBgn0000084	887	5
FBgn0000092	3	0
FBgn0000094	3599	2930
FBgn0000097	161	88
FBgn0000100	1	1
FBgn0000108	24	0
FBgn0000109	67	75
FBgn0000114	20651	20395
FBgn0000115	320	333
FBgn0000116	3954	1250
FBgn0000117	1107	2
FBgn0000119	1016	1521
FBgn0000120	5	40
FBgn0000121	10	11
FBgn0000137	0	0
FBgn0000139	261	246
FBgn0000140	2813	1854
FBgn0000146	283	303
FBgn0000147	1318	1374
FBgn0000150	1	4
FBgn0000152	73	0
FBgn0000153	14	8
FBgn0000157	11	21
FBgn0000158	55	55
FBgn0000163	884	8
FBgn0000166	9	3
FBgn0000173	529	6
FBgn0000179	60	0
FBgn0000180	19	17
FBgn0000181	619	719
FBgn0000182	41	36
FBgn0000183	612	720
FBgn0000206	21	73
FBgn0000212	227	180
FBgn0000216	0	1
FBgn0000221	396	2
FBgn0000227	2	1
FBgn0000228	159	149
FBgn0000229	445	454
FBgn0000233	55	0
FBgn0000239	428	500
FBgn0000241	16	21
FBgn0000244	17	21
FBgn0000246	41	39
FBgn0000247	1234	1129
FBgn0000250	452	493
FBgn0000251	751	843
FBgn0000253	2906	2994
FBgn0000256	16321	18072
FBgn0000257	444	2
FBgn0000259	359	1
FBgn0000261	1962	1908
FBgn0000273	441	497
FBgn0000274	2513	2614
FBgn0000276	131	179
FBgn0000277	3	8
FBgn0000278	0	2
FBgn0000279	1	1
FBgn0000280	0	0
FBgn0000281	0	0
FBgn0000283	33	35
FBgn0000286	277	339
FBgn0000287	558	1534
FBgn0000289	609	535
FBgn0000299	465	472
FBgn0000303	2	22
FBgn0000307	266	240
FBgn0000308	858	934
FBgn0000316	109	0
FBgn0000317	411	299
FBgn0000318	928	1071
FBgn0000319	3493	22
FBgn0000320	552	461
FBgn0000326	341	223
FBgn0000330	365	2
FBgn0000337	0	0
FBgn0000339	144	134
FBgn0000346	2439	8
FBgn0000351	14	10
FBgn0000352	87	205
FBgn0000355	313	353
FBgn0000356	3	1
FBgn0000357	38	17
FBgn0000358	3	0
FBgn0000359	0	1
FBgn0000360	5	2
FBgn0000370	1101	1054
FBgn0000376	134	1
FBgn0000377	164	0
FBgn0000382	638	3
FBgn0000384	38	30
FBgn0000392	0	0
FBgn0000394	78	0
FBgn0000395	80	88
FBgn0000404	1993	2130
FBgn0000405	1898	2039
FBgn0000406	307	349
FBgn0000411	200	118
FBgn0000412	1710	1673
FBgn0000414	120	95
FBgn0000416	5212	5308
FBgn0000422	136	107
FBgn0000426	0	0
FBgn0000427	39	1
FBgn0000439	4	1
FBgn0000442	0	1
FBgn0000447	4358	4303
FBgn0000448	1	9
FBgn0000449	10	6
FBgn0000451	4	11
FBgn0000454	2430	2154
FBgn0000455	366	388
FBgn0000459	99	0
FBgn0000463	208	182
FBgn0000464	10	9
FBgn0000473	654	577
FBgn0000477	41	48
FBgn0000479	538	4
FBgn0000482	262	0
FBgn0000489	494	1999
FBgn0000490	474	170
FBgn0000492	50	30
FBgn0000499	3591	14
FBgn0000500	0	0
FBgn0000504	14	19
FBgn0000520	37	0
FBgn0000524	173	11
FBgn0000527	299	173
FBgn0000529	3	3
FBgn0000533	12	9
FBgn0000535	15	1
FBgn0000536	1156	5
FBgn0000541	272	279
FBgn0000542	381	0
FBgn0000543	278	436
FBgn0000546	30	24
FBgn0000547	298	326
FBgn0000551	11	19
FBgn0000552	7	0
FBgn0000557	55	62
FBgn0000559	15	28
FBgn0000560	0	4
FBgn0000562	221	216
FBgn0000564	0	0
FBgn0000565	198	179
FBgn0000566	421	314
FBgn0000567	42	70
FBgn0000568	307	284
FBgn0000575	153	103
FBgn0000576	12	4
FBgn0000577	39	301
FBgn0000578	454	513
FBgn0000579	5008	5840
FBgn0000581	1559	1319
FBgn0000588	78	123
FBgn0000591	0	2
FBgn0000592	6527	5636
FBgn0000594	0	0
FBgn0000606	0	6
FBgn0000611	549	2
FBgn0000615	16339	14997
FBgn0000617	265	2
FBgn0000618	5	0
FBgn0000625	12	11
FBgn0000629	319	493
FBgn0000633	131	9
FBgn0000635	507	10
FBgn0000636	464	444
FBgn0000639	1	1
FBgn0000640	11	13
FBgn0000644	10	0
FBgn0000658	16	9
FBgn0000659	2	0
FBgn0000662	101	88
FBgn0000667	267	3
FBgn0000709	484	3
FBgn0000711	469	2
FBgn0000715	1	4
FBgn0000719	281	3
FBgn0000721	700	648
FBgn0000723	438	116
FBgn0000808	23	0
FBgn0000810	174	1
FBgn0000826	0	0
FBgn0000927	19	0
FBgn0000928	352	0
FBgn0000964	23	24
FBgn0000996	124	178
FBgn0001075	440	311
FBgn0001077	30	13
FBgn0001078	45	23
FBgn0001079	105	1
FBgn0001083	39	0
FBgn0001084	72	54
FBgn0001085	48	29
FBgn0001086	1212	1493
FBgn0001087	582	5
FBgn0001089	71	88
FBgn0001090	1586	16
FBgn0001091	477	425
FBgn0001092	578	2
FBgn0001098	1203	1221
